date,sales,year,month,day_of_week,week,is_weekend
2019-06-05,627,2019,6,2,23,0
2019-06-06,856,2019,6,3,23,0
2019-06-07,798,2019,6,4,23,0
2019-06-08,803,2019,6,5,23,1
2019-06-09,929,2019,6,6,23,1
2019-06-10,551,2019,6,0,24,0
2019-06-11,757,2019,6,1,24,0
2019-06-12,792,2019,6,2,24,0
2019-06-13,625,2019,6,3,24,0
2019-06-14,852,2019,6,4,24,0
2019-06-15,980,2019,6,5,24,1
2019-06-16,954,2019,6,6,24,1
2019-06-17,782,2019,6,0,25,0
2019-06-18,672,2019,6,1,25,0
2019-06-19,633,2019,6,2,25,0
2019-06-20,623,2019,6,3,25,0
2019-06-21,691,2019,6,4,25,0
2019-06-22,927,2019,6,5,25,1
2019-06-23,903,2019,6,6,25,1
2019-06-24,645,2019,6,0,26,0
2019-06-25,766,2019,6,1,26,0
2019-06-26,695,2019,6,2,26,0
2019-06-27,826,2019,6,3,26,0
2019-06-28,739,2019,6,4,26,0
2019-06-29,1297,2019,6,5,26,1
2019-06-30,934,2019,6,6,26,1
2019-07-01,563,2019,7,0,27,0
2019-07-02,609,2019,7,1,27,0
2019-07-03,734,2019,7,2,27,0
2019-07-04,674,2019,7,3,27,0
2019-07-05,829,2019,7,4,27,0
2019-07-06,988,2019,7,5,27,1
2019-07-07,856,2019,7,6,27,1
2019-07-08,561,2019,7,0,28,0
2019-07-09,575,2019,7,1,28,0
2019-07-10,653,2019,7,2,28,0
2019-07-11,763,2019,7,3,28,0
2019-07-12,776,2019,7,4,28,0
2019-07-13,798,2019,7,5,28,1
2019-07-14,876,2019,7,6,28,1
2019-07-15,646,2019,7,0,29,0
2019-07-16,615,2019,7,1,29,0
2019-07-17,696,2019,7,2,29,0
2019-07-18,687,2019,7,3,29,0
2019-07-19,653,2019,7,4,29,0
2019-07-20,959,2019,7,5,29,1
2019-07-21,908,2019,7,6,29,1
2019-07-22,695,2019,7,0,30,0
2019-07-23,768,2019,7,1,30,0
2019-07-24,573,2019,7,2,30,0
2019-07-25,602,2019,7,3,30,0
2019-07-26,787,2019,7,4,30,0
2019-07-27,964,2019,7,5,30,1
2019-07-28,891,2019,7,6,30,1
2019-07-29,955,2019,7,0,31,0
2019-07-30,714,2019,7,1,31,0
2019-07-31,763,2019,7,2,31,0
2019-08-01,745,2019,8,3,31,0
2019-08-02,788,2019,8,4,31,0
2019-08-03,859,2019,8,5,31,1
2019-08-04,903,2019,8,6,31,1
2019-08-05,539,2019,8,0,32,0
2019-08-06,637,2019,8,1,32,0
2019-08-07,617,2019,8,2,32,0
2019-08-08,659,2019,8,3,32,0
2019-08-09,944,2019,8,4,32,0
2019-08-10,700,2019,8,5,32,1
2019-08-11,877,2019,8,6,32,1
2019-08-12,478,2019,8,0,33,0
2019-08-13,607,2019,8,1,33,0
2019-08-14,730,2019,8,2,33,0
2019-08-15,643,2019,8,3,33,0
2019-08-16,615,2019,8,4,33,0
2019-08-17,786,2019,8,5,33,1
2019-08-18,857,2019,8,6,33,1
2019-08-19,520,2019,8,0,34,0
2019-08-20,644,2019,8,1,34,0
2019-08-21,629,2019,8,2,34,0
2019-08-22,577,2019,8,3,34,0
2019-08-23,884,2019,8,4,34,0
2019-08-24,902,2019,8,5,34,1
2019-08-25,605,2019,8,6,34,1
2019-08-26,565,2019,8,0,35,0
2019-08-27,565,2019,8,1,35,0
2019-08-28,675,2019,8,2,35,0
2019-08-29,552,2019,8,3,35,0
2019-08-30,656,2019,8,4,35,0
2019-08-31,864,2019,8,5,35,1
2019-09-01,832,2019,9,6,35,1
2019-09-02,466,2019,9,0,36,0
2019-09-03,572,2019,9,1,36,0
2019-09-04,560,2019,9,2,36,0
2019-09-05,546,2019,9,3,36,0
2019-09-06,799,2019,9,4,36,0
2019-09-07,829,2019,9,5,36,1
2019-09-08,626,2019,9,6,36,1
2019-09-09,583,2019,9,0,37,0
2019-09-10,745,2019,9,1,37,0
2019-09-11,651,2019,9,2,37,0
2019-09-12,477,2019,9,3,37,0
2019-09-13,591,2019,9,4,37,0
2019-09-14,891,2019,9,5,37,1
2019-09-15,648,2019,9,6,37,1
2019-09-16,533,2019,9,0,38,0
2019-09-17,614,2019,9,1,38,0
2019-09-18,498,2019,9,2,38,0
2019-09-19,550,2019,9,3,38,0
2019-09-20,411,2019,9,4,38,0
2019-09-21,655,2019,9,5,38,1
2019-09-22,662,2019,9,6,38,1
2019-09-23,421,2019,9,0,39,0
2019-09-24,658,2019,9,1,39,0
2019-09-25,453,2019,9,2,39,0
2019-09-26,508,2019,9,3,39,0
2019-09-27,595,2019,9,4,39,0
2019-09-28,851,2019,9,5,39,1
2019-09-29,555,2019,9,6,39,1
2019-09-30,543,2019,9,0,40,0
2019-10-01,523,2019,10,1,40,0
2019-10-02,462,2019,10,2,40,0
2019-10-03,547,2019,10,3,40,0
2019-10-04,580,2019,10,4,40,0
2019-10-05,643,2019,10,5,40,1
2019-10-06,642,2019,10,6,40,1
2019-10-07,436,2019,10,0,41,0
2019-10-08,511,2019,10,1,41,0
2019-10-09,543,2019,10,2,41,0
2019-10-10,604,2019,10,3,41,0
2019-10-11,471,2019,10,4,41,0
2019-10-12,862,2019,10,5,41,1
2019-10-13,487,2019,10,6,41,1
2019-10-14,433,2019,10,0,42,0
2019-10-15,523,2019,10,1,42,0
2019-10-16,501,2019,10,2,42,0
2019-10-17,448,2019,10,3,42,0
2019-10-18,515,2019,10,4,42,0
2019-10-19,608,2019,10,5,42,1
2019-10-20,996,2019,10,6,42,1
2019-10-21,848,2019,10,0,43,0
2019-10-22,884,2019,10,1,43,0
2019-10-23,776,2019,10,2,43,0
2019-10-24,935,2019,10,3,43,0
2019-10-25,953,2019,10,4,43,0
2019-10-26,1237,2019,10,5,43,1
2019-10-27,1116,2019,10,6,43,1
2019-10-28,671,2019,10,0,44,0
2019-10-29,767,2019,10,1,44,0
2019-10-30,893,2019,10,2,44,0
2019-10-31,874,2019,10,3,44,0
2019-11-01,888,2019,11,4,44,0
2019-11-02,1103,2019,11,5,44,1
2019-11-03,1169,2019,11,6,44,1
2019-11-04,669,2019,11,0,45,0
2019-11-05,849,2019,11,1,45,0
2019-11-06,429,2019,11,2,45,0
2019-11-07,427,2019,11,3,45,0
2019-11-08,548,2019,11,4,45,0
2019-11-09,648,2019,11,5,45,1
2019-11-10,597,2019,11,6,45,1
2019-11-11,454,2019,11,0,46,0
2019-11-12,431,2019,11,1,46,0
2019-11-13,465,2019,11,2,46,0
2019-11-14,411,2019,11,3,46,0
2019-11-15,486,2019,11,4,46,0
2019-11-16,563,2019,11,5,46,1
2019-11-17,534,2019,11,6,46,1
2019-11-18,407,2019,11,0,47,0
2019-11-19,380,2019,11,1,47,0
2019-11-20,538,2019,11,2,47,0
2019-11-21,370,2019,11,3,47,0
2019-11-22,395,2019,11,4,47,0
2019-11-23,643,2019,11,5,47,1
2019-11-24,569,2019,11,6,47,1
2019-11-25,400,2019,11,0,48,0
2019-11-26,444,2019,11,1,48,0
2019-11-27,410,2019,11,2,48,0
2019-11-28,368,2019,11,3,48,0
2019-11-29,454,2019,11,4,48,0
2019-11-30,508,2019,11,5,48,1
2019-12-01,572,2019,12,6,48,1
2019-12-02,359,2019,12,0,49,0
2019-12-03,367,2019,12,1,49,0
2019-12-04,390,2019,12,2,49,0
2019-12-05,425,2019,12,3,49,0
2019-12-06,415,2019,12,4,49,0
2019-12-07,493,2019,12,5,49,1
2019-12-08,519,2019,12,6,49,1
2019-12-09,373,2019,12,0,50,0
2019-12-10,378,2019,12,1,50,0
2019-12-11,380,2019,12,2,50,0
2019-12-12,413,2019,12,3,50,0
2019-12-13,371,2019,12,4,50,0
2019-12-14,458,2019,12,5,50,1
2019-12-15,460,2019,12,6,50,1
2019-12-16,352,2019,12,0,51,0
2019-12-17,416,2019,12,1,51,0
2019-12-18,479,2019,12,2,51,0
2019-12-19,445,2019,12,3,51,0
2019-12-20,433,2019,12,4,51,0
2019-12-21,541,2019,12,5,51,1
2019-12-22,445,2019,12,6,51,1
2019-12-23,361,2019,12,0,52,0
2019-12-24,389,2019,12,1,52,0
2019-12-25,670,2019,12,2,52,0
2019-12-26,585,2019,12,3,52,0
2019-12-27,757,2019,12,4,52,0
2019-12-28,1050,2019,12,5,52,1
2019-12-29,800,2019,12,6,52,1
2019-12-30,613,2019,12,0,1,0
2019-12-31,707,2019,12,1,1,0
2020-01-01,621,2020,1,2,1,0
2020-01-02,671,2020,1,3,1,0
2020-01-03,721,2020,1,4,1,0
2020-01-04,896,2020,1,5,1,1
2020-01-05,749,2020,1,6,1,1
2020-01-06,372,2020,1,0,2,0
2020-01-07,438,2020,1,1,2,0
2020-01-08,493,2020,1,2,2,0
2020-01-09,466,2020,1,3,2,0
2020-01-10,593,2020,1,4,2,0
2020-01-11,514,2020,1,5,2,1
2020-01-12,582,2020,1,6,2,1
2020-01-13,387,2020,1,0,3,0
2020-01-14,549,2020,1,1,3,0
2020-01-15,384,2020,1,2,3,0
2020-01-16,384,2020,1,3,3,0
2020-01-17,436,2020,1,4,3,0
2020-01-18,448,2020,1,5,3,1
2020-01-19,504,2020,1,6,3,1
2020-01-20,354,2020,1,0,4,0
2020-01-21,441,2020,1,1,4,0
2020-01-22,453,2020,1,2,4,0
2020-01-23,547,2020,1,3,4,0
2020-01-24,541,2020,1,4,4,0
2020-01-25,555,2020,1,5,4,1
2020-01-26,496,2020,1,6,4,1
2020-01-27,424,2020,1,0,5,0
2020-01-28,381,2020,1,1,5,0
2020-01-29,559,2020,1,2,5,0
2020-01-30,519,2020,1,3,5,0
2020-01-31,471,2020,1,4,5,0
2020-02-01,500,2020,2,5,5,1
2020-02-02,672,2020,2,6,5,1
2020-02-03,408,2020,2,0,6,0
2020-02-04,536,2020,2,1,6,0
2020-02-05,383,2020,2,2,6,0
2020-02-06,434,2020,2,3,6,0
2020-02-07,516,2020,2,4,6,0
2020-02-08,640,2020,2,5,6,1
2020-02-09,561,2020,2,6,6,1
2020-02-10,462,2020,2,0,7,0
2020-02-11,422,2020,2,1,7,0
2020-02-12,474,2020,2,2,7,0
2020-02-13,492,2020,2,3,7,0
2020-02-14,570,2020,2,4,7,0
2020-02-15,720,2020,2,5,7,1
2020-02-16,538,2020,2,6,7,1
2020-02-17,371,2020,2,0,8,0
2020-02-18,581,2020,2,1,8,0
2020-02-19,521,2020,2,2,8,0
2020-02-20,461,2020,2,3,8,0
2020-02-21,672,2020,2,4,8,0
2020-02-22,698,2020,2,5,8,1
2020-02-23,738,2020,2,6,8,1
2020-02-24,468,2020,2,0,9,0
2020-02-25,664,2020,2,1,9,0
2020-02-26,644,2020,2,2,9,0
2020-02-27,509,2020,2,3,9,0
2020-02-28,652,2020,2,4,9,0
2020-02-29,774,2020,2,5,9,1
2020-03-01,787,2020,3,6,9,1
2020-03-02,431,2020,3,0,10,0
2020-03-03,587,2020,3,1,10,0
2020-03-04,617,2020,3,2,10,0
2020-03-05,443,2020,3,3,10,0
2020-03-06,525,2020,3,4,10,0
2020-03-07,584,2020,3,5,10,1
2020-03-08,673,2020,3,6,10,1
2020-03-09,549,2020,3,0,11,0
2020-03-10,674,2020,3,1,11,0
2020-03-11,571,2020,3,2,11,0
2020-03-12,692,2020,3,3,11,0
2020-03-13,534,2020,3,4,11,0
2020-03-14,634,2020,3,5,11,1
2020-03-15,719,2020,3,6,11,1
2020-03-16,549,2020,3,0,12,0
2020-03-17,583,2020,3,1,12,0
2020-03-18,460,2020,3,2,12,0
2020-03-19,586,2020,3,3,12,0
2020-03-20,560,2020,3,4,12,0
2020-03-21,876,2020,3,5,12,1
2020-03-22,787,2020,3,6,12,1
2020-03-23,487,2020,3,0,13,0
2020-03-24,573,2020,3,1,13,0
2020-03-25,189,2020,3,2,13,0
2020-03-26,214,2020,3,3,13,0
2020-03-27,267,2020,3,4,13,0
2020-03-28,261,2020,3,5,13,1
2020-03-29,291,2020,3,6,13,1
2020-03-30,186,2020,3,0,14,0
2020-03-31,201,2020,3,1,14,0
2020-04-01,220,2020,4,2,14,0
2020-04-02,197,2020,4,3,14,0
2020-04-03,231,2020,4,4,14,0
2020-04-04,264,2020,4,5,14,1
2020-04-05,359,2020,4,6,14,1
2020-04-06,206,2020,4,0,15,0
2020-04-07,211,2020,4,1,15,0
2020-04-08,236,2020,4,2,15,0
2020-04-09,228,2020,4,3,15,0
2020-04-10,249,2020,4,4,15,0
2020-04-11,340,2020,4,5,15,1
2020-04-12,322,2020,4,6,15,1
2020-04-13,199,2020,4,0,16,0
2020-04-14,221,2020,4,1,16,0
2020-04-15,230,2020,4,2,16,0
2020-04-16,181,2020,4,3,16,0
2020-04-17,220,2020,4,4,16,0
2020-04-18,384,2020,4,5,16,1
2020-04-19,369,2020,4,6,16,1
2020-04-20,213,2020,4,0,17,0
2020-04-21,262,2020,4,1,17,0
2020-04-22,255,2020,4,2,17,0
2020-04-23,357,2020,4,3,17,0
2020-04-24,311,2020,4,4,17,0
2020-04-25,330,2020,4,5,17,1
2020-04-26,278,2020,4,6,17,1
2020-04-27,186,2020,4,0,18,0
2020-04-28,258,2020,4,1,18,0
2020-04-29,231,2020,4,2,18,0
2020-04-30,214,2020,4,3,18,0
2020-05-01,259,2020,5,4,18,0
2020-05-02,303,2020,5,5,18,1
2020-05-03,392,2020,5,6,18,1
2020-05-04,257,2020,5,0,19,0
2020-05-05,258,2020,5,1,19,0
2020-05-06,309,2020,5,2,19,0
2020-05-07,262,2020,5,3,19,0
2020-05-08,258,2020,5,4,19,0
2020-05-09,424,2020,5,5,19,1
2020-05-10,350,2020,5,6,19,1
2020-05-11,209,2020,5,0,20,0
2020-05-12,258,2020,5,1,20,0
2020-05-13,238,2020,5,2,20,0
2020-05-14,225,2020,5,3,20,0
2020-05-15,327,2020,5,4,20,0
2020-05-16,453,2020,5,5,20,1
2020-05-17,283,2020,5,6,20,1
2020-05-18,258,2020,5,0,21,0
2020-05-19,249,2020,5,1,21,0
2020-05-20,254,2020,5,2,21,0
2020-05-21,252,2020,5,3,21,0
2020-05-22,269,2020,5,4,21,0
2020-05-23,369,2020,5,5,21,1
2020-05-24,308,2020,5,6,21,1
2020-05-25,254,2020,5,0,22,0
2020-05-26,272,2020,5,1,22,0
2020-05-27,266,2020,5,2,22,0
2020-05-28,246,2020,5,3,22,0
2020-05-29,282,2020,5,4,22,0
2020-05-30,407,2020,5,5,22,1
2020-05-31,366,2020,5,6,22,1
2020-06-01,221,2020,6,0,23,0
2020-06-02,280,2020,6,1,23,0
2020-06-03,303,2020,6,2,23,0
2020-06-04,227,2020,6,3,23,0
2020-06-05,327,2020,6,4,23,0
2020-06-06,347,2020,6,5,23,1
2020-06-07,373,2020,6,6,23,1
2020-06-08,229,2020,6,0,24,0
2020-06-09,225,2020,6,1,24,0
2020-06-10,230,2020,6,2,24,0
2020-06-11,282,2020,6,3,24,0
2020-06-12,318,2020,6,4,24,0
2020-06-13,340,2020,6,5,24,1
2020-06-14,379,2020,6,6,24,1
2020-06-15,207,2020,6,0,25,0
2020-06-16,279,2020,6,1,25,0
2020-06-17,243,2020,6,2,25,0
2020-06-18,260,2020,6,3,25,0
2020-06-19,312,2020,6,4,25,0
2020-06-20,343,2020,6,5,25,1
2020-06-21,337,2020,6,6,25,1
2020-06-22,286,2020,6,0,26,0
2020-06-23,263,2020,6,1,26,0
2020-06-24,312,2020,6,2,26,0
2020-06-25,246,2020,6,3,26,0
2020-06-26,331,2020,6,4,26,0
2020-06-27,453,2020,6,5,26,1
2020-06-28,262,2020,6,6,26,1
2020-06-29,231,2020,6,0,27,0
2020-06-30,302,2020,6,1,27,0
2020-07-01,786,2020,7,2,27,0
2020-07-02,842,2020,7,3,27,0
2020-07-03,823,2020,7,4,27,0
2020-07-04,1097,2020,7,5,27,1
2020-07-05,986,2020,7,6,27,1
2020-07-06,832,2020,7,0,28,0
2020-07-07,827,2020,7,1,28,0
2020-07-08,835,2020,7,2,28,0
2020-07-09,763,2020,7,3,28,0
2020-07-10,830,2020,7,4,28,0
2020-07-11,1025,2020,7,5,28,1
2020-07-12,1047,2020,7,6,28,1
2020-07-13,683,2020,7,0,29,0
2020-07-14,825,2020,7,1,29,0
2020-07-15,1021,2020,7,2,29,0
2020-07-16,882,2020,7,3,29,0
2020-07-17,840,2020,7,4,29,0
2020-07-18,1236,2020,7,5,29,1
2020-07-19,942,2020,7,6,29,1
2020-07-20,557,2020,7,0,30,0
2020-07-21,699,2020,7,1,30,0
2020-07-22,629,2020,7,2,30,0
2020-07-23,753,2020,7,3,30,0
2020-07-24,865,2020,7,4,30,0
2020-07-25,1292,2020,7,5,30,1
2020-07-26,1016,2020,7,6,30,1
2020-07-27,684,2020,7,0,31,0
2020-07-28,860,2020,7,1,31,0
2020-07-29,595,2020,7,2,31,0
2020-07-30,797,2020,7,3,31,0
2020-07-31,933,2020,7,4,31,0
2020-08-01,872,2020,8,5,31,1
2020-08-02,1103,2020,8,6,31,1
2020-08-03,719,2020,8,0,32,0
2020-08-04,728,2020,8,1,32,0
2020-08-05,823,2020,8,2,32,0
2020-08-06,1000,2020,8,3,32,0
2020-08-07,853,2020,8,4,32,0
2020-08-08,1053,2020,8,5,32,1
2020-08-09,893,2020,8,6,32,1
2020-08-10,612,2020,8,0,33,0
2020-08-11,829,2020,8,1,33,0
2020-08-12,675,2020,8,2,33,0
2020-08-13,752,2020,8,3,33,0
2020-08-14,772,2020,8,4,33,0
2020-08-15,1060,2020,8,5,33,1
2020-08-16,961,2020,8,6,33,1
2020-08-17,751,2020,8,0,34,0
2020-08-18,690,2020,8,1,34,0
2020-08-19,708,2020,8,2,34,0
2020-08-20,648,2020,8,3,34,0
2020-08-21,757,2020,8,4,34,0
2020-08-22,1022,2020,8,5,34,1
2020-08-23,987,2020,8,6,34,1
2020-08-24,579,2020,8,0,35,0
2020-08-25,794,2020,8,1,35,0
2020-08-26,839,2020,8,2,35,0
2020-08-27,746,2020,8,3,35,0
2020-08-28,975,2020,8,4,35,0
2020-08-29,867,2020,8,5,35,1
2020-08-30,756,2020,8,6,35,1
2020-08-31,508,2020,8,0,36,0
2020-09-01,833,2020,9,1,36,0
2020-09-02,750,2020,9,2,36,0
2020-09-03,686,2020,9,3,36,0
2020-09-04,782,2020,9,4,36,0
2020-09-05,808,2020,9,5,36,1
2020-09-06,1143,2020,9,6,36,1
2020-09-07,620,2020,9,0,37,0
2020-09-08,685,2020,9,1,37,0
2020-09-09,734,2020,9,2,37,0
2020-09-10,710,2020,9,3,37,0
2020-09-11,754,2020,9,4,37,0
2020-09-12,815,2020,9,5,37,1
2020-09-13,874,2020,9,6,37,1
2020-09-14,742,2020,9,0,38,0
2020-09-15,770,2020,9,1,38,0
2020-09-16,789,2020,9,2,38,0
2020-09-17,610,2020,9,3,38,0
2020-09-18,631,2020,9,4,38,0
2020-09-19,855,2020,9,5,38,1
2020-09-20,805,2020,9,6,38,1
2020-09-21,653,2020,9,0,39,0
2020-09-22,517,2020,9,1,39,0
2020-09-23,757,2020,9,2,39,0
2020-09-24,616,2020,9,3,39,0
2020-09-25,652,2020,9,4,39,0
2020-09-26,743,2020,9,5,39,1
2020-09-27,634,2020,9,6,39,1
2020-09-28,611,2020,9,0,40,0
2020-09-29,618,2020,9,1,40,0
2020-09-30,522,2020,9,2,40,0
2020-10-01,519,2020,10,3,40,0
2020-10-02,637,2020,10,4,40,0
2020-10-03,990,2020,10,5,40,1
2020-10-04,724,2020,10,6,40,1
2020-10-05,447,2020,10,0,41,0
2020-10-06,574,2020,10,1,41,0
2020-10-07,569,2020,10,2,41,0
2020-10-08,424,2020,10,3,41,0
2020-10-09,637,2020,10,4,41,0
2020-10-10,761,2020,10,5,41,1
2020-10-11,784,2020,10,6,41,1
2020-10-12,645,2020,10,0,42,0
2020-10-13,654,2020,10,1,42,0
2020-10-14,550,2020,10,2,42,0
2020-10-15,495,2020,10,3,42,0
2020-10-16,843,2020,10,4,42,0
2020-10-17,761,2020,10,5,42,1
2020-10-18,698,2020,10,6,42,1
2020-10-19,498,2020,10,0,43,0
2020-10-20,1017,2020,10,1,43,0
2020-10-21,972,2020,10,2,43,0
2020-10-22,919,2020,10,3,43,0
2020-10-23,1009,2020,10,4,43,0
2020-10-24,1311,2020,10,5,43,1
2020-10-25,1136,2020,10,6,43,1
2020-10-26,798,2020,10,0,44,0
2020-10-27,974,2020,10,1,44,0
2020-10-28,928,2020,10,2,44,0
2020-10-29,1141,2020,10,3,44,0
2020-10-30,759,2020,10,4,44,0
2020-10-31,1453,2020,10,5,44,1
2020-11-01,1365,2020,11,6,44,1
2020-11-02,657,2020,11,0,45,0
2020-11-03,895,2020,11,1,45,0
2020-11-04,888,2020,11,2,45,0
2020-11-05,781,2020,11,3,45,0
2020-11-06,513,2020,11,4,45,0
2020-11-07,602,2020,11,5,45,1
2020-11-08,783,2020,11,6,45,1
2020-11-09,509,2020,11,0,46,0
2020-11-10,587,2020,11,1,46,0
2020-11-11,547,2020,11,2,46,0
2020-11-12,437,2020,11,3,46,0
2020-11-13,515,2020,11,4,46,0
2020-11-14,711,2020,11,5,46,1
2020-11-15,534,2020,11,6,46,1
2020-11-16,484,2020,11,0,47,0
2020-11-17,478,2020,11,1,47,0
2020-11-18,469,2020,11,2,47,0
2020-11-19,532,2020,11,3,47,0
2020-11-20,565,2020,11,4,47,0
2020-11-21,628,2020,11,5,47,1
2020-11-22,696,2020,11,6,47,1
2020-11-23,382,2020,11,0,48,0
2020-11-24,519,2020,11,1,48,0
2020-11-25,516,2020,11,2,48,0
2020-11-26,462,2020,11,3,48,0
