customer_id,age,income_lpa,city_tier,spend_score,frequency_pm,avg_order_val,recency_days,total_orders,total_spend,clv,cat_electronics,cat_fashion,cat_grocery,cat_beauty,cat_sports,cat_home,app_sessions_pw,email_open_rate,push_click_rate,web_sessions_pw,pages_per_session,cart_abandon_rate,wishlist_items,reviews_written,returns_rate,referrals_made,pref_mobile,pref_desktop,pref_app,loyalty_years,nps_score,satisfaction,support_tickets,discount_usage,engagement_score,churn_risk
C00032,60,9.28,2,44.6,0.5,200,126,4,800,1878,0.204,0.501,0.433,0.237,0.082,0.065,2.3,0.193,0.126,1.5,1.0,0.841,3,1,0.221,1,0.67,0.32999999999999996,0.441,4.7,10,2,0,0.157,31.2,0.667
C00033,38,29.3,2,32.0,2.8,200,25,29,5800,8870,0.283,0.127,0.539,0.191,0.538,0.398,2.7,0.168,0.345,3.4,2.1,0.854,6,1,0.269,0,0.73,0.27,0.527,5.1,8,5,0,0.31,26.7,0.506
C00034,25,22.62,1,38.6,9.1,200,20,115,23000,74949,0.159,0.377,0.651,0.412,0.413,0.443,1.3,0.57,0.453,2.6,4.8,0.524,1,1,0.098,0,0.675,0.32499999999999996,0.069,0.2,8,4,0,0.458,36.8,0.22
C00035,48,18.99,3,23.3,2.7,200,26,33,6600,11940,0.15,0.476,0.802,0.088,0.057,0.465,1.5,0.517,0.156,2.5,4.3,0.382,2,1,0.318,3,0.659,0.34099999999999997,0.715,0.2,8,4,0,0.376,29.8,0.405
C00036,23,10.21,1,29.6,0.5,200,33,4,800,2578,0.22,0.564,0.368,0.243,0.045,0.168,1.1,0.3,0.291,1.5,5.1,0.663,5,0,0.04,2,0.633,0.367,0.376,0.9,2,5,1,0.311,24.5,0.533
C00037,41,32.54,3,37.4,3.2,1584,45,36,57024,123102,0.276,0.455,0.624,0.413,0.198,0.315,1.7,0.741,0.382,2.1,1.9,0.632,1,4,0.404,0,0.441,0.5589999999999999,0.118,0.2,1,4,2,0.518,42.8,0.346
C00038,18,18.3,2,34.9,2.6,456,73,22,10032,22434,0.138,0.535,0.582,0.386,0.318,0.169,0.0,0.637,0.032,0.0,1.2,0.654,3,3,0.072,0,0.9,0.09999999999999998,0.151,1.9,7,5,2,0.614,33.1,0.423
C00039,22,12.89,2,34.7,2.8,209,27,39,8151,12864,0.343,0.117,0.458,0.144,0.334,0.207,2.8,0.578,0.198,3.0,1.0,0.63,4,2,0.199,0,0.712,0.28800000000000003,0.213,0.1,7,3,2,0.268,40.5,0.385
C00040,40,5.05,1,30.8,3.5,200,77,47,9400,20245,0.126,0.378,0.411,0.071,0.344,0.218,3.2,0.653,0.106,2.5,11.4,0.83,3,1,0.29,2,0.558,0.44199999999999995,0.343,3.8,5,4,1,0.352,42.5,0.4
C00041,47,24.16,2,24.5,0.9,200,34,7,1400,4587,0.306,0.729,0.389,0.662,0.235,0.203,2.8,0.409,0.144,3.9,1.0,0.61,2,1,0.354,1,0.71,0.29000000000000004,0.301,2.6,8,5,0,0.295,31.3,0.492
C00042,40,65.02,2,50.6,8.0,200,19,105,21000,32573,0.364,0.48,0.794,0.487,0.43,0.303,3.4,0.502,0.468,4.4,1.0,0.455,3,5,0.378,5,0.345,0.655,0.384,0.6,10,4,1,0.209,46.5,0.267
C00043,37,61.17,1,42.4,4.9,200,48,66,13200,30527,0.216,0.331,0.684,0.252,0.553,0.68,0.2,0.284,0.269,0.4,1.0,0.328,4,3,0.025,0,0.716,0.28400000000000003,0.127,1.0,9,2,0,0.284,26.1,0.443
C00044,34,19.08,2,35.8,4.2,200,57,43,8600,13440,0.473,0.464,0.664,0.459,0.241,0.38,0.0,0.281,0.266,0.0,1.5,0.703,3,4,0.201,2,0.529,0.471,0.166,0.9,8,2,1,0.606,22.8,0.471
C00045,20,17.62,3,21.4,1.4,200,37,17,3400,7622,0.281,0.384,0.586,0.179,0.357,0.441,3.0,0.284,0.047,5.0,6.8,0.754,2,4,0.256,0,0.976,0.02400000000000002,0.556,6.4,6,3,2,0.418,27.0,0.52
C00046,29,31.75,2,27.6,5.8,200,3,62,12400,22881,0.28,0.536,0.611,0.267,0.034,0.469,1.7,0.588,0.039,1.1,1.6,0.705,0,3,0.071,0,0.403,0.597,0.327,5.5,5,4,2,0.364,34.3,0.279
C00047,32,14.17,2,43.9,2.1,200,8,25,5000,10022,0.384,0.596,0.357,0.375,0.694,0.183,1.6,0.222,0.379,2.6,4.4,0.471,4,3,0.384,1,0.725,0.275,0.149,2.1,9,5,2,0.428,29.5,0.489
C00048,51,28.96,1,39.7,3.7,200,15,37,7400,24088,0.338,0.49,0.783,0.308,0.33,0.374,2.0,0.129,0.133,3.9,13.5,0.483,0,2,0.073,1,0.518,0.482,0.294,1.1,7,4,0,0.353,26.3,0.484
C00049,42,37.39,2,42.9,1.6,745,15,16,11920,28275,0.284,0.491,0.62,0.16,0.071,0.209,2.3,0.322,0.148,3.4,8.9,0.298,2,6,0.244,0,0.658,0.34199999999999997,0.208,1.5,8,3,2,0.364,34.4,0.479
C00050,18,48.17,1,39.0,1.9,200,50,20,4000,8190,0.085,0.337,0.703,0.659,0.233,0.474,3.3,0.234,0.312,5.3,1.0,0.649,3,2,0.224,4,0.817,0.18300000000000005,0.36,2.1,10,4,1,0.371,33.5,0.536
C00051,42,23.22,2,24.8,4.3,200,1,38,7600,20358,0.317,0.353,0.793,0.155,0.163,0.5,1.3,0.468,0.172,2.6,1.8,0.614,4,3,0.367,1,0.867,0.133,0.157,1.7,7,2,4,0.158,28.2,0.351
C00052,33,21.93,3,35.0,2.0,763,63,26,19838,35395,0.056,0.51,0.477,0.552,0.468,0.306,0.0,0.49,0.131,0.0,5.6,0.129,5,3,0.34,1,0.949,0.051000000000000045,0.13,0.2,9,3,1,0.16,28.7,0.471
C00053,30,15.14,2,29.4,0.9,200,14,9,1800,3634,0.161,0.231,0.571,0.392,0.364,0.494,2.7,0.474,0.161,4.7,15.2,0.748,2,4,0.071,1,0.622,0.378,0.451,1.6,9,4,1,0.329,34.9,0.45
C00054,45,15.57,1,30.5,1.3,445,17,14,6230,16151,0.111,0.399,0.443,0.302,0.025,0.543,2.5,0.187,0.556,2.7,5.0,0.509,1,2,0.191,1,0.534,0.46599999999999997,0.591,6.3,4,5,1,0.144,26.1,0.529
C00055,50,21.66,2,26.3,4.3,1029,34,57,58653,115842,0.333,0.594,0.604,0.3,0.415,0.238,0.0,0.163,0.157,0.0,1.2,0.657,0,2,0.488,0,0.596,0.404,0.726,1.3,2,4,1,0.13,15.4,0.479
C00056,49,30.03,2,28.0,1.9,200,11,21,4200,12005,0.204,0.78,0.538,0.383,0.291,0.656,0.0,0.533,0.313,0.0,1.0,0.458,5,3,0.102,0,0.611,0.389,0.251,3.0,9,5,2,0.203,27.2,0.404
C00057,28,40.55,2,36.9,3.4,200,97,38,7600,18871,0.303,0.636,0.435,0.241,0.177,0.197,3.6,0.146,0.375,3.2,2.7,0.675,1,1,0.306,0,0.952,0.04800000000000004,0.278,12.0,10,5,1,0.369,31.0,0.576
C00058,34,15.77,3,47.1,2.7,200,4,37,7400,22525,0.121,0.639,0.429,0.212,0.362,0.509,3.6,0.131,0.181,7.2,1.0,0.755,3,0,0.235,0,0.118,0.882,0.359,2.0,7,5,2,0.475,34.6,0.496
C00059,42,55.76,3,43.4,0.5,200,26,7,1400,4755,0.172,0.149,0.448,0.29,0.327,0.532,0.0,0.59,0.751,0.0,1.0,0.681,4,2,0.348,2,0.386,0.614,0.294,1.7,7,4,2,0.514,35.1,0.439
C00060,50,21.13,2,29.2,0.5,200,85,5,1000,1732,0.125,0.564,0.686,0.516,0.161,0.313,2.3,0.373,0.279,1.6,4.0,0.386,2,4,0.32,1,0.356,0.644,0.621,0.8,9,5,1,0.458,30.5,0.569
C00061,32,24.25,2,40.8,3.6,444,43,39,17316,37564,0.58,0.53,0.368,0.149,0.285,0.289,1.0,0.262,0.451,1.0,2.9,0.81,0,1,0.13,0,0.222,0.778,0.403,0.7,5,2,0,0.501,27.5,0.477
C00062,36,16.27,1,28.8,1.2,273,16,17,4641,9928,0.152,0.326,0.771,0.317,0.396,0.199,1.5,0.544,0.315,2.7,1.0,0.728,3,5,0.411,0,0.512,0.488,0.298,2.0,0,5,4,0.649,32.8,0.424
C00063,25,6.47,1,38.7,4.4,311,25,45,13995,25224,0.164,0.433,0.36,0.178,0.131,0.224,1.4,0.398,0.283,1.4,1.0,0.726,1,1,0.36,1,0.47,0.53,0.239,2.8,9,4,2,0.627,32.0,0.396
C00064,24,39.89,2,24.9,5.5,200,55,56,11200,34951,0.491,0.505,0.271,0.19,0.121,0.616,0.3,0.098,0.377,0.4,1.0,0.594,3,1,0.041,0,0.913,0.08699999999999997,0.548,1.4,8,4,1,0.396,13.9,0.491
C00065,48,36.79,2,37.4,4.9,200,163,45,9000,27178,0.319,0.311,0.536,0.683,0.155,0.124,3.0,0.453,0.207,5.7,1.0,0.697,2,2,0.04,2,0.395,0.605,0.434,0.0,9,5,3,0.662,38.4,0.518
C00066,54,21.02,2,35.5,6.5,638,101,56,35728,88207,0.339,0.671,0.69,0.478,0.146,0.546,0.0,0.339,0.347,0.0,8.7,0.796,4,1,0.064,1,0.592,0.40800000000000003,0.867,2.1,8,5,0,0.187,24.4,0.444
C00067,37,25.45,2,32.3,2.9,200,19,36,7200,18544,0.174,0.561,0.315,0.068,0.273,0.648,3.0,0.29,0.406,2.1,6.3,0.491,3,1,0.126,0,0.644,0.356,0.717,2.1,8,3,0,0.225,31.5,0.46
C00068,50,32.58,1,43.2,4.6,200,284,58,11600,18781,0.337,0.418,0.79,0.345,0.254,0.714,3.6,0.575,0.145,2.3,2.1,0.593,7,2,0.162,1,0.603,0.397,0.519,0.2,10,4,2,0.61,46.4,0.622
C00069,42,10.39,2,29.1,1.2,200,1,17,3400,8877,0.199,0.637,0.456,0.071,0.11,0.1,0.0,0.108,0.356,0.0,5.4,0.807,3,5,0.3,1,0.523,0.477,0.416,0.3,8,4,1,0.748,14.9,0.538
C00070,30,18.34,1,32.0,7.6,734,1,96,70464,217218,0.332,0.154,0.3,0.376,0.047,0.133,0.0,0.536,0.293,0.0,2.1,0.264,3,3,0.276,0,0.637,0.363,0.475,0.9,4,4,1,0.272,28.9,0.247
C00071,42,37.97,1,43.3,7.5,491,78,71,34861,92300,0.402,0.3,0.72,0.052,0.254,0.227,2.0,0.238,0.261,2.4,6.3,0.351,8,5,0.494,1,0.813,0.18700000000000006,0.5,2.3,6,3,1,0.344,31.1,0.423
C00072,56,12.31,3,32.9,2.5,200,10,21,4200,8529,0.237,0.509,0.315,0.042,0.213,0.469,4.3,0.148,0.182,7.7,1.0,0.515,2,1,0.193,0,0.589,0.41100000000000003,0.445,0.5,6,1,3,0.455,31.8,0.503
C00073,38,28.83,1,35.6,3.9,200,3,54,10800,30619,0.533,0.631,0.619,0.314,0.412,0.404,0.4,0.426,0.114,0.7,1.0,0.504,4,2,0.39,0,0.776,0.22399999999999998,0.572,1.1,5,3,3,0.393,28.3,0.376
C00074,57,11.63,2,24.1,5.2,291,12,52,15132,33638,0.368,0.574,0.387,0.128,0.027,0.128,0.4,0.186,0.408,0.5,1.0,0.652,6,1,0.108,1,0.364,0.636,0.045,0.4,10,1,1,0.609,16.5,0.425
C00075,18,31.71,1,36.1,3.0,200,25,30,6000,15538,0.248,0.548,0.826,0.508,0.181,0.151,2.3,0.181,0.24,4.1,1.1,0.542,6,0,0.309,1,0.475,0.525,0.474,1.0,8,2,1,0.23,27.5,0.497
C00076,48,24.06,3,36.1,1.6,200,59,21,4200,10396,0.667,0.22,0.649,0.176,0.023,0.695,2.8,0.492,0.201,1.8,1.0,0.568,6,2,0.334,0,0.35,0.65,0.274,3.3,7,3,3,0.512,38.4,0.476
C00077,39,10.09,2,36.5,4.2,509,44,48,24432,55274,0.076,0.544,0.365,0.319,0.025,0.024,2.3,0.236,0.118,3.3,6.4,0.665,2,1,0.242,0,0.381,0.619,0.384,1.2,10,5,0,0.433,29.3,0.471
C00078,34,46.55,1,26.4,4.0,200,12,37,7400,21739,0.16,0.71,0.54,0.293,0.319,0.78,2.0,0.309,0.18,1.3,1.1,0.444,5,4,0.193,2,0.718,0.28200000000000003,0.546,4.3,1,3,1,0.535,26.4,0.419
C00079,39,16.38,2,27.3,3.0,200,31,40,8000,26142,0.357,0.733,0.753,0.113,0.249,0.469,0.7,0.13,0.511,0.9,2.9,0.398,6,0,0.076,2,0.312,0.688,0.491,6.6,7,3,0,0.482,17.1,0.519
C00080,18,15.71,2,31.2,1.0,392,117,14,5488,8289,0.303,0.306,0.426,0.41,0.096,0.472,2.0,0.494,0.097,2.4,5.6,0.626,5,3,0.177,0,0.742,0.258,0.203,0.9,5,4,2,0.141,33.9,0.555
C00081,35,27.39,3,42.9,0.5,200,76,4,800,2694,0.026,0.378,0.528,0.193,0.139,0.331,0.0,0.325,0.337,0.0,4.5,0.695,3,2,0.164,0,0.321,0.679,0.181,2.4,7,4,0,0.689,26.9,0.573
C00082,42,46.14,1,34.8,4.3,791,18,57,45087,113756,0.245,0.417,0.893,0.296,0.161,0.021,5.7,0.529,0.241,9.9,1.0,0.265,3,1,0.309,3,0.528,0.472,0.233,0.8,4,4,3,0.747,48.6,0.352
C00083,56,14.03,3,27.6,4.4,200,181,46,9200,26693,0.379,0.732,0.437,0.236,0.037,0.516,0.9,0.387,0.483,0.8,1.0,0.591,5,3,0.186,1,0.322,0.6779999999999999,0.099,2.1,4,4,0,0.451,25.6,0.57
C00084,32,25.38,3,24.5,2.6,332,55,29,9628,30918,0.267,0.109,0.473,0.489,0.133,0.151,1.9,0.389,0.389,2.5,9.7,0.487,3,1,0.404,0,0.542,0.45799999999999996,0.387,0.3,6,4,3,0.647,27.7,0.477
C00085,28,31.06,3,25.1,6.1,722,3,82,59204,144115,0.494,0.167,0.456,0.561,0.088,0.242,5.8,0.292,0.269,7.1,3.9,0.701,1,3,0.17,0,0.315,0.685,0.173,2.3,4,1,1,0.359,37.9,0.361
C00086,32,35.92,2,30.3,2.0,200,2,28,5600,17752,0.182,0.259,0.8,0.093,0.402,0.605,0.2,0.294,0.258,0.2,4.9,0.584,3,1,0.123,0,0.803,0.19699999999999995,0.147,0.5,10,4,1,0.462,21.6,0.463
C00087,49,27.03,2,33.5,1.0,200,8,10,2000,3710,0.554,0.458,0.412,0.145,0.3,0.12,6.2,0.234,0.186,3.4,2.0,0.308,1,0,0.243,2,0.895,0.10499999999999998,0.315,1.3,4,4,1,0.552,40.9,0.513
C00088,42,20.05,2,26.4,2.7,574,59,25,14350,26093,0.221,0.381,0.292,0.11,0.266,0.2,2.9,0.41,0.13,4.5,1.1,0.227,2,3,0.038,1,0.516,0.484,0.459,0.7,7,5,0,0.511,32.4,0.473
C00089,32,15.56,3,32.7,2.5,581,9,21,12201,34345,0.402,0.325,0.571,0.058,0.111,0.575,2.2,0.284,0.087,1.1,3.0,0.672,2,0,0.155,0,0.456,0.544,0.643,4.0,9,2,1,0.368,28.9,0.461
C00090,44,25.72,2,40.2,4.6,200,32,52,10400,33699,0.183,0.27,0.552,0.143,0.166,0.485,2.8,0.252,0.133,4.8,1.0,0.889,2,2,0.111,1,0.611,0.389,0.237,0.5,9,5,0,0.508,32.9,0.443
C00091,39,13.6,2,39.6,1.0,200,4,8,1600,5256,0.69,0.529,0.492,0.074,0.116,0.084,0.0,0.379,0.387,0.0,6.4,0.852,3,1,0.143,0,0.453,0.5469999999999999,0.026,8.3,10,5,0,0.221,27.2,0.465
C00092,50,4.92,2,18.8,4.9,479,114,51,24429,68095,0.193,0.409,0.394,0.344,0.035,0.323,0.0,0.639,0.292,0.0,4.3,0.437,2,3,0.214,1,0.384,0.616,0.731,0.3,8,4,0,0.561,26.7,0.409
C00093,30,31.19,2,44.9,7.2,596,19,61,36356,92743,0.48,0.399,0.712,0.024,0.113,0.09,0.0,0.241,0.183,0.0,5.7,0.794,2,4,0.18,0,0.518,0.482,0.456,1.3,6,4,0,0.073,25.2,0.365
C00094,34,40.33,3,52.9,3.5,200,107,37,7400,16005,0.265,0.691,0.446,0.123,0.438,0.238,4.0,0.269,0.087,5.4,3.4,0.739,3,4,0.099,2,0.721,0.279,0.475,3.7,8,4,0,0.666,42.4,0.548
C00095,33,6.69,1,26.0,4.8,200,130,40,8000,27680,0.644,0.422,0.415,0.26,0.234,0.47,0.0,0.302,0.374,0.0,3.5,0.536,0,1,0.076,0,0.532,0.46799999999999997,0.089,0.3,8,3,1,0.381,19.5,0.53
C00096,20,14.08,3,36.5,0.5,200,1,7,1400,2995,0.143,0.448,0.386,0.295,0.099,0.293,0.0,0.594,0.077,0.0,3.7,0.764,1,4,0.207,2,0.322,0.6779999999999999,0.197,0.9,8,5,1,0.407,32.4,0.41
C00097,42,34.49,2,33.3,5.5,320,28,51,16320,48770,0.384,0.504,0.57,0.241,0.293,0.431,1.5,0.19,0.35,0.8,6.1,0.374,5,0,0.286,1,0.491,0.509,0.641,1.5,7,3,4,0.897,24.0,0.434
C00098,41,76.07,3,54.2,7.1,200,1,71,14200,36408,0.63,0.485,0.595,0.158,0.523,0.123,3.7,0.123,0.071,5.8,1.0,0.483,6,0,0.159,0,0.326,0.6739999999999999,0.306,3.6,10,3,1,0.332,37.6,0.384
C00099,38,24.81,2,35.9,4.7,343,108,62,21266,57780,0.286,0.326,0.388,0.217,0.395,0.521,1.6,0.712,0.044,2.9,4.6,0.53,3,1,0.097,0,0.677,0.32299999999999995,0.43,3.9,8,4,0,0.776,41.0,0.385
C00100,35,16.44,2,37.2,2.6,200,33,32,6400,14637,0.31,0.769,0.493,0.194,0.122,0.077,2.5,0.712,0.141,1.6,3.2,0.662,1,0,0.029,0,0.378,0.622,0.863,4.8,8,5,0,0.385,44.5,0.356
C00101,21,22.18,3,29.9,0.5,200,4,5,1000,3430,0.232,0.215,0.729,0.383,0.155,0.372,3.8,0.507,0.172,3.2,2.7,0.402,2,1,0.274,1,0.505,0.495,0.092,0.9,7,3,2,0.346,39.7,0.44
C00102,33,52.26,1,26.0,2.8,200,5,24,4800,12688,0.036,0.586,0.575,0.163,0.296,0.215,3.2,0.596,0.347,1.7,3.1,0.517,2,4,0.163,0,0.051,0.949,0.294,0.0,5,5,1,0.56,38.8,0.355
C00103,34,17.2,3,25.7,1.4,200,22,17,3400,11477,0.083,0.601,0.882,0.243,0.389,0.129,1.0,0.447,0.306,1.8,1.3,0.617,8,2,0.089,1,0.511,0.489,0.677,3.2,5,4,1,0.298,27.0,0.454
C00104,28,15.81,2,32.4,0.7,200,127,7,1400,2121,0.426,0.418,0.307,0.255,0.149,0.451,0.2,0.45,0.114,0.2,1.0,0.732,1,2,0.106,1,0.369,0.631,0.235,0.5,8,3,0,0.159,27.1,0.586
C00105,36,18.81,2,39.5,3.0,200,53,38,7600,20105,0.213,0.453,0.728,0.097,0.2,0.389,2.9,0.427,0.139,5.5,5.7,0.841,4,7,0.117,5,0.591,0.40900000000000003,0.526,1.2,0,4,0,0.372,38.2,0.454
C00106,43,14.52,1,23.1,1.7,200,91,18,3600,10564,0.157,0.183,0.523,0.227,0.384,0.429,1.8,0.41,0.276,2.2,9.9,0.529,2,0,0.059,1,0.457,0.5429999999999999,0.529,4.1,10,3,1,0.665,27.5,0.534
C00107,61,26.24,2,42.5,1.4,200,21,14,2800,8372,0.833,0.649,0.661,0.366,0.339,0.443,0.0,0.65,0.376,0.0,2.6,0.528,1,1,0.172,0,0.29,0.71,0.308,2.4,7,3,2,0.499,36.5,0.392
