channel,discount,revenue
Push,10,892.57
Push,10,1120.41
Push,10,1212.86
Push,10,1512.14
Push,10,1186.07
Push,10,928.86
Push,10,990.35
Push,10,1139.19
Push,10,1126.17
Push,10,1508.68
Push,10,1490.7
Push,10,999.5
Push,10,946.38
Push,10,384.02
Push,10,946.3
Push,10,826.14
Push,10,1000.65
Push,10,1209.64
Push,10,1149.61
Push,10,1091.61
Push,10,1155.88
Push,10,1064.69
Push,10,1155.17
Push,10,195.3
Push,10,1024.6
Push,10,1068.96
Push,10,1004.45
Push,10,1038.98
Push,20,1546.93
Push,20,1182.53
Push,20,1966.2
Push,20,1542.72
Push,20,1348.23
Push,20,1292.13
Push,20,1325.77
Push,20,1093.71
Push,20,1323.34
Push,20,1428.03
Push,20,1512.27
Push,20,1512.31
Push,20,1273.03
Push,20,953.5
Push,20,1162.65
Push,20,1801.41
Push,20,1600.9
Push,20,1453.49
Push,20,1136.84
Push,20,1351.02
Push,20,998.41
Push,20,1195.46
Push,20,1281.34
Push,20,1248.74
Push,20,1617.85
Push,20,952.76
Push,20,1107.68
Push,20,965.09
Push,20,1003.54
Push,20,1384.74
Push,20,901.88
Push,20,1561.08
Push,20,1280.89
Push,20,1369.26
Push,20,1440.32
Push,20,1228.43
Push,20,1639.09
Push,20,1295.58
Push,20,1516.34
Push,20,1294.25
Push,20,1431.44
Push,20,1428.31
Push,20,1419.99
Push,20,1077.19
Push,20,1472.05
Push,20,1260.69
Push,20,1526.54
Push,20,747.3
Push,20,939.77
Push,20,1451.76
Push,30,1971.62
Push,30,1683.82
Push,30,1258.91
Push,30,976.23
Push,30,1657.95
Push,30,1427.44
Push,30,1615.4
Push,30,1482.28
Push,30,1458.3
Push,30,2278.42
Push,30,1448.28
Push,30,1405.41
Push,30,1415.99
Push,30,1286.61
Push,30,1727.24
Push,30,1350.95
Push,30,1628.06
Push,30,1529.69
Push,30,1791.32
Push,30,1567.65
Push,30,1110.25
Push,30,1078.58
Push,30,1844.34
Push,30,1279.56
Push,30,1080.23
Push,30,1262.51
Push,30,1804.1
Push,30,1052.34
Push,30,1207.38
Push,30,1263.29
Push,30,1099.67
Push,30,1118.39
Push,30,1024.93
Push,30,1320.87
Push,30,1350.63
Push,30,1258.89
Push,30,986.96
Push,30,1800.93
Push,30,1077.86
Push,30,1527.85
Push,30,1149.07
Push,30,1637.13
Push,30,1717.63
Push,30,1204.27
Push,30,911.36
Push,30,1644.82
Push,30,1975.22
Push,30,1566.39
Push,30,1494.95
Push,30,1679.53
SMS,10,1264.22
SMS,10,817.88
SMS,10,865.44
SMS,10,1221.11
SMS,10,1009.68
SMS,10,1418.65
SMS,10,852.78
SMS,10,1260.17
SMS,10,1145.94
SMS,10,1014.6
SMS,10,1379.26
SMS,10,1240.42
SMS,10,768.61
SMS,10,1229.26
SMS,10,1435.0
SMS,10,1013.48
SMS,10,980.38
SMS,10,862.5
SMS,10,1046.19
SMS,10,1242.14
SMS,10,821.05
SMS,10,673.02
SMS,10,944.79
SMS,10,663.68
SMS,10,1196.5
SMS,10,930.53
SMS,10,558.49
SMS,10,952.39
SMS,10,996.07
SMS,10,1175.76
SMS,10,1009.3
SMS,10,1573.24
SMS,10,904.76
SMS,10,1032.53
SMS,10,1021.19
SMS,10,970.86
SMS,10,1089.88
SMS,10,1201.54
SMS,10,1425.23
SMS,10,610.61
SMS,10,907.1
SMS,10,924.62
SMS,10,1312.6
SMS,10,950.13
SMS,10,519.35
SMS,10,1074.56
SMS,10,1040.57
SMS,10,1100.33
SMS,10,758.75
SMS,10,1531.33
SMS,20,1059.32
SMS,20,1097.28
SMS,20,898.0
SMS,20,889.32
SMS,20,807.63
SMS,20,1039.87
SMS,20,881.88
SMS,20,1725.81
SMS,20,621.22
SMS,20,834.07
SMS,20,1037.6
SMS,20,1338.58
SMS,20,1034.15
SMS,20,1339.27
SMS,20,873.69
SMS,20,1166.6
SMS,20,1638.33
SMS,20,879.03
SMS,20,1267.48
SMS,20,1207.94
SMS,20,519.57
SMS,20,985.09
SMS,20,1466.72
SMS,20,1187.82
SMS,20,810.56
SMS,20,1343.42
SMS,20,1015.85
SMS,20,1250.81
SMS,20,1255.54
SMS,20,836.77
SMS,20,1371.15
SMS,20,867.9
SMS,20,784.38
SMS,20,902.81
SMS,20,1053.09
SMS,20,1180.63
SMS,20,933.68
SMS,20,1358.55
SMS,20,1220.41
SMS,20,955.46
SMS,20,1398.92
SMS,20,1475.1
SMS,20,1122.37
SMS,20,1089.8
SMS,20,653.34
SMS,20,1035.9
SMS,20,1068.38
SMS,20,1218.71
SMS,20,1102.84
SMS,20,1218.33
SMS,30,1629.55
SMS,30,1051.62
SMS,30,1062.53
SMS,30,833.43
SMS,30,1197.58
SMS,30,1473.51
SMS,30,709.7
SMS,30,1013.56
SMS,30,1210.06
SMS,30,1438.03
SMS,30,1307.2
SMS,30,1291.13
SMS,30,1137.19
SMS,30,1334.92
SMS,30,1484.01
SMS,30,721.48
SMS,30,1403.99
SMS,30,1172.35
SMS,30,1051.6
SMS,30,515.94
SMS,30,813.5
SMS,30,1675.46
SMS,30,1007.21
SMS,30,896.26
SMS,30,1072.2
SMS,30,991.36
SMS,30,1234.82
SMS,30,1624.75
SMS,30,1035.75
SMS,30,1243.2
SMS,30,878.77
SMS,30,1625.65
SMS,30,1252.93
SMS,30,897.09
SMS,30,1453.21
SMS,30,1536.0
SMS,30,1245.21
SMS,30,740.97
SMS,30,1699.85
SMS,30,1286.83
SMS,30,1527.73
SMS,30,1045.75
SMS,30,1088.39
SMS,30,1230.93
SMS,30,1511.75
SMS,30,1240.04
SMS,30,848.09
SMS,30,1273.36
SMS,30,1656.27
SMS,30,1218.43
