house_id,city,area_name,sqft,bedrooms,bathrooms,floors,garage_cars,has_pool,has_garden,furnished,quality,year_built,age_years,school_dist_km,hospital_dist_km,metro_dist_km,crime_rate,price_lakhs
TN3017,Madurai,Velachery,400,3,3,1,1,0,0,Unfurnished,Average,1993,31,4.52,3.86,0.71,5.36,15.15
TN3018,Coimbatore,T Nagar,2044,4,3,2,0,0,0,Unfurnished,Excellent,1992,32,1.97,0.62,1,2.83,130.21
TN3019,Chennai,Porur,1526,2,1,2,1,0,0,Fully,Excellent,2019,5,2.02,4.02,1.07,8.35,122.36
TN3020,Trichy,Singanallur,1650,5,5,1,1,0,1,Semi,Fair,2002,22,2.5,1.96,2.25,5.17,54.85
TN3021,Chennai,Velachery,1237,5,4,2,0,0,0,Fully,Average,1989,35,1.45,1.81,10.53,3.25,74.6
TN3022,Chennai,Porur,,3,3,1,0,0,1,Fully,Excellent,1998,26,2.85,5.72,2.95,4.49,134.8
TN3023,Coimbatore,Mylapore,2276,2,1,2,0,0,0,Unfurnished,Average,2012,12,0.29,3.7,0.85,3.76,97.7
TN3024,Coimbatore,Porur,1119,3,2,1,0,0,1,Semi,Excellent,2014,10,8.13,0.3,1.24,7.59,71.63
TN3025,Erode,T Nagar,2200,3,2,2,1,0,1,Fully,Good,1988,36,3.47,1.05,1.94,6.37,91.91
TN3026,Chennai,Nungambakkam,1629,3,2,1,1,1,0,Fully,Average,2004,20,2.49,6.14,3.9,5.41,94.76
TN3027,Madurai,Saibaba Colony,1059,2,1,3,0,0,1,Fully,Average,2009,15,0.95,0.3,2.32,7.93,38.13
TN3028,Madurai,Sholinganallur,2446,5,4,1,1,0,0,Unfurnished,Average,2012,12,0.44,2.36,1.99,2.42,91.28
TN3029,Chennai,Ramanathapuram,1626,2,2,3,1,0,1,Unfurnished,Good,1996,28,1.32,3.9,3.33,6.05,107.36
TN3030,Trichy,Mylapore,1754,3,3,2,0,0,0,Fully,Average,1986,38,2.71,2.92,1.11,5.59,57.94
TN3031,Chennai,Saibaba Colony,1329,1,1,3,0,0,0,Fully,Average,1998,26,2.51,4.29,0.5,4.04,66.67
TN3032,Chennai,RS Puram,1092,3,2,2,0,0,0,Unfurnished,Average,2006,18,1.21,3.88,0.5,4.05,59.46
TN3033,Hosur,Anna Nagar,1526,4,4,2,1,0,0,Unfurnished,Good,2015,9,2.38,3.53,1.16,6.35,86.19
TN3034,Thanjavur,Ashok Nagar,2162,2,2,1,0,0,0,Semi,Excellent,2007,17,4.2,5.17,0.5,6.2,91.04
TN3035,Erode,Chromepet,1311,2,1,1,1,0,1,Fully,Excellent,2004,20,0.2,3.11,1.64,,62.55
TN3036,Coimbatore,Kodambakkam,1438,3,2,2,1,0,0,Fully,Average,2022,2,1.5,1.54,5.93,8.13,68.65
TN3037,Chennai,Peelamedu,2105,3,2,1,1,0,0,Semi,Good,1988,36,3.55,1.92,5.04,,135.04
TN3038,Salem,Anna Nagar,1315,3,2,3,0,0,0,Semi,Good,1999,25,1.97,3.78,3.78,3.94,51.63
TN3039,Coimbatore,Gandhipuram,1680,3,2,1,1,0,0,Fully,Good,2008,16,2.64,6.27,7.66,2.92,91.94
TN3040,Chennai,Chromepet,1845,2,1,2,1,0,0,Semi,Excellent,2009,15,1.82,0.95,1.33,6.72,142.5
TN3041,Coimbatore,Peelamedu,1361,5,5,2,2,0,1,Fully,Average,1985,39,12.03,1.26,8.65,5.49,66.86
TN3042,Chennai,Kodambakkam,1589,4,3,2,1,0,0,Unfurnished,Fair,1991,33,0.2,8.01,2.04,5.93,73.9
TN3043,Tirunelveli,Mylapore,1747,3,2,2,1,1,0,Semi,Excellent,2015,9,1.69,2.59,2.05,5.64,88.53
TN3044,Chennai,Anna Nagar,1270,4,4,1,1,1,0,Fully,Average,1996,28,0.24,0.59,2.08,6.93,83.6
TN3045,Trichy,Alwarpet,1817,3,3,2,1,0,0,Semi,Good,1989,35,0.44,3.27,0.5,6.21,79.67
TN3046,Coimbatore,Alwarpet,1204,3,3,1,2,0,1,Semi,Excellent,2022,2,1.21,14.05,14.83,3.43,80.55
TN3047,Madurai,Adyar,1146,2,2,3,0,0,0,Unfurnished,Fair,1996,28,0.42,5.2,0.6,3.32,32.01
TN3048,Madurai,Gandhipuram,763,3,2,2,2,0,0,Semi,Excellent,2002,22,8.29,4.11,1.67,5.21,42.49
TN3049,Chennai,Porur,1223,3,3,3,1,0,0,Semi,Average,1986,38,7.33,0.7,1.54,9.08,66.25
TN3050,Thanjavur,RS Puram,1083,1,1,1,1,0,0,Unfurnished,Average,1994,30,,6.27,0.5,4.2,31.97
TN3051,Erode,Adyar,1270,3,2,1,0,0,0,Semi,Good,1999,25,2.55,2.24,0.66,5.23,47.03
TN3052,Hosur,Perambur,1725,4,4,1,1,0,0,Unfurnished,Excellent,2014,10,1.91,6.6,0.5,6.29,110.7
TN3053,Tirunelveli,Singanallur,673,3,3,1,1,0,1,Semi,Poor,2001,23,4.23,1.2,1.38,3.66,19.83
TN3054,Madurai,Singanallur,561,3,2,1,0,0,0,Semi,Average,1988,36,2.47,0.3,8.06,6.09,20.91
TN3055,Hosur,Pallavaram,1113,4,3,2,0,0,0,Fully,Good,1991,33,0.2,1.94,1.66,4.53,60.18
TN3056,Chennai,T Nagar,1658,1,1,1,2,0,0,Semi,Good,2015,9,3.6,0.94,0.53,7,105.54
TN3057,Chennai,Singanallur,1580,3,2,2,1,0,0,Unfurnished,Good,2018,6,3.43,3.77,4.15,2.61,102.36
TN3058,Chennai,Sholinganallur,1106,4,3,3,1,0,0,Unfurnished,Fair,1990,34,1.78,9.45,22.74,9.13,51.42
TN3059,Coimbatore,Adyar,1976,3,2,2,0,0,1,Fully,Average,2022,2,5.83,3.52,1.06,3.88,90.95
TN3060,Coimbatore,Kodambakkam,1154,3,2,1,1,0,1,Fully,Average,2018,6,5.98,6.54,1.31,5.54,52.52
TN3061,Chennai,Perambur,1658,2,2,1,1,0,0,Unfurnished,Good,1999,25,1.86,1.81,14.28,4.51,103.43
TN3062,Vellore,KK Nagar,1287,4,4,2,1,0,0,Unfurnished,Average,1998,26,2.34,4.43,0.79,2.34,48.82
TN3063,Coimbatore,T Nagar,1059,3,2,1,1,0,0,Fully,Average,1990,34,14.15,5.56,2.86,6.17,48.03
TN3064,Chennai,Porur,1178,4,4,2,1,0,0,Semi,Excellent,2021,3,0.89,3.72,1.1,3.97,104.89
TN3065,Madurai,Kodambakkam,1780,3,2,1,1,0,1,Semi,Poor,2016,8,0.98,2.13,10.77,5.55,45.35
TN3066,Chennai,Gandhipuram,1612,3,3,3,0,0,1,Unfurnished,Excellent,1987,37,0.5,2.95,15.96,2.89,120.55
TN3067,Erode,Tambaram,1886,4,3,2,2,0,1,Fully,Good,1987,37,5.66,3.62,6.74,3.98,80.92
TN3068,Chennai,T Nagar,1612,3,3,2,1,0,0,Fully,Good,2006,18,3.41,0.88,1.51,3.91,108.9
TN3069,Thanjavur,KK Nagar,725,3,2,1,1,0,0,Unfurnished,Average,2006,18,0.28,4.98,2.07,5.6,21.45
TN3070,Erode,Tambaram,2401,3,3,1,1,1,1,Fully,Poor,1994,30,10.01,9.01,1.11,5.12,56.8
TN3071,Chennai,Peelamedu,1619,4,3,2,1,0,1,Semi,Good,1987,37,3.28,1.88,8.86,4.15,106.51
TN3072,Chennai,Gandhipuram,1682,3,3,2,0,0,1,Semi,Good,1996,28,4.75,3.62,9.84,3.76,110.22
TN3073,Vellore,Velachery,1280,3,3,1,0,0,0,Semi,Good,2013,11,0.2,4.01,2.17,5.13,55.34
TN3074,Salem,Peelamedu,1951,2,1,1,1,0,0,Semi,Fair,2001,23,1.76,3.26,4.27,,56.06
TN3075,Salem,RS Puram,958,4,4,1,1,0,0,Semi,Good,1991,33,3,2.38,0.72,4.76,42.85
TN3076,Erode,KK Nagar,1724,2,2,2,1,0,0,Fully,Good,1997,27,1.96,6.4,2.28,8.44,66.36
TN3077,Chennai,Ramanathapuram,514,3,3,1,0,0,0,Semi,Good,1986,38,2.75,1.79,3.99,5.6,31.53
TN3078,Coimbatore,Porur,1755,3,3,2,1,0,1,Unfurnished,Good,1988,36,,0.3,1.95,8.35,94.47
TN3079,Chennai,Singanallur,964,3,3,2,0,0,0,Unfurnished,Good,1994,30,1.17,5.58,1.77,4.36,65.61
TN3080,Tirunelveli,Nungambakkam,1575,3,2,2,0,1,0,Fully,Good,2008,16,4.72,3.36,0.5,4.4,68.04
TN3081,Trichy,Gandhipuram,2061,2,1,3,2,0,1,Fully,Fair,2001,23,0.44,5.68,6.52,3.49,66.57
TN3082,Coimbatore,RS Puram,1820,3,3,3,1,0,0,Semi,Average,1990,34,0.79,0.45,8.81,5.1,79.23
TN3083,Chennai,Saibaba Colony,2001,4,3,2,1,1,1,Semi,Fair,2003,21,0.2,0.3,13.96,3.85,100.56
TN3084,Coimbatore,Kodambakkam,1954,4,4,1,0,1,0,Semi,Average,1989,35,1.13,8.17,5.08,3.56,94.52
TN3085,Coimbatore,Ramanathapuram,1214,2,1,2,1,0,0,Unfurnished,Average,2016,8,1.19,0.48,3.18,0.7,56.94
TN3086,Salem,RS Puram,1719,4,4,2,1,0,1,Fully,Fair,1994,30,4.09,4.98,1.25,7.43,52.61
TN3087,Trichy,Ramanathapuram,674,3,3,2,2,0,1,Fully,Average,1993,31,2.65,5.2,25,3.73,30.84
TN3088,Tirunelveli,KK Nagar,1141,4,4,2,2,0,0,Semi,Fair,2011,13,1.43,3.7,3.56,7.45,36.39
TN3089,Coimbatore,Peelamedu,2077,3,3,1,1,1,1,Unfurnished,Good,1997,27,2.64,0.42,4.57,4.31,118.41
TN3090,Chennai,Kodambakkam,,3,2,2,1,0,0,Fully,Excellent,2003,21,0.2,3.3,4.59,5.79,104.88
TN3091,Salem,Peelamedu,609,4,3,1,1,0,0,Semi,Fair,2005,19,0.5,6.6,7.46,,20.14
TN3092,Erode,Velachery,2356,4,3,2,1,1,0,Semi,Excellent,2008,16,2.47,1.66,0.5,5.33,120.17
TN3093,Madurai,RS Puram,1703,3,3,1,0,0,0,Unfurnished,Average,2022,2,2.56,1.6,1,2.48,63.99
TN3094,Erode,Mylapore,1794,2,1,2,1,0,1,Unfurnished,Average,1988,36,3.72,1.75,4.38,6.86,55.04
TN3095,Coimbatore,Peelamedu,1009,3,2,1,,1,1,Semi,Fair,2008,16,1.29,0.3,9.02,,42.17
TN3096,Madurai,Velachery,1578,3,3,2,0,0,1,Fully,Average,2019,5,3.21,6.68,4.63,,62.38
TN3097,Coimbatore,Kodambakkam,1566,2,2,2,0,0,1,Semi,Good,1987,37,2.88,6.1,2.13,1.58,80.07
TN3098,Chennai,Saibaba Colony,1080,2,2,1,1,0,0,Fully,Good,1988,36,8.27,18.51,1.79,2.99,70.71
TN3099,Chennai,Ashok Nagar,1374,4,3,2,1,0,1,Unfurnished,Fair,2021,3,0.61,2.64,5.36,5.24,66.28
TN3100,Chennai,Mylapore,775,2,1,2,,0,1,Unfurnished,Fair,2019,5,2.01,4.17,5.41,4.17,35.85
TN3101,Trichy,T Nagar,1294,3,3,2,1,0,1,Unfurnished,Average,2015,9,2.3,0.68,3.74,5.41,48.81
TN3102,Coimbatore,Singanallur,1888,2,1,1,0,1,1,Unfurnished,Average,2009,15,15,3.3,1.38,4.92,83.15
TN3103,Madurai,Velachery,1114,3,3,2,1,0,1,Semi,Average,1997,27,0.56,3.15,10.37,8.16,42.26
TN3104,Tirunelveli,KK Nagar,2308,2,1,2,0,0,0,Fully,Average,1988,36,1.85,6.94,3.21,5.58,69.22
TN3105,Chennai,Kodambakkam,804,2,2,2,1,0,1,Unfurnished,Good,1998,26,1.06,5.33,6.25,3.63,55.96
TN3106,Coimbatore,Besant Nagar,1333,4,3,2,2,0,1,Semi,Excellent,1997,27,1.87,8.36,0.96,3.71,95.44
TN3107,Erode,Singanallur,1155,4,3,2,0,0,1,Unfurnished,Average,2011,13,,6.09,1.69,6.91,39.81
TN3108,Chennai,Peelamedu,1369,2,1,1,0,0,0,Semi,Excellent,1990,34,0.2,6.09,8.3,1.44,100.74
TN3109,Chennai,Adyar,2067,3,3,1,1,0,0,Fully,Average,2001,23,2.12,0.3,0.5,5.62,112.78
TN3110,Chennai,Perambur,1007,3,3,1,2,0,1,Unfurnished,Average,2020,4,1.02,5.61,2.87,2.27,65.35
TN3111,Chennai,KK Nagar,1247,4,4,1,1,1,0,Fully,Average,2019,5,0.5,2.81,2.63,6.72,81.8
TN3112,Hosur,Pallavaram,1745,4,3,2,2,0,1,Unfurnished,Good,2001,23,0.98,1.44,5.56,3.64,96.66
TN3113,Erode,Velachery,1492,3,3,2,1,0,0,Unfurnished,Excellent,1986,38,0.2,0.3,1.32,5.55,68.16
TN3114,Trichy,Nungambakkam,1529,3,2,1,2,0,0,Unfurnished,Good,1997,27,7.51,3.4,0.99,4.57,65.27
TN3115,Tirunelveli,T Nagar,1016,4,4,3,0,1,0,Unfurnished,Average,1986,38,2.18,1.19,10.42,1.73,36.74
TN3116,Erode,Alwarpet,1418,1,1,2,0,0,0,Semi,Good,2012,12,4.22,1.89,3.39,5.78,51.63
TN3117,Chennai,Saibaba Colony,1959,3,2,3,2,0,0,Unfurnished,Fair,2010,14,1.38,3.43,0.5,3.06,95.07
TN3118,Tirunelveli,Velachery,726,4,3,2,2,0,0,Semi,Excellent,2006,18,5.84,7.28,0.86,6.1,41.4
TN3119,Madurai,RS Puram,1136,3,3,2,0,0,0,Semi,Average,1987,37,1.65,5.24,25,2.5,39.51
TN3120,Erode,Chromepet,633,3,3,1,0,0,0,Semi,Average,2019,5,2.13,1.8,0.87,4.98,21.74
TN3121,Tirunelveli,Gandhipuram,1692,3,2,1,0,0,0,Semi,Good,1996,28,1.69,1.47,3.77,4.58,60.19
TN3122,Coimbatore,Pallavaram,2001,3,2,1,,0,0,Semi,Good,2008,16,,0.82,2.18,3.29,102.27
TN3123,Chennai,Chromepet,1367,3,3,2,0,1,0,Semi,Fair,1989,35,2.09,1.4,8.67,7.26,66.09
TN3124,Chennai,Saibaba Colony,998,3,2,1,2,0,1,Semi,Good,2004,20,0.79,0.35,5.63,4.57,75.6
TN3125,Coimbatore,Chromepet,1011,3,3,2,1,0,0,Unfurnished,Average,1997,27,0.39,10.63,3.63,3.66,47.02
TN3126,Vellore,Alwarpet,1316,3,3,1,1,0,0,Fully,Good,1996,28,2.33,2.56,0.5,5.1,61.83
TN3127,Tirunelveli,Pallavaram,1315,4,4,2,1,0,1,Unfurnished,Good,1997,27,1.68,0.41,8.47,,52.83
TN3128,Chennai,Pallavaram,1860,2,1,1,1,0,0,Unfurnished,Good,1994,30,0.25,1.31,2.35,9.4,113.93
TN3129,Madurai,Velachery,1149,3,3,1,1,0,1,Unfurnished,Good,2017,7,1.26,2.38,10.73,2.33,53.83
TN3130,Coimbatore,Besant Nagar,1646,3,3,1,1,0,1,Semi,Average,2000,24,1.81,2.28,2.74,5.6,74.34
TN3131,Chennai,Velachery,1313,3,2,2,,0,0,Unfurnished,Fair,2019,5,4.38,0.3,4.74,4.62,62.15
TN3132,Chennai,Ashok Nagar,1115,2,1,1,1,0,0,Fully,Good,1987,37,0.2,9.04,0.5,6.86,68.29
TN3133,Coimbatore,Chromepet,1301,3,2,2,1,0,0,Unfurnished,Average,1989,35,1.07,0.97,5.47,4.86,54.89
TN3134,Hosur,Ashok Nagar,1601,4,4,1,1,0,0,Fully,Average,2010,14,4.32,0.3,1.65,3.22,70.35
TN3135,Coimbatore,Anna Nagar,1862,3,2,1,2,0,0,Unfurnished,Average,1995,29,2.61,0.3,1.73,0.78,84.94
TN3136,Madurai,Gandhipuram,1337,4,3,2,1,0,0,Unfurnished,Fair,1991,33,0.86,2.6,0.51,0.94,41.08
TN3137,Salem,Saibaba Colony,908,5,5,1,1,0,1,Semi,Good,1994,30,4.67,0.44,0.64,4.02,46.05
TN3138,Coimbatore,Pallavaram,1900,2,2,3,,0,0,Fully,Fair,2018,6,1.7,0.3,0.82,7.24,73.33
TN3139,Thanjavur,Peelamedu,1046,2,2,3,1,1,0,Unfurnished,Good,1987,37,1.72,1.43,1.59,1.16,44.84
TN3140,Thanjavur,Saibaba Colony,1567,5,5,1,1,1,1,Semi,Average,1992,32,9.39,2.92,8.9,8.2,51.36
TN3141,Chennai,Ramanathapuram,1439,5,4,1,0,1,0,Unfurnished,Poor,2015,9,7.35,0.36,1.84,6.67,58.66
TN3142,Coimbatore,Ashok Nagar,1379,2,2,1,1,0,0,Fully,Average,1995,29,1.11,1.13,5.15,1.8,61.96
TN3143,Coimbatore,Ashok Nagar,,1,1,2,1,0,0,Fully,Poor,1991,33,0.38,1.62,0.5,2.33,41.89
TN3144,Chennai,Kodambakkam,1729,2,2,2,0,0,0,Unfurnished,Average,1986,38,0.99,0.52,3.58,2.53,93.25
TN3145,Chennai,Ashok Nagar,400,5,5,2,2,0,1,Unfurnished,Good,1990,34,0.2,2.12,2.63,5.1,41.8
TN3146,Trichy,Sholinganallur,1961,2,1,2,0,0,0,Unfurnished,Fair,2016,8,0.2,0.3,15.26,4.39,52.47
TN3147,Madurai,Sholinganallur,1039,3,2,1,2,1,0,Semi,Good,2004,20,1.26,0.3,7.49,4.31,51.91
TN3148,Chennai,Peelamedu,1634,4,3,2,1,0,0,Unfurnished,Poor,2018,6,7.08,2.2,2.43,3.49,61.29
TN3149,Chennai,Pallavaram,1610,1,1,2,1,0,0,Semi,Average,2000,24,,0.85,5.97,4.86,82.01
TN3150,Tirunelveli,Pallavaram,2024,3,3,2,1,0,0,Semi,Good,2009,15,1.79,0.3,0.86,6.17,77.46
TN3151,Chennai,Perambur,1539,2,1,3,1,1,1,Unfurnished,Average,1996,28,2.08,1.65,3.31,4.24,88.54
TN3152,Chennai,KK Nagar,1077,4,3,2,1,0,1,Semi,Fair,1991,33,0.2,7.4,0.5,3.17,54.07
TN3153,Coimbatore,Alwarpet,728,2,2,1,1,0,0,Semi,Average,2001,23,0.61,3.86,1.71,6.48,31.48
TN3154,Thanjavur,Tambaram,1293,3,2,2,1,1,0,Semi,Average,1995,29,0.2,5.07,1.02,4.06,45.22
TN3155,Chennai,Velachery,569,3,2,2,1,0,1,Unfurnished,Good,1990,34,,6.17,5.08,5.6,39.57
TN3156,Trichy,Nungambakkam,1167,2,2,1,2,0,0,Fully,Average,2007,17,0.39,10.79,2.69,4.3,43.36
TN3157,Erode,Mylapore,1318,1,1,3,0,0,0,Unfurnished,Good,2011,13,5.08,4.32,5.56,6.67,47.18
TN3158,Chennai,Velachery,1140,3,3,1,1,0,0,Fully,Excellent,1990,34,2.58,2.81,2.9,6.97,93.54
TN3159,Salem,Chromepet,1469,2,2,2,0,0,0,Semi,Average,2022,2,0.65,1.36,0.5,6.9,44.67
TN3160,Coimbatore,Pallavaram,1344,4,4,2,1,0,0,Unfurnished,Excellent,1986,38,0.43,0.6,5.32,3.4,93.01
TN3161,Trichy,Nungambakkam,1303,4,3,1,1,1,1,Fully,Average,2006,18,,3.48,7.16,3.38,57.21
TN3162,Trichy,Mylapore,400,3,2,3,0,0,1,Fully,Excellent,2004,20,5.78,15.87,9.35,6.25,25.21
TN3163,Madurai,Velachery,867,3,2,3,0,0,0,Fully,Fair,2009,15,3.17,1.89,3.39,4.37,28.24
TN3164,Chennai,Pallavaram,1739,3,2,2,0,0,0,Semi,Good,1999,25,1.07,3.86,5.6,4.43,112.53
TN3165,Vellore,Anna Nagar,1812,4,4,1,1,0,1,Unfurnished,Average,2013,11,2.21,2.05,5.58,3.11,66.55
TN3166,Coimbatore,Ramanathapuram,623,3,3,1,1,0,0,Fully,Average,1992,32,0.93,1.7,0.68,7.32,30.9
TN3167,Chennai,Nungambakkam,1083,2,1,1,2,0,1,Unfurnished,Good,2021,3,15,1.58,0.72,6.58,70.48
TN3168,Chennai,Tambaram,,2,1,1,1,0,0,Semi,Good,2017,7,3.45,2.11,0.5,4.26,124.04
TN3169,Madurai,Peelamedu,1127,3,2,2,0,0,0,Semi,Poor,2006,18,2.38,1.37,1.54,3.21,29.07
TN3170,Trichy,Alwarpet,1400,3,2,3,2,0,0,Unfurnished,Fair,1989,35,1.38,4.14,2.57,3.12,43.22
TN3171,Chennai,Adyar,2099,3,3,2,1,0,1,Semi,Good,2002,22,2.41,6.22,24.66,4.77,131.98
TN3172,Madurai,Gandhipuram,1287,2,1,3,1,0,0,Semi,Good,2022,2,1.04,6.43,2.26,5.27,57.76
TN3173,Chennai,T Nagar,1223,3,3,2,0,0,0,Fully,Excellent,2021,3,0.2,0.78,5.18,2.78,101.86
TN3174,Trichy,Anna Nagar,1379,2,1,2,1,0,0,Fully,Good,2014,10,1.26,6.79,4.73,2.01,62.33
TN3175,Chennai,Ramanathapuram,2284,2,1,3,2,0,1,Semi,Excellent,2015,9,,1.25,0.92,4.66,181.38
TN3176,Salem,Kodambakkam,1651,3,2,2,1,0,1,Fully,Good,1994,30,2.46,1.11,0.5,,68.49
TN3177,Coimbatore,Alwarpet,,2,2,3,1,0,1,Semi,Average,1999,25,0.22,3.89,3.16,4.65,63.34
TN3178,Hosur,Ashok Nagar,,3,2,1,1,1,1,Semi,Fair,2002,22,5.41,1.09,4.82,4,48.4
TN3179,Chennai,KK Nagar,1692,3,3,1,2,0,0,Semi,Good,2007,17,0.78,0.3,25,2.24,107.65
TN3180,Coimbatore,Tambaram,1747,3,3,3,0,0,0,Fully,Good,2017,7,0.7,1.4,1.78,3.23,101.27
TN3181,Chennai,Peelamedu,967,3,2,2,1,0,0,Semi,Poor,2000,24,0.88,3.83,9.07,6.26,38.23
TN3182,Hosur,Adyar,1759,2,2,3,2,0,0,Unfurnished,Average,2022,2,2.15,1.19,1.92,1.99,76.79
TN3183,Tirunelveli,Chromepet,1382,2,2,3,0,0,1,Unfurnished,Excellent,2019,5,1.97,2.98,4.68,8.05,60.6
TN3184,Chennai,RS Puram,1461,4,4,1,,0,1,Fully,Average,2018,6,1.69,3.24,3.65,4.67,88.18
TN3185,Trichy,Pallavaram,1052,3,2,2,1,0,0,Unfurnished,Average,2012,12,3.16,3.97,0.5,1.33,41.48
TN3186,Vellore,Sholinganallur,1270,3,3,1,1,0,1,Semi,Average,1986,38,0.95,6.82,0.5,5.51,42.07
TN3187,Madurai,Singanallur,986,1,1,2,1,0,1,Semi,Average,2014,10,3.81,1.7,0.5,5.4,37.33
TN3188,Madurai,Saibaba Colony,965,3,2,2,1,0,0,Semi,Average,1997,27,0.48,0.55,1.85,3.62,37.06
TN3189,Chennai,T Nagar,,3,2,1,1,1,0,Fully,Average,2000,24,3.82,1.15,5.48,6.38,95.49
TN3190,Chennai,Adyar,1290,3,3,2,0,1,0,Fully,Fair,1989,35,2.73,1.7,0.76,3.26,69.33
TN3191,Tirunelveli,Chromepet,865,3,3,2,,0,0,Semi,Good,2012,12,2.87,3.75,3.72,5.76,34.95
TN3192,Tirunelveli,Kodambakkam,2430,2,2,1,0,0,0,Semi,Average,2004,20,1.64,0.3,1.36,4.43,71.48
TN3193,Trichy,Nungambakkam,944,2,2,2,0,0,0,Unfurnished,Good,2008,16,2.75,1.14,6.38,3.93,37.88
TN3194,Coimbatore,Adyar,1941,4,3,2,,0,0,Semi,Excellent,2011,13,0.21,4.54,6.41,7.19,132.35
TN3195,Coimbatore,Pallavaram,786,4,3,3,1,1,1,Fully,Average,2014,10,4.77,3.33,5.97,6.47,49.49
TN3196,Salem,Ashok Nagar,1655,2,2,1,2,0,0,Unfurnished,Good,2011,13,0.2,3.95,2.98,2.29,66.17
TN3197,Tirunelveli,Chromepet,,3,2,1,0,0,0,Semi,Average,2010,14,0.4,5.01,1.34,5.26,41.91
TN3198,Tirunelveli,Sholinganallur,1167,2,2,2,1,0,1,Semi,Excellent,1991,33,2.15,4.59,6.63,8.29,50.89
TN3199,Erode,Alwarpet,1539,2,1,1,0,0,0,Unfurnished,Average,2022,2,3.36,3.44,0.82,7.24,44.48
TN3200,Trichy,RS Puram,1478,3,2,3,1,0,0,Unfurnished,Good,1989,35,0.2,1.74,1.37,2.68,65.39
TN3201,Chennai,Chromepet,1084,2,2,1,1,0,1,Unfurnished,Good,2007,17,6.34,12.33,0.81,7.69,70.91
TN3202,Chennai,Singanallur,1064,3,3,2,0,0,0,Unfurnished,Average,2012,12,9.09,2.53,4.49,6.36,55.11
TN3203,Tirunelveli,Mylapore,742,3,3,2,2,0,1,Unfurnished,Fair,2018,6,2.33,0.68,4.64,2.4,23.06
TN3204,Trichy,Velachery,1588,2,2,1,0,0,0,Unfurnished,Good,1999,25,1.64,1.04,4.23,4.92,62.08
TN3205,Chennai,Porur,886,1,1,1,1,0,0,Semi,Good,2016,8,3.38,3.55,2.15,5.46,55.87
TN3206,Chennai,Pallavaram,1452,4,3,2,2,0,0,Fully,Average,2010,14,1,7.76,0.5,,88.2
TN3207,Trichy,Chromepet,1717,2,2,2,2,0,0,Semi,Good,2015,9,1.7,0.59,9.68,5.91,73.41
TN3208,Chennai,Saibaba Colony,1544,3,2,1,,0,1,Fully,Average,2003,21,6.2,0.3,2.83,9.36,87.69
TN3209,Chennai,Singanallur,1125,3,2,3,1,1,1,Unfurnished,Good,1993,31,7.79,6.4,2.09,7.23,81.94
TN3210,Madurai,Velachery,1859,3,3,1,0,1,1,Semi,Fair,2013,11,6.55,7.41,3.55,4.82,59.7
