date,day_of_week,is_weekend,hour,shift,calls_received,calls_abandoned,calls_resolved,total_call_duration_min,avg_wait_time_min,base_lambda,abandon_rate,resolution_rate
1/4/2024,Thu,FALSE,11,Morning,37,1,29,172.9,2.44,56.14,0.027,0.784
1/4/2024,Thu,FALSE,12,Morning,27,3,24,137.1,3.14,44.91,0.111,0.889
1/4/2024,Thu,FALSE,13,Morning,51,4,40,273.5,0.2,47.72,0.078,0.784
1/4/2024,Thu,FALSE,14,Evening,56,7,45,223.3,1.87,56.14,0.125,0.804
1/4/2024,Thu,FALSE,15,Evening,51,2,43,243.5,2.38,53.33,0.039,0.843
1/4/2024,Thu,FALSE,16,Evening,42,4,37,183.3,3.72,47.72,0.095,0.881
1/4/2024,Thu,FALSE,17,Evening,34,2,28,118.6,4.8,39.3,0.059,0.824
1/4/2024,Thu,FALSE,18,Evening,28,5,21,112,0.21,30.88,0.179,0.75
1/4/2024,Thu,FALSE,19,Evening,33,2,29,110.7,1.08,25.26,0.061,0.879
1/4/2024,Thu,FALSE,20,Night,11,1,8,51.9,0.92,19.65,0.091,0.727
1/4/2024,Thu,FALSE,21,Night,23,0,21,109.4,1.69,16.84,0,0.913
1/4/2024,Thu,FALSE,22,Night,16,0,15,70,1.49,14.04,0,0.938
1/4/2024,Thu,FALSE,23,Night,7,1,5,44.3,0.15,11.23,0.143,0.714
1/5/2024,Fri,FALSE,0,Night,7,2,4,28.6,0.21,8.43,0.286,0.571
1/5/2024,Fri,FALSE,1,Night,6,1,5,31.1,0.09,5.62,0.167,0.833
1/5/2024,Fri,FALSE,2,Night,3,0,3,10.9,0.27,4.21,0,1
1/5/2024,Fri,FALSE,3,Night,1,0,0,9.9,0.1,3.37,0,0
1/5/2024,Fri,FALSE,4,Night,6,0,2,52.6,0.01,4.21,0,0.333
1/5/2024,Fri,FALSE,5,Night,5,0,4,18.6,0.03,8.43,0,0.8
1/5/2024,Fri,FALSE,6,Morning,25,2,20,167.2,0.72,19.67,0.08,0.8
1/5/2024,Fri,FALSE,7,Morning,42,3,33,185.2,0.82,30.9,0.071,0.786
1/5/2024,Fri,FALSE,8,Morning,41,1,36,158,2.87,42.14,0.024,0.878
1/5/2024,Fri,FALSE,9,Morning,51,5,41,207.2,10.37,50.57,0.098,0.804
1/5/2024,Fri,FALSE,10,Morning,49,5,39,204.8,3.7,59,0.102,0.796
1/5/2024,Fri,FALSE,11,Morning,55,2,50,255.1,2.05,56.19,0.036,0.909
1/5/2024,Fri,FALSE,12,Morning,57,2,50,249.8,3.03,44.95,0.035,0.877
1/5/2024,Fri,FALSE,13,Morning,47,8,36,191.9,10.15,47.76,0.17,0.766
1/5/2024,Fri,FALSE,14,Evening,60,1,52,271.1,1.27,56.19,0.017,0.867
1/5/2024,Fri,FALSE,15,Evening,62,5,51,258.8,15.22,53.38,0.081,0.823
1/5/2024,Fri,FALSE,16,Evening,49,5,40,176.7,4.18,47.76,0.102,0.816
1/5/2024,Fri,FALSE,17,Evening,46,2,37,269.4,2.64,39.33,0.043,0.804
1/5/2024,Fri,FALSE,18,Evening,30,3,25,108.4,2.01,30.9,0.1,0.833
1/5/2024,Fri,FALSE,19,Evening,25,0,21,106.7,0.83,25.28,0,0.84
1/5/2024,Fri,FALSE,20,Night,14,2,9,56,1.28,19.67,0.143,0.643
1/5/2024,Fri,FALSE,21,Night,17,1,14,87.8,1.47,16.86,0.059,0.824
1/5/2024,Fri,FALSE,22,Night,16,0,14,63.2,0.15,14.05,0,0.875
1/5/2024,Fri,FALSE,23,Night,20,1,16,71.1,0.9,11.24,0.05,0.8
1/6/2024,Sat,TRUE,0,Night,6,0,6,27.5,0.4,4.64,0,1
1/6/2024,Sat,TRUE,1,Night,3,0,1,4.3,0.31,3.09,0,0.333
1/6/2024,Sat,TRUE,2,Night,3,0,3,12.6,0.16,2.32,0,1
1/6/2024,Sat,TRUE,3,Night,3,1,1,19.4,0.17,1.86,0.333,0.333
1/6/2024,Sat,TRUE,4,Night,3,0,3,7.8,0.02,2.32,0,1
1/6/2024,Sat,TRUE,5,Night,7,1,4,12.3,1.85,4.64,0.143,0.571
1/6/2024,Sat,TRUE,6,Morning,13,2,11,71.4,1.12,10.82,0.154,0.846
1/6/2024,Sat,TRUE,7,Morning,19,3,12,78.4,1.05,17.01,0.158,0.632
1/6/2024,Sat,TRUE,8,Morning,28,4,20,93.1,0.52,23.2,0.143,0.714
1/6/2024,Sat,TRUE,9,Morning,28,0,24,119.5,0.02,27.84,0,0.857
1/6/2024,Sat,TRUE,10,Morning,35,2,29,159.1,3.99,32.47,0.057,0.829
1/6/2024,Sat,TRUE,11,Morning,38,4,32,183.7,2.95,30.93,0.105,0.842
1/6/2024,Sat,TRUE,12,Morning,18,1,15,61.3,0.08,24.74,0.056,0.833
1/6/2024,Sat,TRUE,13,Morning,33,5,24,120.2,4.25,26.29,0.152,0.727
1/6/2024,Sat,TRUE,14,Evening,35,5,29,160.4,1.38,30.93,0.143,0.829
1/6/2024,Sat,TRUE,15,Evening,24,4,18,122.4,4.34,29.38,0.167,0.75
1/6/2024,Sat,TRUE,16,Evening,26,1,20,129.1,4.77,26.29,0.038,0.769
1/6/2024,Sat,TRUE,17,Evening,22,1,17,113.2,0.46,21.65,0.045,0.773
1/6/2024,Sat,TRUE,18,Evening,15,1,12,70.7,1.31,17.01,0.067,0.8
1/6/2024,Sat,TRUE,19,Evening,13,2,10,70.5,2.68,13.92,0.154,0.769
1/6/2024,Sat,TRUE,20,Night,7,0,6,26.6,1.95,10.82,0,0.857
1/6/2024,Sat,TRUE,21,Night,4,0,4,14.1,1.49,9.28,0,1
1/6/2024,Sat,TRUE,22,Night,10,1,5,37.7,0,7.73,0.1,0.5
1/6/2024,Sat,TRUE,23,Night,3,0,3,6.1,1.84,6.19,0,1
1/7/2024,Sun,TRUE,0,Night,5,0,5,14.5,0.09,4.64,0,1
1/7/2024,Sun,TRUE,1,Night,2,0,2,14.4,0.12,3.1,0,1
1/7/2024,Sun,TRUE,2,Night,3,0,2,30.8,0.72,2.32,0,0.667
1/7/2024,Sun,TRUE,3,Night,1,0,1,2.2,0.21,1.86,0,1
1/7/2024,Sun,TRUE,4,Night,2,0,2,13.2,0.34,2.32,0,1
1/7/2024,Sun,TRUE,5,Night,2,0,2,1.6,2.06,4.64,0,1
1/7/2024,Sun,TRUE,6,Morning,18,0,17,103.8,0.63,10.83,0,0.944
1/7/2024,Sun,TRUE,7,Morning,15,1,13,53.4,0.48,17.02,0.067,0.867
1/7/2024,Sun,TRUE,8,Morning,21,0,18,77,2.66,23.22,0,0.857
1/7/2024,Sun,TRUE,9,Morning,28,1,21,138.7,6.26,27.86,0.036,0.75
1/7/2024,Sun,TRUE,10,Morning,44,5,32,203.4,4.83,32.5,0.114,0.727
1/7/2024,Sun,TRUE,11,Morning,23,3,17,96,5.59,30.95,0.13,0.739
1/7/2024,Sun,TRUE,12,Morning,34,2,31,146.6,2.46,24.76,0.059,0.912
1/7/2024,Sun,TRUE,13,Morning,24,0,21,82.7,0.2,26.31,0,0.875
1/7/2024,Sun,TRUE,14,Evening,37,0,33,159.6,0.07,30.95,0,0.892
1/7/2024,Sun,TRUE,15,Evening,44,4,38,191.6,0.6,29.41,0.091,0.864
1/7/2024,Sun,TRUE,16,Evening,36,6,25,173.7,1.64,26.31,0.167,0.694
1/7/2024,Sun,TRUE,17,Evening,20,2,14,95.2,1.88,21.67,0.1,0.7
1/7/2024,Sun,TRUE,18,Evening,17,4,11,75,0.52,17.02,0.235,0.647
1/7/2024,Sun,TRUE,19,Evening,9,1,7,52.2,1.22,13.93,0.111,0.778
1/7/2024,Sun,TRUE,20,Night,4,1,3,7.9,0.22,10.83,0.25,0.75
1/7/2024,Sun,TRUE,21,Night,5,1,3,21,2.96,9.29,0.2,0.6
1/7/2024,Sun,TRUE,22,Night,10,0,9,44.8,0.4,7.74,0,0.9
1/7/2024,Sun,TRUE,23,Night,5,1,2,19.3,0.26,6.19,0.2,0.4
1/8/2024,Mon,FALSE,0,Night,13,1,10,65.4,0.28,8.45,0.077,0.769
1/8/2024,Mon,FALSE,1,Night,5,0,4,31.4,0.37,5.63,0,0.8
1/8/2024,Mon,FALSE,2,Night,4,0,4,39.9,0.09,4.22,0,1
1/8/2024,Mon,FALSE,3,Night,5,1,4,10.6,0.1,3.38,0.2,0.8
1/8/2024,Mon,FALSE,4,Night,3,1,2,24.9,0.09,4.22,0.333,0.667
1/8/2024,Mon,FALSE,5,Night,8,1,7,29.9,0.64,8.45,0.125,0.875
1/8/2024,Mon,FALSE,6,Morning,20,1,18,93.1,0.1,19.71,0.05,0.9
1/8/2024,Mon,FALSE,7,Morning,34,2,29,136.5,6.36,30.98,0.059,0.853
1/8/2024,Mon,FALSE,8,Morning,51,2,41,211.7,4.26,42.25,0.039,0.804
1/8/2024,Mon,FALSE,9,Morning,76,8,58,307.6,5.36,50.69,0.105,0.763
1/8/2024,Mon,FALSE,10,Morning,63,4,54,295.9,0.45,59.14,0.063,0.857
1/8/2024,Mon,FALSE,11,Morning,47,3,36,255.1,4.41,56.33,0.064,0.766
1/8/2024,Mon,FALSE,12,Morning,50,5,43,271.5,1.58,45.06,0.1,0.86
1/8/2024,Mon,FALSE,13,Morning,51,3,42,217.6,3.69,47.88,0.059,0.824
1/8/2024,Mon,FALSE,14,Evening,56,5,41,247.8,14.83,56.33,0.089,0.732
1/8/2024,Mon,FALSE,15,Evening,50,0,42,236.2,0.68,53.51,0,0.84
1/8/2024,Mon,FALSE,16,Evening,51,6,39,235.2,2.54,47.88,0.118,0.765
1/8/2024,Mon,FALSE,17,Evening,39,5,28,127.4,6.39,39.43,0.128,0.718
1/8/2024,Mon,FALSE,18,Evening,28,1,21,155.9,1.88,30.98,0.036,0.75
1/8/2024,Mon,FALSE,19,Evening,16,0,14,77.9,0.13,25.35,0,0.875
1/8/2024,Mon,FALSE,20,Night,15,2,11,46.5,2.79,19.71,0.133,0.733
1/8/2024,Mon,FALSE,21,Night,17,1,15,76.2,0.22,16.9,0.059,0.882
1/8/2024,Mon,FALSE,22,Night,11,0,11,46.4,0.14,14.08,0,1
1/8/2024,Mon,FALSE,23,Night,10,1,7,26.3,0.11,11.27,0.1,0.7
1/9/2024,Tue,FALSE,0,Night,14,1,11,45.4,1.19,8.46,0.071,0.786
1/9/2024,Tue,FALSE,1,Night,3,1,1,21.5,0.16,5.64,0.333,0.333
1/9/2024,Tue,FALSE,2,Night,3,0,3,8.1,0.61,4.23,0,1
1/9/2024,Tue,FALSE,3,Night,5,0,4,23.5,0.8,3.38,0,0.8
1/9/2024,Tue,FALSE,4,Night,4,1,3,19.3,0.16,4.23,0.25,0.75
1/9/2024,Tue,FALSE,5,Night,11,1,8,33.6,0.03,8.46,0.091,0.727
1/9/2024,Tue,FALSE,6,Morning,23,2,19,102.7,4.47,19.73,0.087,0.826
1/9/2024,Tue,FALSE,7,Morning,34,2,29,165.2,0.97,31.01,0.059,0.853
1/9/2024,Tue,FALSE,8,Morning,41,4,30,189.8,0.11,42.28,0.098,0.732
1/9/2024,Tue,FALSE,9,Morning,53,8,39,248.1,0.33,50.74,0.151,0.736
1/9/2024,Tue,FALSE,10,Morning,59,2,47,290.4,2.03,59.19,0.034,0.797
1/9/2024,Tue,FALSE,11,Morning,61,4,50,242.2,0.66,56.37,0.066,0.82
1/9/2024,Tue,FALSE,12,Morning,48,4,39,193.9,4.17,45.1,0.083,0.812
1/9/2024,Tue,FALSE,13,Morning,45,1,37,195,10.77,47.92,0.022,0.822
1/9/2024,Tue,FALSE,14,Evening,71,3,59,356.8,2.85,56.37,0.042,0.831
1/9/2024,Tue,FALSE,15,Evening,44,6,31,236.2,0.34,53.55,0.136,0.705
1/9/2024,Tue,FALSE,16,Evening,48,3,41,198.1,1.78,47.92,0.062,0.854
1/9/2024,Tue,FALSE,17,Evening,50,3,37,199.8,2.84,39.46,0.06,0.74
1/9/2024,Tue,FALSE,18,Evening,20,2,16,93.9,2.66,31.01,0.1,0.8
1/9/2024,Tue,FALSE,19,Evening,34,3,30,137.2,3.58,25.37,0.088,0.882
1/9/2024,Tue,FALSE,20,Night,16,1,13,70.3,2.5,19.73,0.062,0.812
1/9/2024,Tue,FALSE,21,Night,14,3,8,37.3,0.27,16.91,0.214,0.571
1/9/2024,Tue,FALSE,22,Night,15,1,11,49.7,0.99,14.09,0.067,0.733
1/9/2024,Tue,FALSE,23,Night,15,0,11,58.4,2.1,11.27,0,0.733
1/10/2024,Wed,FALSE,0,Night,10,0,9,50.7,0.09,8.46,0,0.9
1/10/2024,Wed,FALSE,1,Night,7,0,6,44.3,0.27,5.64,0,0.857
1/10/2024,Wed,FALSE,2,Night,7,1,5,24.2,0.21,4.23,0.143,0.714
1/10/2024,Wed,FALSE,3,Night,4,0,3,23.3,0.13,3.39,0,0.75
1/10/2024,Wed,FALSE,4,Night,5,1,4,34.6,0.05,4.23,0.2,0.8
1/10/2024,Wed,FALSE,5,Night,8,0,8,54.2,0.19,8.46,0,1
1/10/2024,Wed,FALSE,6,Morning,14,2,8,57.1,2.64,19.75,0.143,0.571
1/10/2024,Wed,FALSE,7,Morning,40,3,33,147.5,1.7,31.03,0.075,0.825
1/10/2024,Wed,FALSE,8,Morning,43,7,29,193.8,2.41,42.32,0.163,0.674
1/10/2024,Wed,FALSE,9,Morning,48,1,42,221,0.39,50.78,0.021,0.875
1/10/2024,Wed,FALSE,10,Morning,57,1,47,169.5,3.55,59.24,0.018,0.825
1/10/2024,Wed,FALSE,11,Morning,55,5,41,250.6,7.98,56.42,0.091,0.745
1/10/2024,Wed,FALSE,12,Morning,35,4,28,139.2,3.82,45.14,0.114,0.8
1/10/2024,Wed,FALSE,13,Morning,47,3,40,228.1,1.44,47.96,0.064,0.851
1/10/2024,Wed,FALSE,14,Evening,60,5,49,243.1,1.84,56.42,0.083,0.817
1/10/2024,Wed,FALSE,15,Evening,60,7,46,299.2,0.38,53.6,0.117,0.767
1/10/2024,Wed,FALSE,16,Evening,41,1,34,138.3,7.91,47.96,0.024,0.829
1/10/2024,Wed,FALSE,17,Evening,39,6,32,152.2,2.53,39.49,0.154,0.821
1/10/2024,Wed,FALSE,18,Evening,22,1,20,85.7,1.32,31.03,0.045,0.909
1/10/2024,Wed,FALSE,19,Evening,24,1,21,95,0.22,25.39,0.042,0.875
1/10/2024,Wed,FALSE,20,Night,24,1,21,111.5,0.08,19.75,0.042,0.875
1/10/2024,Wed,FALSE,21,Night,19,0,17,82.1,0.85,16.93,0,0.895
1/10/2024,Wed,FALSE,22,Night,12,2,10,58.4,1.22,14.11,0.167,0.833
1/10/2024,Wed,FALSE,23,Night,15,0,12,61.9,2.24,11.28,0,0.8
1/11/2024,Thu,FALSE,0,Night,12,1,10,43.1,0.55,8.47,0.083,0.833
1/11/2024,Thu,FALSE,1,Night,4,1,3,17.4,0.28,5.65,0.25,0.75
1/11/2024,Thu,FALSE,2,Night,7,0,5,20.3,0.52,4.24,0,0.714
1/11/2024,Thu,FALSE,3,Night,1,0,1,16.3,1.03,3.39,0,1
1/11/2024,Thu,FALSE,4,Night,1,0,1,0.5,0.41,4.24,0,1
1/11/2024,Thu,FALSE,5,Night,4,1,2,12.6,0.43,8.47,0.25,0.5
1/11/2024,Thu,FALSE,6,Morning,20,1,14,69.6,0.17,19.76,0.05,0.7
1/11/2024,Thu,FALSE,7,Morning,34,6,23,169.8,0.3,31.06,0.176,0.676
1/11/2024,Thu,FALSE,8,Morning,45,0,42,220.3,2.2,42.35,0,0.933
1/11/2024,Thu,FALSE,9,Morning,46,3,39,150,9.03,50.82,0.065,0.848
1/11/2024,Thu,FALSE,10,Morning,56,4,48,248.2,4.09,59.29,0.071,0.857
1/11/2024,Thu,FALSE,11,Morning,65,1,59,290.3,0.97,56.47,0.015,0.908
1/11/2024,Thu,FALSE,12,Morning,41,3,36,175.2,2.43,45.17,0.073,0.878
1/11/2024,Thu,FALSE,13,Morning,61,5,49,267.4,2.15,48,0.082,0.803
1/11/2024,Thu,FALSE,14,Evening,57,1,51,281.1,5.01,56.47,0.018,0.895
1/11/2024,Thu,FALSE,15,Evening,60,4,51,271.5,1.79,53.64,0.067,0.85
1/11/2024,Thu,FALSE,16,Evening,48,3,38,225.9,0.82,48,0.062,0.792
1/11/2024,Thu,FALSE,17,Evening,38,3,31,110,0.04,39.53,0.079,0.816
1/11/2024,Thu,FALSE,18,Evening,31,5,22,136.9,0.81,31.06,0.161,0.71
1/11/2024,Thu,FALSE,19,Evening,20,1,17,52.8,6.27,25.41,0.05,0.85
1/11/2024,Thu,FALSE,20,Night,25,1,22,105.4,1.29,19.76,0.04,0.88
1/11/2024,Thu,FALSE,21,Night,17,2,15,80.1,0.71,16.94,0.118,0.882
1/11/2024,Thu,FALSE,22,Night,17,0,16,75.9,0.55,14.12,0,0.941
1/11/2024,Thu,FALSE,23,Night,9,0,7,47.5,0.24,11.29,0,0.778
1/12/2024,Fri,FALSE,0,Night,6,1,5,10.3,0.56,8.48,0.167,0.833
1/12/2024,Fri,FALSE,1,Night,5,1,4,22.3,0.49,5.65,0.2,0.8
1/12/2024,Fri,FALSE,2,Night,0,0,0,0,0,4.24,0,0
1/12/2024,Fri,FALSE,3,Night,2,0,2,5,0.15,3.39,0,1
1/12/2024,Fri,FALSE,4,Night,1,0,1,5.8,0.4,4.24,0,1
1/12/2024,Fri,FALSE,5,Night,6,0,6,37,0.93,8.48,0,1
1/12/2024,Fri,FALSE,6,Morning,21,2,16,93.1,6.03,19.78,0.095,0.762
1/12/2024,Fri,FALSE,7,Morning,29,1,24,133.9,0.03,31.08,0.034,0.828
1/12/2024,Fri,FALSE,8,Morning,43,4,33,167.6,1.51,42.39,0.093,0.767
1/12/2024,Fri,FALSE,9,Morning,39,2,35,172.3,11.91,50.86,0.051,0.897
1/12/2024,Fri,FALSE,10,Morning,69,4,59,335.8,13.9,59.34,0.058,0.855
1/12/2024,Fri,FALSE,11,Morning,50,4,42,193.7,5.33,56.51,0.08,0.84
1/12/2024,Fri,FALSE,12,Morning,50,0,39,263.6,4.12,45.21,0,0.78
1/12/2024,Fri,FALSE,13,Morning,45,4,35,151.9,0.94,48.04,0.089,0.778
1/12/2024,Fri,FALSE,14,Evening,57,5,45,301,1.88,56.51,0.088,0.789
1/12/2024,Fri,FALSE,15,Evening,64,2,52,251.1,10.79,53.69,0.031,0.812
1/12/2024,Fri,FALSE,16,Evening,49,3,36,210.9,9.36,48.04,0.061,0.735
1/12/2024,Fri,FALSE,17,Evening,48,2,43,192.1,9.17,39.56,0.042,0.896
1/12/2024,Fri,FALSE,18,Evening,29,2,24,112.1,1.01,31.08,0.069,0.828
1/12/2024,Fri,FALSE,19,Evening,27,2,20,78.2,0.83,25.43,0.074,0.741
1/12/2024,Fri,FALSE,20,Night,16,0,13,92.8,1.97,19.78,0,0.812
1/12/2024,Fri,FALSE,21,Night,13,0,12,39.9,3.64,16.95,0,0.923
1/12/2024,Fri,FALSE,22,Night,14,0,13,50.7,1.87,14.13,0,0.929
1/12/2024,Fri,FALSE,23,Night,12,0,12,38.8,2.6,11.3,0,1
1/13/2024,Sat,TRUE,0,Night,3,0,3,14,0.22,4.67,0,1
1/13/2024,Sat,TRUE,1,Night,4,0,3,13.4,0.33,3.11,0,0.75
1/13/2024,Sat,TRUE,2,Night,4,0,4,8.3,0.07,2.33,0,1
1/13/2024,Sat,TRUE,3,Night,2,0,2,2.5,0.05,1.87,0,1
1/13/2024,Sat,TRUE,4,Night,5,2,2,9.4,0.21,2.33,0.4,0.4
1/13/2024,Sat,TRUE,5,Night,4,0,3,14,0.2,4.67,0,0.75
1/13/2024,Sat,TRUE,6,Morning,9,2,7,40.3,3.99,10.89,0.222,0.778
1/13/2024,Sat,TRUE,7,Morning,13,2,7,60.9,2.88,17.11,0.154,0.538
1/13/2024,Sat,TRUE,8,Morning,33,4,28,152.7,3.34,23.33,0.121,0.848
