customer_id,city,age,gender,recency_days,frequency,monetary,avg_order_value,R_score,F_score,M_score,RFM_score,kmeans_cluster,segment
CUST10022,Madurai,45,Male,45,8,14882.44,1860.3,4,3,4,11,0,Champions
CUST10023,Bengaluru,40,Female,327,1,1912.1,1912.1,1,1,1,3,2,Loyal Customers
CUST10024,Bengaluru,22,Male,233,1,2182.26,2182.26,1,1,1,3,2,Loyal Customers
CUST10025,Hyderabad,30,Female,15,19,18094.71,952.35,5,5,5,15,0,Champions
CUST10026,Coimbatore,25,Female,59,10,2859.66,285.97,3,4,2,9,1,Lost
CUST10027,Mumbai,49,Female,93,6,9623.53,1603.92,3,3,3,9,3,At-Risk
CUST10028,Mumbai,21,Female,18,11,35971.11,3270.1,5,4,5,14,0,Champions
CUST10029,Chennai,44,Male,85,8,6717.61,839.7,3,3,3,9,3,At-Risk
CUST10030,Mumbai,44,Male,155,7,5554.45,793.49,2,3,2,7,3,At-Risk
CUST10031,Chennai,54,Male,234,5,6747.91,1349.58,1,2,3,6,3,At-Risk
CUST10032,Chennai,29,Female,37,4,17169.64,4292.41,4,2,5,11,3,At-Risk
CUST10033,Kochi,42,Other,209,6,7164.242664,874.37,2,3,3,8,3,At-Risk
CUST10034,Kochi,59,Female,253,2,3065.62,1532.81,1,1,2,4,3,At-Risk
CUST10035,Hyderabad,27,Female,28,13,11105.32,854.26,4,4,4,12,0,Champions
CUST10036,Madurai,18,Female,154,6,2774.08,462.35,2,3,2,7,1,Lost
CUST10037,Chennai,18,Male,17,19,49246.32306,2255.83,5,5,5,15,0,Champions
CUST10038,Delhi,42,Female,7,25,27517.75,1100.71,5,5,5,15,0,Champions
CUST10039,Bengaluru,18,Female,148,3,9009.69,3003.23,2,2,3,7,3,At-Risk
CUST10040,Chennai,30,Male,23,17,19912.95,1171.35,5,5,5,15,0,Champions
CUST10041,Bengaluru,39,Female,14,12,13686.24982,2240.8,5,4,4,13,0,Champions
CUST10042,Chennai,36,Male,14,17,10185.91,599.17,5,5,4,14,0,Champions
CUST10043,Pune,39,Female,63,3,7329.25,2443.08,3,2,3,8,3,At-Risk
CUST10044,Coimbatore,36,Female,143,4,6045.18,1511.3,2,2,3,7,3,At-Risk
CUST10045,Delhi,48,Female,22,5,4551.15,910.23,5,2,2,9,2,Loyal Customers
CUST10046,Madurai,24,Male,132,7,5993.83,856.26,2,3,3,8,3,At-Risk
CUST10047,Mumbai,27,Female,49,10,9204.54,920.45,4,4,3,11,0,Champions
CUST10048,Mumbai,26,Female,110,3,2234.46,744.82,3,2,1,6,1,Lost
CUST10049,Coimbatore,43,Male,55,11,8306.4,755.13,4,4,3,11,0,Champions
CUST10050,Kochi,44,Female,85,6,3556.31,592.72,3,3,2,8,1,Lost
CUST10051,Hyderabad,39,Female,284,3,831.28,277.09,1,2,1,4,1,Lost
CUST10052,Kochi,47,Female,362,1,2285.49,2285.49,1,1,1,3,3,At-Risk
CUST10053,Pune,21,Male,18,14,27696.91,1978.35,5,5,5,15,0,Champions
CUST10054,Mumbai,52,Male,253,1,658.417562,470.98,1,1,1,3,1,Lost
CUST10055,Kochi,51,Female,18,21,34567.74,1646.08,5,5,5,15,0,Champions
CUST10056,Chennai,42,Male,312,1,2436.36,2436.36,1,1,1,3,3,At-Risk
CUST10057,Coimbatore,54,Male,34,11,11336.15,1030.56,4,4,4,12,0,Champions
CUST10058,Chennai,18,Female,61,9,10517.0,1168.56,3,4,4,11,3,At-Risk
CUST10059,Madurai,28,Male,1,17,24512.61617,1630.23,5,5,5,15,0,Champions
CUST10060,Bengaluru,26,Female,28,27,25726.88,952.85,4,5,5,14,0,Champions
CUST10061,Coimbatore,42,Male,148,6,6840.38,1140.06,2,3,3,8,3,At-Risk
CUST10062,Hyderabad,22,Male,262,2,1892.5,946.25,1,1,1,3,1,Lost
CUST10063,Bengaluru,42,Male,81,8,4677.22,584.65,3,3,2,8,1,Lost
CUST10064,Madurai,49,Male,205,5,5455.72,1091.14,2,2,2,6,3,At-Risk
CUST10065,Mumbai,42,Female,365,1,2509.123598,3936.68,1,1,1,3,3,At-Risk
CUST10066,Chennai,37,Female,54,11,12715.73,1155.98,4,4,4,12,0,Champions
CUST10067,Hyderabad,23,Male,16,24,32220.54,1342.52,5,5,5,15,0,Champions
CUST10068,Chennai,25,Male,8,17,54620.69626,1931.31,5,5,5,15,0,Champions
CUST10069,Trichy,48,Male,46,11,11722.14,1065.65,4,4,4,12,0,Champions
CUST10070,Hyderabad,43,Male,27,12,17438.96,1453.25,4,4,5,13,0,Champions
CUST10071,Coimbatore,34,Male,19,22,14720.76,669.13,5,5,4,14,0,Champions
CUST10072,Chennai,29,Female,17,16,28710.58,1794.41,5,5,5,15,0,Champions
CUST10073,Hyderabad,18,Female,23,18,47487.88,2638.22,5,5,5,15,0,Champions
CUST10074,Delhi,22,Female,277,4,454.0,113.5,1,2,1,4,1,Lost
CUST10075,Delhi,55,Male,20,16,17319.87,1082.49,5,5,5,15,0,Champions
CUST10076,Hyderabad,20,Female,125,1,5738.36,5738.36,2,1,2,5,3,At-Risk
CUST10077,Chennai,36,Female,71,6,4293.83,715.64,3,3,2,8,1,Lost
CUST10078,Bengaluru,45,Female,99,9,3580.2,397.8,3,4,2,9,1,Lost
CUST10079,Chennai,20,Male,22,22,27316.65,1241.67,5,5,5,15,0,Champions
CUST10080,Pune,36,Female,65,15,19829.75866,913.21,3,5,5,13,0,Champions
CUST10081,Mumbai,44,Female,29,25,43533.97,1741.36,4,5,5,14,0,Champions
CUST10082,Madurai,34,Female,1,11,13830.69,1257.34,5,4,4,13,0,Champions
CUST10083,Chennai,66,Male,50,10,16660.63,1666.06,4,4,4,12,0,Champions
CUST10084,Madurai,18,Male,103,6,2542.478761,328.18,3,3,2,8,1,Lost
CUST10085,Madurai,46,Male,216,3,5633.7,1877.9,2,2,2,6,3,At-Risk
CUST10086,Delhi,32,Male,85,3,7546.52,2515.51,3,2,3,8,3,At-Risk
CUST10087,Delhi,42,Female,46,7,10444.92,1492.13,4,3,4,11,2,Loyal Customers
CUST10088,Pune,39,Male,57,11,8104.235938,632.04,3,4,3,10,2,Loyal Customers
CUST10089,Bengaluru,26,Male,298,2,3370.61,1685.3,1,1,2,4,3,At-Risk
CUST10090,Chennai,37,Male,55,12,16827.88,1402.32,4,4,4,12,0,Champions
CUST10091,Delhi,18,Male,115,3,1890.91,630.3,3,2,1,6,1,Lost
CUST10092,Hyderabad,41,Male,98,9,5939.88,659.99,3,4,3,10,3,At-Risk
CUST10093,Mumbai,37,Female,53,9,12543.37,1393.71,4,4,4,12,3,At-Risk
CUST10094,Hyderabad,41,Female,43,12,12557.4,1046.45,4,4,4,12,0,Champions
CUST10095,Bengaluru,46,Male,46,9,9466.68,1051.85,4,4,3,11,0,Champions
CUST10096,Mumbai,38,Male,24,22,36833.4,1674.25,5,5,5,15,0,Champions
CUST10097,Bengaluru,36,Male,13,23,23892.83,1038.82,5,5,5,15,0,Champions
CUST10098,Chennai,24,Male,4,23,29649.08,1289.09,5,5,5,15,0,Champions
CUST10099,Chennai,26,Female,17,12,9532.58,794.38,5,4,3,12,0,Champions
CUST10100,Chennai,47,Female,140,4,6702.86,1675.72,2,2,3,7,3,At-Risk
CUST10101,Delhi,50,Female,262,2,296.17,148.08,1,1,1,3,1,Lost
CUST10102,Madurai,31,Female,33,13,15386.89,1183.61,4,4,4,12,0,Champions
CUST10103,Mumbai,35,Male,360,1,672.79,672.79,1,1,1,3,1,Lost
CUST10104,Pune,24,Female,219,1,561.7373693,322.91,2,1,1,4,1,Lost
CUST10105,Coimbatore,47,Female,178,1,2250.35,2250.35,2,1,1,4,3,At-Risk
CUST10106,Bengaluru,41,Female,365,1,826.3,826.3,1,1,1,3,1,Lost
CUST10107,Hyderabad,55,Male,46,13,15938.62,1226.05,4,4,4,12,0,Champions
CUST10108,Coimbatore,24,Female,32,21,27983.11,1332.53,4,5,5,14,0,Champions
CUST10109,Chennai,30,Female,99,4,3526.05,881.51,3,2,2,7,3,At-Risk
CUST10110,Madurai,37,Female,74,5,9555.35,1911.07,3,2,3,8,3,At-Risk
CUST10111,Chennai,41,Male,260,1,651.67,651.67,1,1,1,3,1,Lost
CUST10112,Kochi,32,Female,359,1,2202.77,2202.77,1,1,1,3,3,At-Risk
CUST10113,Hyderabad,24,Female,112,4,5035.71,1258.93,3,2,2,7,3,At-Risk
CUST10114,Delhi,44,Female,30,10,15135.29,1513.53,4,4,4,12,2,Loyal Customers
CUST10115,Pune,42,Female,62,7,15171.85,2167.41,3,3,4,10,3,At-Risk
CUST10116,Hyderabad,24,Female,13,12,22015.43,1834.62,5,4,5,14,0,Champions
CUST10117,Coimbatore,49,Male,108,8,5746.85,718.36,3,3,2,8,3,At-Risk
CUST10118,Pune,47,Female,93,3,6315.283418,1865.61,3,2,3,8,3,At-Risk
CUST10119,Mumbai,35,Male,365,2,4607.067177,1225.89,1,1,2,4,3,At-Risk
CUST10120,Hyderabad,35,Female,98,7,1573.06,224.72,3,3,1,7,1,Lost
CUST10121,Pune,40,Male,337,3,2039.85,679.95,1,2,1,4,1,Lost
CUST10122,Madurai,25,Male,167,5,8521.88,1704.38,2,2,3,7,3,At-Risk
CUST10123,Chennai,34,Female,268,2,1837.78,918.89,1,1,1,3,1,Lost
CUST10124,Coimbatore,18,Female,10,27,27405.98,1015.04,5,5,5,15,0,Champions
CUST10125,Bengaluru,44,Female,297,4,3828.91,957.23,1,2,2,5,3,At-Risk
CUST10126,Hyderabad,18,Female,107,7,3611.2,515.89,3,3,2,8,1,Lost
CUST10127,Pune,51,Female,1,27,25760.27,954.08,5,5,5,15,0,Champions
CUST10128,Chennai,30,Male,32,8,14276.12,1784.52,4,3,4,11,0,Champions
CUST10129,Mumbai,32,Male,204,1,2145.84,2145.84,2,1,1,4,3,At-Risk
CUST10130,Bengaluru,27,Male,18,17,28901.99,1700.12,5,5,5,15,0,Champions
CUST10131,Coimbatore,31,Male,25,12,11495.99579,1043.84,5,4,4,13,0,Champions
CUST10132,Chennai,50,Female,47,17,11298.48,664.62,4,5,4,13,0,Champions
CUST10133,Madurai,18,Female,75,8,5408.7,676.09,3,3,2,8,3,At-Risk
CUST10134,Kochi,48,Female,365,2,2805.69,1402.84,1,1,2,4,3,At-Risk
CUST10135,Madurai,38,Male,60,9,16841.3,1871.26,3,4,4,11,3,At-Risk
CUST10136,Mumbai,21,Male,63,11,10505.12,955.01,3,4,4,11,0,Champions
CUST10137,Delhi,22,Female,229,2,2142.92,1071.46,1,1,1,3,3,At-Risk
CUST10138,Bengaluru,52,Female,265,1,902.12,902.12,1,1,1,3,1,Lost
CUST10139,Trichy,24,Male,286,1,2549.89,2549.89,1,1,2,4,3,At-Risk
CUST10140,Kochi,21,Female,59,8,13479.92,1684.99,3,3,4,10,3,At-Risk
CUST10141,Coimbatore,47,Female,3,7,8783.95,1254.85,5,3,3,11,0,Champions
CUST10142,Bengaluru,38,Male,69,8,9362.8,1170.35,3,3,3,9,2,Loyal Customers
CUST10143,Madurai,24,Female,102,5,7494.15,1498.83,3,2,3,8,3,At-Risk
CUST10144,Madurai,36,Male,16,16,22012.93,1375.81,5,5,5,15,0,Champions
CUST10145,Chennai,23,Female,76,4,11055.38,2763.84,3,2,4,9,3,At-Risk
CUST10146,Mumbai,46,Male,1,21,17787.05,847.0,5,5,5,15,0,Champions
CUST10147,Mumbai,46,Male,35,14,8784.25,627.45,4,5,3,12,0,Champions
CUST10148,Chennai,40,Female,171,2,2468.811798,672.1,2,1,1,4,1,Lost
CUST10149,Coimbatore,38,Male,20,21,27669.75,1317.61,5,5,5,15,0,Champions
CUST10150,Pune,53,Female,122,4,9652.26,2413.06,2,2,3,7,3,At-Risk
CUST10151,Coimbatore,34,Male,241,2,1909.01,954.5,1,1,1,3,1,Lost
CUST10152,Chennai,21,Male,50,3,15191.41,5063.8,4,2,4,10,3,At-Risk
CUST10153,Bengaluru,39,Male,67,5,3300.17,660.03,3,2,2,7,1,Lost
CUST10154,Trichy,57,Male,364,2,2305.4,1152.7,1,1,1,3,3,At-Risk
CUST10155,Coimbatore,23,Female,337,1,200.0,200.0,1,1,1,3,1,Lost
CUST10156,Delhi,30,Male,36,9,11781.93148,734.21,4,4,4,12,0,Champions
CUST10157,Hyderabad,39,Female,10,17,41720.95,2454.17,5,5,5,15,0,Champions
CUST10158,Coimbatore,33,Female,42,12,28657.62,2388.13,4,4,5,13,0,Champions
CUST10159,Delhi,23,Female,185,5,4883.79,976.76,2,2,2,6,3,At-Risk
CUST10160,Bengaluru,46,Male,155,2,9456.05,4728.02,2,1,3,6,3,At-Risk
CUST10161,Delhi,60,Female,177,8,7159.28,894.91,2,3,3,8,2,Loyal Customers
CUST10162,Delhi,36,Male,6,6,12396.92,2066.15,5,3,4,12,0,Champions
CUST10163,Mumbai,24,Male,9,20,25347.25,1267.36,5,5,5,15,0,Champions
CUST10164,Chennai,18,Male,136,5,7677.93,1535.59,2,2,3,7,3,At-Risk
CUST10165,Hyderabad,37,Male,36,3,3372.17,1124.06,4,2,2,8,3,At-Risk
CUST10166,Madurai,46,Male,181,1,5051.98,5051.98,2,1,2,5,3,At-Risk
CUST10167,Coimbatore,39,Female,30,7,12530.03,1790.0,4,3,4,11,0,Champions
CUST10168,Chennai,34,Male,34,14,4756.8,339.77,4,5,2,11,2,Loyal Customers
CUST10169,Mumbai,28,Male,38,11,10235.9,930.54,4,4,4,12,0,Champions
CUST10170,Delhi,22,Female,26,7,13022.8,1860.4,5,3,4,12,0,Champions
CUST10171,Chennai,43,Male,30,8,13714.91,1714.36,4,3,4,11,0,Champions
CUST10172,Mumbai,44,Male,11,21,34032.69,1620.6,5,5,5,15,0,Champions
CUST10173,Coimbatore,18,Male,45,8,11182.77,1397.85,4,3,4,11,0,Champions
CUST10174,Delhi,51,Female,6,22,26733.44,1215.16,5,5,5,15,0,Champions
CUST10175,Chennai,40,Male,15,10,26853.14076,1470.76,5,4,5,14,0,Champions
CUST10176,Delhi,49,Male,85,1,5580.41,5580.41,3,1,2,6,3,At-Risk
CUST10177,Bengaluru,19,Male,83,11,11958.58533,1051.16,3,4,4,11,0,Champions
CUST10178,Kochi,19,Female,89,7,3855.26,550.75,3,3,2,8,1,Lost
CUST10179,Chennai,32,Female,126,4,1813.58,453.4,2,2,1,5,1,Lost
CUST10180,Madurai,40,Female,175,4,4723.75,1180.94,2,2,2,6,3,At-Risk
CUST10181,Chennai,54,Male,299,1,390.5,390.5,1,1,1,3,1,Lost
CUST10182,Kochi,42,Male,23,20,28024.20748,2147.21,5,5,5,15,2,Loyal Customers
CUST10183,Pune,31,Male,162,6,9385.72,1564.29,2,3,3,8,3,At-Risk
CUST10184,Coimbatore,23,Male,156,2,2907.405644,1454.73,2,1,2,5,3,At-Risk
CUST10185,Delhi,48,Male,344,2,1336.25,668.12,1,1,1,3,1,Lost
CUST10186,Hyderabad,23,Male,17,17,51766.21253,1645.22,5,5,5,15,0,Champions
CUST10187,Mumbai,52,Female,59,16,12054.61,753.41,3,5,4,12,0,Champions
CUST10188,Mumbai,31,Female,8,23,33603.98,1461.04,5,5,5,15,0,Champions
CUST10189,Coimbatore,51,Male,156,4,6147.93,1536.98,2,2,3,7,3,At-Risk
CUST10190,Chennai,41,Female,108,6,9435.73,1572.62,3,3,3,9,3,At-Risk
CUST10191,Pune,32,Male,93,4,13006.62,3251.66,3,2,4,9,3,At-Risk
CUST10192,Pune,28,Male,107,5,6447.55,1289.51,3,2,3,8,3,At-Risk
CUST10193,Delhi,30,Female,134,5,4088.23,817.65,2,2,2,6,3,At-Risk
CUST10194,Madurai,39,Male,68,10,15708.0,1570.8,3,4,4,11,0,Champions
CUST10195,Madurai,35,Male,252,2,1383.68,691.84,1,1,1,3,1,Lost
CUST10196,Delhi,27,Male,365,2,2166.44,1083.22,1,1,1,3,1,Lost
CUST10197,Pune,32,Female,22,18,21963.16,1220.18,5,5,5,15,0,Champions
CUST10198,Pune,35,Female,115,2,9194.05,4597.02,3,1,3,7,3,At-Risk
CUST10199,Hyderabad,18,Male,50,9,9297.13,1033.01,4,4,3,11,0,Champions
CUST10200,Delhi,39,Female,156,3,6530.82,2176.94,2,2,3,7,3,At-Risk
CUST10201,Chennai,23,Female,287,1,1614.33,1614.33,1,1,1,3,3,At-Risk
CUST10202,Chennai,21,Female,354,2,2417.59,1208.8,1,1,1,3,1,Lost
CUST10203,Pune,18,Female,33,13,10052.71,773.29,4,4,3,11,0,Champions
CUST10204,Mumbai,18,Male,51,11,9324.41,847.67,4,4,3,11,0,Champions
CUST10205,Chennai,19,Male,52,12,10671.21,889.27,4,4,4,12,0,Champions
CUST10206,Chennai,26,Male,214,6,12947.93016,1400.77,2,3,4,9,3,At-Risk
CUST10207,Delhi,55,Female,1,16,32024.71,2001.54,5,5,5,15,0,Champions
CUST10208,Chennai,28,Female,144,4,3329.18,832.3,2,2,2,6,1,Lost
CUST10209,Chennai,36,Female,21,17,30200.75,1776.51,5,5,5,15,0,Champions
CUST10210,Mumbai,38,Female,35,11,17704.94,1609.54,4,4,5,13,0,Champions
CUST10211,Delhi,35,Female,61,7,14290.9,2041.56,3,3,4,10,3,At-Risk
CUST10212,Delhi,33,Female,273,1,1948.88,1948.88,1,1,1,3,3,At-Risk
CUST10213,Coimbatore,21,Female,29,7,12394.65482,1228.13,4,3,4,11,0,Champions
CUST10214,Delhi,50,Female,17,14,7475.64,533.97,5,5,3,13,0,Champions
CUST10215,Coimbatore,54,Male,33,9,27547.95,3060.88,4,4,5,13,0,Champions
CUST10216,Madurai,18,Male,125,10,8672.22,867.22,2,4,3,9,2,Loyal Customers
CUST10217,Delhi,23,Male,77,12,7476.373615,799.85,3,4,3,10,0,Champions
CUST10218,Delhi,31,Female,116,6,6724.42,1120.74,2,3,3,8,3,At-Risk
CUST10219,Hyderabad,23,Male,284,4,2198.6,549.65,1,2,1,4,1,Lost
CUST10220,Delhi,40,Female,127,8,3982.69,497.84,2,3,2,7,1,Lost
CUST10221,Mumbai,26,Male,90,6,5884.98,980.83,3,3,2,8,3,At-Risk
CUST10222,Chennai,58,Male,67,4,7528.23,1882.06,3,2,3,8,3,At-Risk
CUST10223,Bengaluru,47,Female,365,1,1680.608951,1298.14,1,1,1,3,1,Lost
CUST10224,Coimbatore,36,Male,365,2,2193.59,1096.8,1,1,1,3,1,Lost
CUST10225,Coimbatore,45,Male,139,5,6586.43,1317.29,2,2,3,7,3,At-Risk
CUST10226,Trichy,46,Male,56,13,13491.07,1037.77,4,4,4,12,0,Champions
CUST10227,Bengaluru,28,Male,39,14,8373.97,598.14,4,5,3,12,0,Champions
CUST10228,Pune,25,Female,41,11,9098.64,827.15,4,4,3,11,0,Champions
CUST10229,Delhi,35,Male,106,9,7502.71,833.63,3,4,3,10,3,At-Risk
CUST10230,Hyderabad,43,Female,143,4,8530.61,2132.65,2,2,3,7,3,At-Risk
CUST10231,Mumbai,36,Male,21,17,23985.94,1410.94,5,5,5,15,0,Champions
CUST10232,Mumbai,18,Female,42,14,17379.84,1241.42,4,5,5,14,0,Champions
CUST10233,Bengaluru,25,Male,28,11,9546.5,867.86,4,4,3,11,2,Loyal Customers
CUST10234,Coimbatore,33,Female,365,1,3105.09,3105.09,1,1,2,4,3,At-Risk
CUST10235,Delhi,33,Female,93,3,4378.88,1459.63,3,2,2,7,3,At-Risk
CUST10236,Madurai,56,Male,177,3,3112.31,1037.44,2,2,2,6,1,Lost
CUST10237,Chennai,19,Female,68,9,15818.67,1757.63,3,4,4,11,3,At-Risk
CUST10238,Delhi,40,Female,160,5,5906.15,1181.23,2,2,2,6,3,At-Risk
CUST10239,Chennai,50,Male,25,10,17021.29,1702.13,5,4,4,13,0,Champions
CUST10240,Kochi,59,Male,245,3,5731.009969,1725.21,1,2,2,5,3,At-Risk
CUST10241,Kochi,30,Female,21,21,22895.76,1090.27,5,5,5,15,0,Champions
CUST10242,Pune,39,Female,111,8,7964.62,995.58,3,3,3,9,3,At-Risk
CUST10243,Bengaluru,40,Male,59,10,16090.94367,906.62,3,4,4,11,0,Champions
CUST10244,Chennai,36,Male,53,8,8440.15,1055.02,4,3,3,10,3,At-Risk
CUST10245,Kochi,33,Female,333,1,1432.25,1432.25,1,1,1,3,1,Lost
CUST10246,Bengaluru,39,Female,26,15,10895.47,726.36,5,5,4,14,0,Champions
CUST10247,Kochi,18,Female,46,11,7645.49,695.04,4,4,3,11,0,Champions
CUST10248,Kochi,42,Male,154,5,3313.75,662.75,2,2,2,6,1,Lost
CUST10249,Pune,35,Female,315,2,2915.32,1457.66,1,1,2,4,3,At-Risk
CUST10250,Madurai,32,Male,27,10,12484.14,1248.41,4,4,4,12,0,Champions
CUST10251,Bengaluru,57,Male,83,7,15018.48488,1221.56,3,3,4,10,3,At-Risk
CUST10252,Pune,27,Female,246,2,3812.685836,974.22,1,1,2,4,3,At-Risk
CUST10253,Madurai,30,Other,97,11,10627.10464,1016.13,3,4,4,11,0,Champions
CUST10254,Chennai,56,Male,22,19,13442.32,707.49,5,5,4,14,0,Champions
CUST10255,Mumbai,25,Male,32,7,17587.77,2512.54,4,3,5,12,0,Champions
CUST10256,Kochi,28,Female,298,2,2734.48,1367.24,1,1,2,4,3,At-Risk
CUST10257,Delhi,32,Female,24,20,30258.82,1512.94,5,5,5,15,0,Champions
CUST10258,Mumbai,43,Female,21,7,15269.94,2181.42,5,3,4,12,0,Champions
CUST10259,Chennai,36,Female,130,4,9384.03,2346.01,2,2,3,7,3,At-Risk
CUST10260,Mumbai,20,Male,162,3,6000.76,2000.25,2,2,3,7,3,At-Risk
CUST10261,Trichy,28,Other,18,6,13956.96,2326.16,5,3,4,12,0,Champions
CUST10262,Chennai,27,Female,177,2,6151.84,3075.92,2,1,3,6,3,At-Risk
CUST10263,Mumbai,33,Female,77,9,4135.81,459.53,3,4,2,9,1,Lost
CUST10264,Pune,39,Female,56,11,13773.5,1252.14,4,4,4,12,0,Champions
CUST10265,Delhi,39,Female,70,3,4081.13,1360.38,3,2,2,7,3,At-Risk
CUST10266,Delhi,18,Male,323,2,3701.691838,1064.38,1,1,2,4,3,At-Risk
CUST10267,Delhi,46,Male,48,9,18890.51,2098.95,4,4,5,13,0,Champions
CUST10268,Bengaluru,37,Female,303,1,1966.59,1966.59,1,1,1,3,3,At-Risk
CUST10269,Madurai,49,Male,78,6,4643.35,773.89,3,3,2,8,3,At-Risk
CUST10270,Hyderabad,39,Male,16,26,65039.126,1270.44,5,5,5,15,0,Champions
CUST10271,Hyderabad,46,Female,89,6,4979.16,829.86,3,3,2,8,3,At-Risk
CUST10272,Pune,39,Female,27,17,26982.7,1587.22,4,5,5,14,0,Champions
CUST10273,Pune,49,Male,306,2,2349.73,1174.86,1,1,1,3,3,At-Risk
CUST10274,Mumbai,40,Female,162,4,3213.6,803.4,2,2,2,6,2,Loyal Customers
CUST10275,Mumbai,33,Female,32,8,200.0,25.0,4,3,1,8,1,Lost
CUST10276,Hyderabad,59,Female,63,10,14757.53,1475.75,3,4,4,11,0,Champions
CUST10277,Delhi,44,Female,29,8,11362.57,1420.32,4,3,4,11,0,Champions
CUST10278,Delhi,40,Male,61,11,8600.82,781.89,3,4,3,10,0,Champions
CUST10279,Hyderabad,20,Male,28,13,15204.51,1169.58,4,4,4,12,0,Champions
CUST10280,Pune,20,Male,32,12,18838.82,1569.9,4,4,5,13,0,Champions
CUST10281,Madurai,37,Male,60,6,9607.35,1601.22,3,3,3,9,3,At-Risk
CUST10282,Bengaluru,36,Female,19,20,30298.14,1514.91,5,5,5,15,0,Champions
CUST10283,Chennai,27,Female,282,1,2236.1,2236.1,1,1,1,3,3,At-Risk
CUST10284,Mumbai,36,Female,305,2,2478.53,1239.27,1,1,1,3,3,At-Risk
CUST10285,Chennai,51,Female,60,13,15100.92,1161.61,3,4,4,11,0,Champions
CUST10286,Bengaluru,42,Female,275,2,1631.52,815.76,1,1,1,3,1,Lost
CUST10287,Mumbai,21,Male,62,13,10515.23,808.86,3,4,4,11,0,Champions
CUST10288,Madurai,33,Male,24,22,27696.68,1258.94,5,5,5,15,0,Champions
CUST10289,Mumbai,25,Female,117,2,5820.32,2910.16,2,1,2,5,3,At-Risk
CUST10290,Chennai,30,Male,57,11,8226.12,747.83,3,4,3,10,0,Champions
CUST10291,Chennai,29,Male,144,5,2694.57,538.91,2,2,2,6,1,Lost
CUST10292,Hyderabad,29,Female,301,3,3570.89,1190.3,1,2,2,5,3,At-Risk
CUST10293,Bengaluru,20,Male,199,3,2640.34,880.11,2,2,2,6,1,Lost
CUST10294,Chennai,33,Female,119,3,6638.39,2212.8,2,2,3,7,3,At-Risk
CUST10295,Mumbai,28,Male,233,2,2077.71,1038.86,1,1,1,3,2,Loyal Customers
CUST10296,Hyderabad,18,Male,6,30,28788.21,959.61,5,5,5,15,0,Champions
CUST10297,Coimbatore,57,Male,23,19,26396.44,1389.29,5,5,5,15,0,Champions
CUST10298,Mumbai,46,Female,99,6,8065.73,1344.29,3,3,3,9,3,At-Risk
CUST10299,Chennai,30,Male,24,10,12578.51,1257.85,5,4,4,13,0,Champions
CUST10300,Chennai,34,Female,36,8,15492.68,1936.58,4,3,4,11,0,Champions
CUST10301,Mumbai,21,Female,48,9,10451.79,1161.31,4,4,4,12,0,Champions
CUST10302,Mumbai,53,Female,165,6,5936.47,989.41,2,3,3,8,3,At-Risk
CUST10303,Delhi,55,Male,28,8,10838.47,1354.81,4,3,4,11,0,Champions
CUST10304,Delhi,36,Male,241,3,6856.279308,3224.34,1,2,3,6,3,At-Risk
CUST10305,Trichy,45,Female,5,13,28143.78,2164.91,5,4,5,14,0,Champions
