Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
902-61-9150,A,Yangon,Normal,Male,Fashion accessories,80.94,6,24.282,509.922,1/2/2019,16:00,Credit card,485.64,4.761904762,24.282,7.6
991-37-8675,B,Mandalay,Normal,Male,Electronic accessories,62.87,10,31.435,660.135,1/2/2019,16:00,Ewallet,628.7,4.761904762,31.435,6.6
833-27-6539,B,Mandalay,Member,Male,Sports and travel,73.09,3,10.9635,230.2335,1/2/2019,18:00,Ewallet,219.27,4.761904762,10.9635,4
253-57-2151,A,Yangon,Normal,Male,Fashion accessories,43.52,9,19.584,411.264,1/2/2019,22:00,Cash,391.68,4.761904762,19.584,5.1
472-65-7302,C,Naypyitaw,Member,Female,Electronic accessories,43.82,3,6.573,138.033,1/2/2019,23:00,Ewallet,131.46,4.761904762,6.573,7.9
670-67-5747,A,Yangon,Normal,Male,Home and lifestyle,65.67,3,9.8505,206.8605,1/3/2019,2:00,Ewallet,197.01,4.761904762,9.8505,4
275-40-9402,C,Naypyitaw,Member,Male,Health and beauty,26.16,5,6.54,137.34,1/3/2019,2:00,Credit card,130.8,4.761904762,6.54,8.8
546-83-3507,B,Mandalay,Normal,Female,Health and beauty,47.52,7,16.632,349.272,1/3/2019,2:00,Credit card,332.64,4.761904762,16.632,8.6
456-57-8494,A,Yangon,Member,Male,Sports and travel,30.03,8,12.012,252.252,1/3/2019,6:00,Credit card,240.24,4.761904762,12.012,7.1
983-63-4705,B,Mandalay,Normal,Female,Fashion accessories,68.33,7,23.9155,502.2255,1/3/2019,6:00,Credit card,478.31,4.761904762,23.9155,7.9
433-84-5038,C,Naypyitaw,Normal,Female,Health and beauty,103.43,9,46.5435,977.4135,1/3/2019,6:00,Cash,930.87,4.761904762,46.5435,7.8
128-83-8260,C,Naypyitaw,Normal,Female,Fashion accessories,93.67,5,23.4175,491.7675,1/3/2019,7:00,Credit card,468.35,4.761904762,23.4175,6.8
940-57-9521,C,Naypyitaw,Normal,Male,Fashion accessories,47.57,10,23.785,499.485,1/3/2019,12:00,Cash,475.7,4.761904762,23.785,4.9
822-65-1784,B,Mandalay,Normal,Male,Sports and travel,34.1,3,5.115,107.415,1/3/2019,14:00,Cash,102.3,4.761904762,5.115,8.5
748-43-6036,C,Naypyitaw,Member,Female,Sports and travel,51.88,6,15.564,326.844,1/3/2019,14:00,Credit card,311.28,4.761904762,15.564,9.1
364-16-6775,C,Naypyitaw,Member,Male,Sports and travel,89.68,5,22.42,470.82,1/3/2019,16:00,Ewallet,448.4,4.761904762,22.42,5.2
118-15-1625,A,Yangon,Normal,Male,Health and beauty,31.16,4,6.232,130.872,1/3/2019,18:00,Cash,124.64,4.761904762,6.232,4.9
598-20-4708,B,Mandalay,Member,Female,Sports and travel,99.48,2,9.948,208.908,1/3/2019,20:00,Cash,198.96,4.761904762,9.948,6.8
815-70-9953,A,Yangon,Normal,Female,Health and beauty,44.47,7,15.5645,326.8545,1/4/2019,2:00,Ewallet,311.29,4.761904762,15.5645,6.1
909-22-7398,C,Naypyitaw,Normal,Male,Sports and travel,102.63,5,25.6575,538.8075,1/4/2019,2:00,Ewallet,513.15,4.761904762,25.6575,7.2
184-83-2555,C,Naypyitaw,Member,Female,Food and beverages,71.94,4,14.388,302.148,1/4/2019,3:00,Credit card,287.76,4.761904762,14.388,8.8
661-45-5187,A,Yangon,Normal,Female,Fashion accessories,77.86,8,31.144,654.024,1/4/2019,5:00,Credit card,622.88,4.761904762,31.144,4
699-78-1036,C,Naypyitaw,Member,Female,Sports and travel,40.2,9,18.09,379.89,1/4/2019,7:00,Cash,361.8,4.761904762,18.09,9.4
864-21-9060,C,Naypyitaw,Normal,Male,Electronic accessories,12.94,9,5.823,122.283,1/4/2019,9:00,Ewallet,116.46,4.761904762,5.823,6.4
779-63-9065,A,Yangon,Member,Male,Fashion accessories,41.81,3,6.2715,131.7015,1/4/2019,10:00,Ewallet,125.43,4.761904762,6.2715,7.8
277-50-6932,B,Mandalay,Member,Male,Fashion accessories,35.02,3,5.253,110.313,1/4/2019,17:00,Credit card,105.06,4.761904762,5.253,7.9
970-18-7333,C,Naypyitaw,Normal,Female,Sports and travel,14,5,3.5,73.5,1/4/2019,17:00,Cash,70,4.761904762,3.5,8.1
739-95-6067,A,Yangon,Normal,Male,Home and lifestyle,54.98,5,13.745,288.645,1/4/2019,18:00,Ewallet,274.9,4.761904762,13.745,7.1
356-53-1661,C,Naypyitaw,Normal,Female,Sports and travel,48.16,10,24.08,505.68,1/4/2019,20:00,Cash,481.6,4.761904762,24.08,7.4
905-28-8887,A,Yangon,Normal,Male,Fashion accessories,63.16,2,6.316,132.636,1/4/2019,22:00,Ewallet,126.32,4.761904762,6.316,7.4
514-76-9534,C,Naypyitaw,Member,Male,Electronic accessories,78.35,1,3.9175,82.2675,1/4/2019,23:00,Cash,78.35,4.761904762,3.9175,6.1
781-91-4897,C,Naypyitaw,Normal,Female,Fashion accessories,19.71,8,7.884,165.564,1/5/2019,1:00,Credit card,157.68,4.761904762,7.884,4.4
245-76-3169,C,Naypyitaw,Member,Male,Electronic accessories,116.34,3,17.451,366.471,1/5/2019,2:00,Cash,349.02,4.761904762,17.451,5.2
351-96-7454,B,Mandalay,Normal,Female,Health and beauty,29.3,1,1.465,30.765,1/5/2019,7:00,Credit card,29.3,4.761904762,1.465,6.8
700-67-2515,C,Naypyitaw,Normal,Male,Food and beverages,42.19,1,2.1095,44.2995,1/5/2019,10:00,Cash,42.19,4.761904762,2.1095,5.8
674-61-4544,C,Naypyitaw,Normal,Male,Fashion accessories,50.77,2,5.077,106.617,1/5/2019,14:00,Credit card,101.54,4.761904762,5.077,5.8
481-33-1071,A,Yangon,Normal,Female,Sports and travel,86.48,6,25.944,544.824,1/5/2019,16:00,Cash,518.88,4.761904762,25.944,9.7
620-46-6492,C,Naypyitaw,Member,Female,Health and beauty,20.71,6,6.213,130.473,1/5/2019,18:00,Ewallet,124.26,4.761904762,6.213,8.3
438-62-5759,A,Yangon,Normal,Female,Food and beverages,40.93,3,6.1395,128.9295,1/5/2019,20:00,Cash,122.79,4.761904762,6.1395,6.6
591-30-1039,B,Mandalay,Member,Male,Sports and travel,69.24,4,13.848,290.808,1/5/2019,20:00,Ewallet,276.96,4.761904762,13.848,8
458-71-6373,A,Yangon,Normal,Male,Home and lifestyle,29.15,2,2.915,61.215,1/5/2019,21:00,Credit card,58.3,4.761904762,2.915,6.4
680-23-2900,A,Yangon,Member,Male,Sports and travel,69.13,2,6.913,145.173,1/5/2019,23:00,Cash,138.26,4.761904762,6.913,7.2
269-59-5796,A,Yangon,Normal,Female,Electronic accessories,110.65,7,38.7275,813.2775,1/6/2019,2:00,Credit card,774.55,4.761904762,38.7275,7.7
610-13-9775,C,Naypyitaw,Normal,Female,Electronic accessories,118.54,1,5.927,124.467,1/6/2019,5:00,Ewallet,118.54,4.761904762,5.927,6.4
558-26-1815,A,Yangon,Member,Female,Home and lifestyle,12.89,7,4.5115,94.7415,1/6/2019,6:00,Credit card,90.23,4.761904762,4.5115,6
784-89-1246,C,Naypyitaw,Member,Male,Health and beauty,34.07,1,1.7035,35.7735,1/6/2019,7:00,Cash,34.07,4.761904762,1.7035,8.8
829-42-7702,A,Yangon,Normal,Male,Food and beverages,31.98,6,9.594,201.474,1/6/2019,7:00,Credit card,191.88,4.761904762,9.594,7.9
745-81-5513,A,Yangon,Member,Female,Sports and travel,47.8,3,7.17,150.57,1/6/2019,9:00,Ewallet,143.4,4.761904762,7.17,4
719-62-2421,B,Mandalay,Member,Male,Electronic accessories,37.87,8,15.148,318.108,1/6/2019,9:00,Cash,302.96,4.761904762,15.148,6
371-52-8283,C,Naypyitaw,Member,Female,Health and beauty,30.92,6,9.276,194.796,1/6/2019,10:00,Credit card,185.52,4.761904762,9.276,5.8
940-83-1255,A,Yangon,Member,Male,Home and lifestyle,94.96,2,9.496,199.416,1/6/2019,11:00,Ewallet,189.92,4.761904762,9.496,6.1
180-21-3962,B,Mandalay,Normal,Male,Fashion accessories,87.16,8,34.864,732.144,1/6/2019,13:00,Ewallet,697.28,4.761904762,34.864,8.3
334-50-9372,C,Naypyitaw,Normal,Female,Electronic accessories,17.02,5,4.255,89.355,1/6/2019,17:00,Cash,85.1,4.761904762,4.255,7
256-79-9762,B,Mandalay,Member,Male,Home and lifestyle,40.15,8,16.06,337.26,1/6/2019,18:00,Cash,321.2,4.761904762,16.06,4.9
956-73-6592,A,Yangon,Member,Male,Sports and travel,48.36,8,19.344,406.224,1/6/2019,23:00,Ewallet,386.88,4.761904762,19.344,6.4
499-61-1591,A,Yangon,Member,Female,Food and beverages,26.58,6,7.974,167.454,1/7/2019,2:00,Ewallet,159.48,4.761904762,7.974,7.8
233-46-3260,C,Naypyitaw,Member,Female,Electronic accessories,79.16,2,7.916,166.236,1/7/2019,2:00,Ewallet,158.32,4.761904762,7.916,6.7
581-47-6032,A,Yangon,Member,Male,Electronic accessories,80.39,8,32.156,675.276,1/7/2019,3:00,Credit card,643.12,4.761904762,32.156,6
447-90-9774,C,Naypyitaw,Member,Female,Sports and travel,89.97,6,26.991,566.811,1/7/2019,4:00,Cash,539.82,4.761904762,26.991,7.5
825-60-6696,B,Mandalay,Member,Male,Fashion accessories,72.14,6,21.642,454.482,1/7/2019,9:00,Credit card,432.84,4.761904762,21.642,9.4
320-61-4038,C,Naypyitaw,Normal,Female,Health and beauty,64.12,8,25.648,538.608,1/7/2019,10:00,Credit card,512.96,4.761904762,25.648,7.7
897-66-7609,C,Naypyitaw,Member,Male,Food and beverages,57.94,1,2.897,60.837,1/7/2019,16:00,Cash,57.94,4.761904762,2.897,9
198-39-3274,C,Naypyitaw,Normal,Male,Electronic accessories,41.27,2,4.127,86.667,1/7/2019,17:00,Ewallet,82.54,4.761904762,4.127,6.1
522-81-3577,B,Mandalay,Normal,Female,Food and beverages,53.36,9,24.012,504.252,1/7/2019,20:00,Ewallet,480.24,4.761904762,24.012,7
688-54-6591,C,Naypyitaw,Normal,Male,Electronic accessories,64.25,8,25.7,539.7,1/7/2019,21:00,Ewallet,514,4.761904762,25.7,7
470-96-5829,B,Mandalay,Normal,Male,Food and beverages,18.59,7,6.5065,136.6365,1/7/2019,23:00,Credit card,130.13,4.761904762,6.5065,7.2
191-31-6311,B,Mandalay,Normal,Female,Home and lifestyle,31.59,7,11.0565,232.1865,1/8/2019,4:00,Cash,221.13,4.761904762,11.0565,7.7
176-34-2387,B,Mandalay,Normal,Female,Electronic accessories,43.15,5,10.7875,226.5375,1/8/2019,12:00,Ewallet,215.75,4.761904762,10.7875,5.6
278-16-3924,C,Naypyitaw,Normal,Male,Food and beverages,78.42,2,7.842,164.682,1/8/2019,13:00,Cash,156.84,4.761904762,7.842,8
379-28-2618,C,Naypyitaw,Normal,Female,Health and beauty,33.55,6,10.065,211.365,1/8/2019,18:00,Cash,201.3,4.761904762,10.065,4.6
839-18-8843,C,Naypyitaw,Normal,Female,Home and lifestyle,35.74,10,17.87,375.27,1/8/2019,18:00,Cash,357.4,4.761904762,17.87,5
969-49-8063,B,Mandalay,Normal,Male,Home and lifestyle,42.87,3,6.4305,135.0405,1/8/2019,21:00,Ewallet,128.61,4.761904762,6.4305,10
403-72-2348,B,Mandalay,Member,Male,Health and beauty,75.98,4,15.196,319.116,1/8/2019,21:00,Credit card,303.92,4.761904762,15.196,6.2
536-63-6289,C,Naypyitaw,Member,Female,Food and beverages,17.44,10,8.72,183.12,1/8/2019,22:00,Cash,174.4,4.761904762,8.72,8.1
474-54-3428,A,Yangon,Member,Female,Sports and travel,99.65,2,9.965,209.265,1/9/2019,1:00,Ewallet,199.3,4.761904762,9.965,9.5
113-38-9691,A,Yangon,Normal,Female,Health and beauty,95.74,2,9.574,201.054,1/9/2019,1:00,Credit card,191.48,4.761904762,9.574,4
745-16-7708,B,Mandalay,Normal,Male,Food and beverages,52.16,8,20.864,438.144,1/9/2019,5:00,Ewallet,417.28,4.761904762,20.864,8.7
629-96-7635,A,Yangon,Normal,Male,Health and beauty,76.99,8,30.796,646.716,1/9/2019,5:00,Credit card,615.92,4.761904762,30.796,8
649-68-6315,A,Yangon,Normal,Male,Health and beauty,12.63,10,6.315,132.615,1/9/2019,8:00,Credit card,126.3,4.761904762,6.315,9.5
854-53-1726,A,Yangon,Member,Male,Electronic accessories,48.2,6,14.46,303.66,1/9/2019,9:00,Credit card,289.2,4.761904762,14.46,5.2
830-69-3649,A,Yangon,Member,Male,Food and beverages,68.69,5,17.1725,360.6225,1/9/2019,9:00,Credit card,343.45,4.761904762,17.1725,9.2
407-17-3815,A,Yangon,Normal,Male,Sports and travel,17.74,8,7.096,149.016,1/9/2019,10:00,Ewallet,141.92,4.761904762,7.096,5.9
974-89-3984,C,Naypyitaw,Normal,Male,Electronic accessories,42.16,4,8.432,177.072,1/9/2019,10:00,Credit card,168.64,4.761904762,8.432,8.6
230-78-7099,B,Mandalay,Normal,Female,Health and beauty,68.3,4,13.66,286.86,1/9/2019,12:00,Cash,273.2,4.761904762,13.66,6.9
753-35-8790,B,Mandalay,Member,Female,Fashion accessories,31.18,5,7.795,163.695,1/9/2019,14:00,Credit card,155.9,4.761904762,7.795,8.2
553-67-2074,C,Naypyitaw,Normal,Male,Health and beauty,102.43,1,5.1215,107.5515,1/10/2019,0:00,Credit card,102.43,4.761904762,5.1215,7.1
990-14-1588,A,Yangon,Normal,Male,Health and beauty,23.83,1,1.1915,25.0215,1/10/2019,7:00,Credit card,23.83,4.761904762,1.1915,4.2
259-89-4838,C,Naypyitaw,Normal,Male,Food and beverages,68.82,2,6.882,144.522,1/10/2019,8:00,Credit card,137.64,4.761904762,6.882,4
110-62-7103,C,Naypyitaw,Normal,Female,Food and beverages,46.93,8,18.772,394.212,1/10/2019,9:00,Ewallet,375.44,4.761904762,18.772,7.3
639-87-7783,A,Yangon,Normal,Male,Electronic accessories,92.14,7,32.249,677.229,1/10/2019,12:00,Credit card,644.98,4.761904762,32.249,6.6
866-93-4822,B,Mandalay,Member,Female,Sports and travel,39.53,10,19.765,415.065,1/10/2019,16:00,Cash,395.3,4.761904762,19.765,7.6
306-71-6914,C,Naypyitaw,Normal,Female,Electronic accessories,66.95,9,30.1275,632.6775,1/10/2019,18:00,Credit card,602.55,4.761904762,30.1275,6.6
856-54-4688,C,Naypyitaw,Normal,Female,Home and lifestyle,86.26,5,21.565,452.865,1/10/2019,19:00,Cash,431.3,4.761904762,21.565,10
447-34-8211,B,Mandalay,Normal,Female,Health and beauty,56.7,2,5.67,119.07,1/10/2019,19:00,Ewallet,113.4,4.761904762,5.67,7.3
836-55-7319,B,Mandalay,Normal,Female,Fashion accessories,39.92,7,13.972,293.412,1/10/2019,20:00,Cash,279.44,4.761904762,13.972,6.3
753-74-1081,A,Yangon,Member,Male,Health and beauty,63.49,8,25.396,533.316,1/11/2019,1:00,Cash,507.92,4.761904762,25.396,7.5
234-88-7999,C,Naypyitaw,Member,Male,Health and beauty,81.24,7,28.434,597.114,1/11/2019,2:00,Credit card,568.68,4.761904762,28.434,6.4
276-64-2480,A,Yangon,Normal,Female,Electronic accessories,59.38,7,20.783,436.443,1/11/2019,5:00,Ewallet,415.66,4.761904762,20.783,7.1
539-65-4598,C,Naypyitaw,Normal,Male,Fashion accessories,88.88,5,22.22,466.62,1/11/2019,8:00,Cash,444.4,4.761904762,22.22,5.2
796-67-5183,B,Mandalay,Normal,Female,Fashion accessories,34.44,2,3.444,72.324,1/11/2019,9:00,Ewallet,68.88,4.761904762,3.444,7
708-25-8644,B,Mandalay,Member,Female,Fashion accessories,49.7,6,14.91,313.11,1/11/2019,13:00,Credit card,298.2,4.761904762,14.91,6.3
314-54-2758,B,Mandalay,Normal,Male,Electronic accessories,92.84,4,18.568,389.928,1/11/2019,15:00,Cash,371.36,4.761904762,18.568,5.3
651-63-4853,A,Yangon,Normal,Male,Health and beauty,78.46,10,39.23,823.83,1/11/2019,20:00,Ewallet,784.6,4.761904762,39.23,10
798-62-9422,A,Yangon,Normal,Male,Electronic accessories,104.23,2,10.423,218.883,1/11/2019,22:00,Ewallet,208.46,4.761904762,10.423,5.4
482-36-7991,A,Yangon,Member,Male,Food and beverages,83.91,9,37.7595,792.9495,1/12/2019,0:00,Ewallet,755.19,4.761904762,37.7595,7
214-15-5406,A,Yangon,Normal,Male,Food and beverages,40.79,7,14.2765,299.8065,1/12/2019,3:00,Cash,285.53,4.761904762,14.2765,5.8
399-27-7927,C,Naypyitaw,Normal,Female,Electronic accessories,23.87,6,7.161,150.381,1/12/2019,4:00,Ewallet,143.22,4.761904762,7.161,7.4
111-29-8980,B,Mandalay,Member,Male,Fashion accessories,12.07,5,3.0175,63.3675,1/12/2019,16:00,Ewallet,60.35,4.761904762,3.0175,5.1
803-68-4676,A,Yangon,Normal,Male,Health and beauty,82.16,3,12.324,258.804,1/12/2019,20:00,Credit card,246.48,4.761904762,12.324,8.3
829-31-4065,C,Naypyitaw,Normal,Male,Electronic accessories,105.35,10,52.675,1106.175,1/12/2019,20:00,Credit card,1053.5,4.761904762,52.675,10
402-38-1076,C,Naypyitaw,Normal,Female,Electronic accessories,35.57,10,17.785,373.485,1/12/2019,21:00,Cash,355.7,4.761904762,17.785,5.7
620-33-6134,C,Naypyitaw,Member,Male,Electronic accessories,28.92,4,5.784,121.464,1/13/2019,5:00,Credit card,115.68,4.761904762,5.784,8.8
775-22-5267,C,Naypyitaw,Member,Female,Home and lifestyle,15.54,3,2.331,48.951,1/13/2019,13:00,Ewallet,46.62,4.761904762,2.331,6.4
968-80-8652,A,Yangon,Member,Male,Food and beverages,70.74,8,28.296,594.216,1/13/2019,14:00,Cash,565.92,4.761904762,28.296,9.3
588-87-4659,B,Mandalay,Member,Male,Fashion accessories,35.82,3,5.373,112.833,1/14/2019,0:00,Cash,107.46,4.761904762,5.373,10
263-70-8143,C,Naypyitaw,Member,Female,Sports and travel,48.04,7,16.814,353.094,1/14/2019,5:00,Cash,336.28,4.761904762,16.814,6.6
523-36-9448,C,Naypyitaw,Normal,Male,Fashion accessories,52,7,18.2,382.2,1/14/2019,7:00,Cash,364,4.761904762,18.2,4.7
855-43-7487,A,Yangon,Member,Male,Sports and travel,88.95,7,31.1325,653.7825,1/14/2019,8:00,Cash,622.65,4.761904762,31.1325,8.4
376-42-1258,C,Naypyitaw,Normal,Female,Home and lifestyle,67.92,7,23.772,499.212,1/14/2019,14:00,Cash,475.44,4.761904762,23.772,7.3
406-88-2118,A,Yangon,Normal,Male,Electronic accessories,77.69,2,7.769,163.149,1/14/2019,15:00,Credit card,155.38,4.761904762,7.769,7.8
563-83-5341,A,Yangon,Normal,Female,Home and lifestyle,25.63,10,12.815,269.115,1/14/2019,17:00,Ewallet,256.3,4.761904762,12.815,6.5
832-68-2797,B,Mandalay,Normal,Female,Home and lifestyle,55.67,3,8.3505,175.3605,1/14/2019,18:00,Ewallet,167.01,4.761904762,8.3505,5.7
884-69-4196,B,Mandalay,Normal,Female,Health and beauty,81.04,10,40.52,850.92,1/14/2019,21:00,Ewallet,810.4,4.761904762,40.52,8.7
436-94-1562,B,Mandalay,Normal,Female,Food and beverages,82.13,9,36.9585,776.1285,1/14/2019,23:00,Ewallet,739.17,4.761904762,36.9585,7.5
277-20-3999,A,Yangon,Member,Female,Sports and travel,29.33,3,4.3995,92.3895,1/15/2019,0:00,Cash,87.99,4.761904762,4.3995,4.8
938-51-1068,C,Naypyitaw,Member,Male,Electronic accessories,13.02,2,1.302,27.342,1/15/2019,1:00,Ewallet,26.04,4.761904762,1.302,8
335-57-3428,A,Yangon,Normal,Male,Sports and travel,17.54,9,7.893,165.753,1/15/2019,1:00,Credit card,157.86,4.761904762,7.893,7.7
156-30-7993,A,Yangon,Normal,Male,Fashion accessories,41.28,10,20.64,433.44,1/15/2019,5:00,Ewallet,412.8,4.761904762,20.64,6.5
198-29-4598,C,Naypyitaw,Member,Female,Sports and travel,87.18,9,39.231,823.851,1/15/2019,5:00,Ewallet,784.62,4.761904762,39.231,9.4
424-86-1573,C,Naypyitaw,Normal,Female,Fashion accessories,10.11,4,2.022,42.462,1/15/2019,9:00,Cash,40.44,4.761904762,2.022,6.1
218-94-2478,C,Naypyitaw,Normal,Female,Food and beverages,43.05,9,19.3725,406.8225,1/15/2019,19:00,Ewallet,387.45,4.761904762,19.3725,6.7
125-17-7676,C,Naypyitaw,Member,Female,Fashion accessories,37.33,3,5.5995,117.5895,1/15/2019,20:00,Cash,111.99,4.761904762,5.5995,8.2
248-34-9166,B,Mandalay,Normal,Male,Sports and travel,15.4,7,5.39,113.19,1/15/2019,21:00,Credit card,107.8,4.761904762,5.39,7.1
754-44-5650,B,Mandalay,Normal,Male,Sports and travel,52.57,7,18.3995,386.3895,1/15/2019,23:00,Ewallet,367.99,4.761904762,18.3995,4.9
524-46-5526,A,Yangon,Member,Female,Fashion accessories,31.04,8,12.416,260.736,1/16/2019,2:00,Ewallet,248.32,4.761904762,12.416,7.3
703-70-6443,B,Mandalay,Normal,Female,Home and lifestyle,41.32,10,20.66,433.86,1/16/2019,4:00,Cash,413.2,4.761904762,20.66,6.4
664-93-3593,B,Mandalay,Member,Male,Food and beverages,61.88,4,12.376,259.896,1/16/2019,9:00,Ewallet,247.52,4.761904762,12.376,8.3
175-33-7852,A,Yangon,Normal,Female,Health and beauty,62.06,3,9.309,195.489,1/16/2019,12:00,Ewallet,186.18,4.761904762,9.309,7.2
585-39-8971,C,Naypyitaw,Member,Female,Electronic accessories,25.31,3,3.7965,79.7265,1/16/2019,13:00,Ewallet,75.93,4.761904762,3.7965,7.1
649-89-8822,B,Mandalay,Member,Female,Sports and travel,100.35,5,25.0875,526.8375,1/16/2019,15:00,Ewallet,501.75,4.761904762,25.0875,5.4
495-53-4823,A,Yangon,Normal,Male,Electronic accessories,79.92,1,3.996,83.916,1/16/2019,18:00,Cash,79.92,4.761904762,3.996,6.7
242-58-8444,A,Yangon,Normal,Male,Health and beauty,85.98,10,42.99,902.79,1/16/2019,19:00,Cash,859.8,4.761904762,42.99,8.5
370-23-8147,C,Naypyitaw,Member,Female,Electronic accessories,20.46,3,3.069,64.449,1/17/2019,0:00,Cash,61.38,4.761904762,3.069,5.8
563-24-5329,A,Yangon,Member,Male,Health and beauty,15.61,6,4.683,98.343,1/17/2019,1:00,Ewallet,93.66,4.761904762,4.683,7
674-77-9218,C,Naypyitaw,Normal,Female,Fashion accessories,11.14,3,1.671,35.091,1/17/2019,4:00,Ewallet,33.42,4.761904762,1.671,5.6
570-62-1051,B,Mandalay,Member,Female,Home and lifestyle,26.8,5,6.7,140.7,1/17/2019,5:00,Credit card,134,4.761904762,6.7,5.2
418-82-6688,B,Mandalay,Member,Male,Sports and travel,49.22,9,22.149,465.129,1/17/2019,7:00,Cash,442.98,4.761904762,22.149,6.9
219-61-8018,B,Mandalay,Member,Female,Health and beauty,102.62,2,10.262,215.502,1/17/2019,8:00,Credit card,205.24,4.761904762,10.262,7.3
142-16-4956,C,Naypyitaw,Member,Female,Electronic accessories,60.82,2,6.082,127.722,1/17/2019,11:00,Cash,121.64,4.761904762,6.082,10
359-78-7875,B,Mandalay,Normal,Male,Sports and travel,37.62,6,11.286,237.006,1/17/2019,11:00,Cash,225.72,4.761904762,11.286,6.3
435-50-2525,C,Naypyitaw,Normal,Female,Home and lifestyle,60.01,6,18.003,378.063,1/17/2019,11:00,Cash,360.06,4.761904762,18.003,6.9
354-11-7125,B,Mandalay,Member,Female,Fashion accessories,18.96,8,7.584,159.264,1/17/2019,12:00,Ewallet,151.68,4.761904762,7.584,5.1
806-30-7900,A,Yangon,Normal,Female,Sports and travel,67.46,2,6.746,141.666,1/17/2019,13:00,Cash,134.92,4.761904762,6.746,7.9
949-78-4464,C,Naypyitaw,Member,Male,Health and beauty,66.65,9,29.9925,629.8425,1/17/2019,13:00,Cash,599.85,4.761904762,29.9925,7.6
311-37-8496,C,Naypyitaw,Normal,Female,Home and lifestyle,80.49,2,8.049,169.029,1/17/2019,15:00,Ewallet,160.98,4.761904762,8.049,9.2
711-58-6430,B,Mandalay,Normal,Male,Electronic accessories,117.38,1,5.869,123.249,1/17/2019,16:00,Ewallet,117.38,4.761904762,5.869,8.7
506-43-4176,C,Naypyitaw,Member,Female,Home and lifestyle,32.33,10,16.165,339.465,1/17/2019,16:00,Credit card,323.3,4.761904762,16.165,7.5
716-78-7158,C,Naypyitaw,Normal,Female,Home and lifestyle,55.36,2,5.536,116.256,1/17/2019,19:00,Credit card,110.72,4.761904762,5.536,6.3
786-12-1722,C,Naypyitaw,Normal,Female,Food and beverages,77.26,7,27.041,567.861,1/17/2019,20:00,Cash,540.82,4.761904762,27.041,7.3
