loan_id,credit_score,income_lpa,loan_amount_l,debt_ratio,employment_yr,num_accounts,late_payments,loan_purpose,defaulted
L00216,679,31.48,75.83,0.194,14.8,1,1,Car,1
L00217,752,17.95,51.44,0.09,9.2,2,1,Education,0
L00218,659,23.33,47.92,0.135,3.8,10,2,Education,0
L00219,724,64.76,30.41,0.589,13.7,3,1,Education,1
L00220,711,7.71,38.19,0.289,1.0,7,1,Personal,0
L00221,695,14.52,45.47,0.337,5.7,7,0,Car,1
L00222,511,45.29,53.38,0.553,1.0,14,1,Home,1
L00223,666,8.6,36.4,0.392,1.8,7,0,Personal,1
L00224,759,26.17,55.59,0.404,2.8,10,1,Car,0
L00225,651,26.27,5.72,0.25,2.3,6,1,Personal,0
L00226,744,60.99,42.93,0.308,8.3,4,1,Education,0
L00227,612,19.19,34.2,0.469,3.0,7,0,Home,1
L00228,625,29.04,36.61,0.593,5.3,12,1,Home,0
L00229,705,40.41,35.36,0.199,2.3,5,1,Car,0
L00230,537,7.45,27.89,0.524,0.5,4,0,Personal,1
L00231,784,27.25,76.26,0.455,7.6,10,1,Education,0
L00232,628,35.76,49.94,0.1,2.2,3,1,Home,0
L00233,755,22.75,30.93,0.702,6.0,12,0,Personal,0
L00234,602,13.22,13.87,0.57,4.2,6,1,Home,1
L00235,710,36.55,36.89,0.037,10.4,6,1,Education,0
L00236,617,19.94,62.22,0.481,4.2,14,0,Home,1
L00237,527,24.04,34.25,0.099,11.4,8,3,Home,0
L00238,616,13.13,59.2,0.05,7.8,6,0,Car,0
L00239,641,8.51,34.59,0.05,5.0,14,2,Car,0
L00240,688,24.29,17.38,0.263,7.2,7,0,Personal,0
L00241,587,38.14,22.63,0.481,2.0,2,1,Home,0
L00242,692,9.78,32.93,0.349,0.1,11,2,Home,0
L00243,629,13.99,63.91,0.654,0.4,2,1,Car,1
L00244,492,15.45,46.22,0.307,2.9,11,1,Car,1
L00245,729,7.82,28.43,0.165,8.6,9,2,Home,0
L00246,736,18.64,13.04,0.185,0.3,2,1,Home,0
L00247,621,44.31,38.59,0.212,8.0,10,2,Personal,0
L00248,635,20.42,31.21,0.142,3.7,5,0,Education,0
L00249,608,10.86,74.57,0.263,2.4,2,2,Personal,0
L00250,680,25.58,75.25,0.249,2.6,9,1,Home,0
L00251,603,22.8,34.32,0.481,0.9,12,2,Home,0
L00252,717,22.29,68.46,0.12,0.4,10,0,Education,0
L00253,638,19.42,54.7,0.044,1.2,2,1,Home,1
L00254,546,13.51,57.94,0.361,2.6,1,0,Personal,1
L00255,705,12.47,12.59,0.081,1.8,13,1,Education,0
L00256,688,36.95,35.33,0.383,7.4,14,1,Personal,0
L00257,502,28.9,64.46,0.044,3.5,9,0,Education,0
L00258,665,12.89,16.49,0.365,2.1,1,1,Education,0
L00259,695,17.27,45.32,0.445,8.1,10,0,Personal,1
L00260,643,4.96,77.21,0.213,1.3,10,2,Education,1
L00261,612,19.32,40.23,0.226,2.9,7,1,Education,0
L00262,748,26.67,44.96,0.087,0.6,5,2,Home,0
L00263,597,17.33,56.08,0.191,1.8,9,2,Home,0
L00264,789,40.98,39.81,0.168,6.8,7,0,Personal,0
L00265,592,8.11,11.98,0.372,0.3,11,0,Home,0
L00266,725,20.58,67.12,0.178,7.5,6,0,Car,0
L00267,794,8.41,37.99,0.155,1.3,13,1,Home,0
L00268,547,28.91,41.71,0.235,9.0,5,1,Home,0
L00269,688,11.77,49.64,0.087,1.8,7,0,Home,0
L00270,592,25.48,17.03,0.233,12.5,14,4,Home,0
L00271,714,12.54,73.78,0.063,1.4,6,1,Education,0
L00272,765,8.98,13.42,0.375,3.4,6,1,Education,0
L00273,792,26.49,51.05,0.154,1.3,1,0,Education,0
L00274,732,18.55,31.1,0.171,0.9,2,0,Home,0
L00275,623,17.52,27.17,0.192,0.8,8,0,Education,0
L00276,708,34.21,21.95,0.247,1.2,13,2,Home,0
L00277,850,19.14,39.45,0.256,9.8,2,1,Home,0
L00278,751,27.12,31.96,0.56,7.3,1,0,Personal,1
L00279,829,6.08,28.19,0.209,2.0,9,1,Personal,0
L00280,743,24.89,79.22,0.357,1.4,11,1,Personal,0
L00281,556,19.09,38.08,0.594,18.0,12,0,Home,0
L00282,630,15.21,14.19,0.518,2.7,8,1,Education,0
L00283,709,13.0,14.09,0.255,1.1,6,0,Personal,0
L00284,577,8.31,79.41,0.202,3.5,5,1,Education,0
L00285,707,44.94,12.5,0.306,5.4,2,1,Home,0
L00286,498,25.79,31.86,0.369,5.0,1,1,Personal,0
L00287,646,11.86,6.4,0.331,8.4,5,1,Car,0
L00288,699,26.15,51.57,0.643,1.8,4,0,Car,0
L00289,504,9.54,66.28,0.187,0.6,4,0,Education,0
L00290,697,22.14,61.16,0.467,0.9,9,1,Home,1
L00291,725,25.23,71.78,0.433,1.2,9,1,Education,1
L00292,728,18.23,76.57,0.285,0.5,8,1,Home,0
L00293,522,17.59,7.07,0.182,0.3,11,0,Car,1
L00294,539,16.05,6.52,0.524,3.2,13,1,Personal,1
L00295,745,33.72,9.93,0.256,9.3,2,0,Car,0
L00296,745,11.62,77.91,0.202,2.3,7,0,Car,0
L00297,570,26.05,32.59,0.502,2.6,4,0,Home,1
L00298,548,16.96,45.69,0.342,2.6,2,0,Car,0
L00299,732,45.17,28.78,0.339,4.4,9,0,Home,0
L00300,498,12.41,15.77,0.193,7.8,9,1,Education,1
L00301,707,19.75,39.6,0.075,3.0,4,1,Personal,0
L00302,522,26.52,75.13,0.235,0.2,14,0,Education,1
L00303,539,22.16,5.4,0.403,7.6,6,1,Home,1
L00304,661,15.68,28.94,0.177,0.5,4,0,Home,0
L00305,707,30.5,18.65,0.352,1.6,5,0,Education,0
L00306,709,12.04,35.63,0.323,1.0,14,0,Car,0
L00307,665,34.41,46.49,0.265,27.1,2,0,Home,0
L00308,584,37.53,43.36,0.299,4.4,8,1,Education,0
L00309,588,31.07,11.29,0.572,4.3,5,1,Car,1
L00310,671,10.54,72.05,0.147,1.6,11,1,Education,1
L00311,707,16.02,46.93,0.441,8.4,12,1,Car,1
L00312,580,15.94,55.45,0.16,0.1,9,0,Car,0
L00313,596,23.89,11.88,0.071,4.3,10,1,Home,0
L00314,603,18.32,34.34,0.495,6.5,7,0,Home,1
L00315,655,17.03,6.92,0.185,0.1,8,1,Home,0
L00316,575,24.24,72.69,0.466,1.4,3,0,Home,0
L00317,649,26.7,15.54,0.424,1.5,8,0,Home,0
L00318,667,34.48,30.51,0.339,3.6,5,1,Home,0
L00319,691,13.42,9.7,0.105,0.4,6,0,Personal,0
L00320,687,17.51,24.85,0.221,5.6,13,0,Home,0
L00321,550,25.16,40.8,0.134,3.4,3,0,Car,0
L00322,655,41.91,74.67,0.317,0.7,3,1,Personal,0
L00323,686,27.09,55.61,0.213,0.7,5,2,Personal,0
L00324,595,16.57,74.49,0.434,10.5,4,1,Car,0
L00325,619,11.98,30.92,0.246,0.1,13,1,Education,0
L00326,762,37.38,79.43,0.068,0.1,3,3,Home,0
L00327,493,20.02,65.73,0.225,15.4,1,0,Home,0
L00328,824,23.57,39.71,0.293,9.4,3,1,Education,0
L00329,748,39.94,19.6,0.247,1.4,1,1,Education,0
L00330,626,19.01,5.74,0.548,0.0,2,0,Education,1
L00331,781,16.5,63.66,0.117,4.0,9,1,Home,1
L00332,573,15.95,12.38,0.418,6.4,13,2,Car,0
L00333,692,28.21,11.13,0.137,0.4,7,2,Home,0
L00334,539,36.25,23.92,0.239,3.0,2,1,Home,0
L00335,776,12.08,49.96,0.643,8.5,14,1,Personal,0
L00336,599,20.82,21.78,0.036,12.2,9,0,Car,0
L00337,720,13.28,66.57,0.252,0.3,7,0,Home,0
L00338,668,11.56,52.82,0.203,1.2,1,2,Personal,0
L00339,621,23.2,54.62,0.409,0.0,9,2,Car,1
L00340,608,29.18,33.43,0.115,2.7,1,2,Personal,0
L00341,850,45.41,18.92,0.177,6.8,8,1,Education,0
L00342,597,29.62,48.61,0.642,1.8,13,1,Car,1
L00343,694,27.94,55.92,0.136,2.9,8,0,Home,0
L00344,706,25.93,20.05,0.341,7.6,14,1,Home,0
L00345,743,18.7,24.18,0.228,9.2,4,1,Home,0
L00346,740,19.27,10.7,0.25,1.6,3,1,Home,0
L00347,563,17.42,27.63,0.394,6.9,3,0,Car,0
L00348,651,28.82,11.18,0.1,1.7,3,0,Home,0
L00349,705,12.27,65.1,0.074,1.3,13,0,Home,0
L00350,676,34.11,74.55,0.099,1.1,6,2,Personal,0
L00351,596,23.17,65.57,0.419,0.2,14,0,Home,0
L00352,614,14.6,59.15,0.201,0.1,8,1,Car,1
L00353,647,17.75,21.35,0.297,0.5,2,0,Home,0
L00354,561,19.29,49.78,0.39,0.1,4,0,Personal,0
L00355,649,29.5,63.13,0.128,0.2,8,0,Personal,0
L00356,699,8.43,45.71,0.359,9.0,12,0,Home,0
L00357,695,16.69,39.79,0.334,0.9,2,0,Home,0
L00358,692,23.12,11.74,0.568,1.1,3,1,Education,0
L00359,580,19.04,41.1,0.261,2.6,5,0,Home,0
L00360,521,23.52,79.49,0.617,0.5,12,1,Personal,1
L00361,679,21.93,51.93,0.081,9.3,3,0,Home,0
L00362,594,26.69,5.3,0.275,6.0,11,0,Home,0
L00363,682,19.79,70.11,0.312,3.9,9,0,Home,0
L00364,777,11.58,35.45,0.445,0.7,6,2,Personal,0
L00365,667,9.3,58.79,0.331,0.7,10,2,Car,1
L00366,633,11.12,5.24,0.094,2.0,14,0,Education,0
L00367,592,11.25,60.06,0.239,0.4,4,0,Home,1
L00368,575,15.4,35.48,0.147,1.5,6,0,Personal,0
L00369,754,18.36,78.89,0.351,11.3,6,1,Personal,0
L00370,456,16.03,53.84,0.621,0.4,2,0,Home,0
L00371,636,12.15,36.06,0.131,0.2,12,1,Car,0
L00372,746,23.85,54.25,0.47,1.3,3,0,Home,0
L00373,570,30.18,15.04,0.191,3.5,10,1,Personal,0
L00374,645,20.11,63.73,0.285,0.1,1,0,Car,0
L00375,629,20.56,26.83,0.342,6.2,2,0,Car,0
L00376,696,14.3,60.53,0.376,11.4,9,0,Personal,1
L00377,766,10.23,14.88,0.141,0.9,8,1,Car,0
L00378,616,38.03,63.29,0.131,1.8,7,0,Education,0
L00379,570,8.45,43.87,0.416,0.9,10,0,Home,0
L00380,599,36.74,65.83,0.183,0.7,8,1,Education,0
L00381,807,21.64,75.88,0.394,2.0,14,3,Personal,0
L00382,808,16.59,37.74,0.092,1.0,5,2,Car,0
L00383,684,25.67,56.08,0.386,11.1,9,0,Home,1
L00384,700,9.61,10.51,0.262,6.4,10,1,Home,0
L00385,600,44.54,42.52,0.112,4.9,2,1,Personal,0
L00386,732,7.65,50.88,0.254,1.4,1,1,Education,1
L00387,630,9.14,41.04,0.081,4.9,11,1,Car,0
L00388,583,36.82,19.95,0.283,3.4,3,0,Home,0
L00389,670,43.53,56.06,0.446,0.1,13,1,Home,0
L00390,626,24.62,74.53,0.498,1.7,2,2,Education,0
L00391,668,12.74,62.54,0.117,16.5,5,1,Personal,0
L00392,648,35.89,63.01,0.151,10.6,4,0,Education,0
L00393,678,24.04,66.77,0.288,8.3,7,1,Education,0
L00394,660,32.22,40.12,0.278,4.2,2,1,Home,0
L00395,800,13.35,54.02,0.516,1.0,3,1,Home,1
L00396,710,27.13,54.87,0.255,5.5,1,1,Home,0
L00397,624,12.01,63.37,0.173,0.0,2,3,Home,1
L00398,693,29.01,71.68,0.048,6.8,6,2,Home,0
L00399,604,23.95,72.14,0.276,1.6,9,1,Car,0
L00400,650,18.98,63.73,0.381,4.3,14,3,Personal,0
L00401,570,23.3,33.72,0.281,1.7,14,2,Home,1
L00402,568,41.75,41.82,0.085,5.3,10,0,Home,0
L00403,662,20.89,72.06,0.281,5.1,12,1,Education,0
L00404,538,14.42,12.42,0.247,1.2,6,0,Home,0
L00405,662,7.84,65.38,0.186,14.5,2,0,Home,0
L00406,620,9.19,47.35,0.317,0.8,10,1,Education,0
L00407,654,12.33,44.62,0.369,1.4,3,0,Home,0
L00408,708,13.6,38.28,0.788,11.0,14,0,Personal,1
L00409,731,22.06,46.15,0.164,0.5,1,2,Personal,0
L00410,683,22.27,8.33,0.261,0.0,11,1,Car,0
L00411,581,18.34,41.24,0.056,0.3,6,1,Home,0
L00412,701,39.95,60.74,0.371,10.4,7,0,Personal,0
L00413,768,6.61,9.73,0.269,1.5,6,1,Home,1
L00414,676,42.94,65.16,0.291,3.0,8,2,Education,1
L00415,500,36.76,34.34,0.2,10.5,13,0,Personal,0
L00416,550,17.6,37.74,0.395,2.4,14,0,Home,0
L00417,677,13.72,29.71,0.215,0.4,1,0,Personal,0
L00418,626,26.94,72.5,0.11,6.3,6,3,Car,1
L00419,833,29.42,26.52,0.188,2.0,8,0,Home,0
L00420,612,26.91,63.02,0.27,0.2,1,0,Home,0
L00421,632,111.54,76.1,0.26,2.4,5,0,Personal,0
L00422,694,20.67,20.73,0.193,1.9,12,0,Personal,0
L00423,459,24.43,57.18,0.322,4.8,8,0,Home,1
L00424,721,18.12,56.15,0.27,2.8,13,0,Education,0
L00425,630,18.15,10.77,0.209,2.1,4,4,Car,0
L00426,537,20.92,54.67,0.093,1.2,4,0,Car,1
L00427,617,18.93,71.55,0.189,3.8,9,0,Car,0
L00428,744,24.99,78.96,0.466,8.8,2,0,Personal,0
L00429,673,13.45,14.9,0.37,0.7,6,0,Personal,0
L00430,431,38.65,6.87,0.696,2.0,4,0,Education,1
L00431,686,15.3,17.15,0.259,2.1,6,0,Personal,0
L00432,625,12.49,43.8,0.151,2.2,5,0,Car,1
L00433,667,17.68,44.46,0.709,9.5,9,1,Personal,0
L00434,548,14.24,63.68,0.161,0.1,5,2,Car,1
L00435,730,31.78,38.11,0.177,5.3,1,0,Car,0
L00436,729,34.68,63.72,0.365,1.5,14,0,Car,0
L00437,662,26.95,46.47,0.555,17.7,8,0,Home,0
L00438,651,11.49,18.41,0.243,2.3,4,1,Education,0
L00439,741,40.02,6.98,0.237,5.2,8,1,Personal,0
L00440,689,12.5,74.41,0.345,0.5,12,1,Education,1
L00441,629,34.89,78.99,0.269,2.8,12,0,Home,0
L00442,636,44.83,18.59,0.526,4.8,11,1,Car,0
L00443,688,14.44,45.45,0.497,0.2,6,2,Education,1
L00444,798,15.14,44.22,0.338,7.7,4,2,Home,0
