property_id,city,area_sqft,bedrooms,bathrooms,total_rooms,year_built,age_years,overall_quality,location_score,floor,has_parking,has_gym,price_lakhs
P0076,Hyderabad,2293,2,1,3,2002,22,4,1.0,3,1,0,1.19
P0077,Mumbai,1852,4,4,8,1996,28,5,7.7,19,1,1,1.64
P0078,Bangalore,1621,2,2,4,2014,10,3,9.1,9,0,0,1.24
P0079,Bangalore,1855,3,3,6,1991,33,7,2.3,24,1,0,1.2
P0080,Bangalore,607,3,3,6,2016,8,3,1.9,5,1,1,0.78
P0081,Chennai,1668,3,2,5,2003,21,10,4.8,23,1,1,1.7
P0082,Chennai,2014,4,3,7,1990,34,8,9.4,11,1,1,1.78
P0083,Chennai,2687,1,1,2,2004,20,5,5.9,19,1,0,1.89
P0084,Delhi,1489,3,2,5,2011,13,6,5.7,15,0,0,1.14
P0085,Delhi,1315,5,3,8,2021,3,9,2.3,2,1,0,1.36
P0086,Bangalore,1499,3,2,5,1991,33,6,1.0,13,0,0,0.86
P0087,Bangalore,2349,5,3,8,1989,35,4,8.3,0,1,0,1.62
P0088,Hyderabad,1997,2,1,3,1995,29,5,1.8,9,1,0,0.95
P0089,Mumbai,1482,3,2,5,1999,25,8,6.7,14,1,0,1.36
P0090,Delhi,2108,3,2,5,1987,37,7,9.2,6,1,1,1.74
P0091,Bangalore,1858,4,4,8,1989,35,7,2.9,3,1,0,1.28
P0092,Hyderabad,2381,5,4,9,2007,17,8,7.0,13,1,1,2.37
P0093,Hyderabad,1379,3,3,6,2021,3,8,1.7,23,0,0,1.28
P0094,Delhi,1603,3,2,5,1993,31,9,6.4,15,1,1,1.69
P0095,Mumbai,1565,2,1,3,1999,25,3,2.5,13,1,0,0.87
P0096,Delhi,922,3,2,5,1987,37,6,7.6,2,1,1,1.1
P0097,Delhi,1978,3,2,5,2013,11,7,3.7,16,1,0,1.61
P0098,Hyderabad,1957,5,3,8,1990,34,7,5.2,20,1,0,1.33
P0099,Delhi,1803,3,2,5,2001,23,7,6.4,13,1,1,1.7
P0100,Delhi,1659,3,2,5,2010,14,4,2.5,17,1,0,1.07
P0101,Delhi,951,2,1,3,2005,19,8,7.7,2,1,0,1.23
P0102,Delhi,1548,2,1,3,1992,32,7,3.7,21,0,1,0.95
P0103,Chennai,1594,2,2,4,2005,19,3,7.0,18,1,1,1.03
P0104,Mumbai,1319,3,2,5,1995,29,6,2.4,2,1,0,1.0
P0105,Delhi,1703,4,2,6,2022,2,4,7.2,11,0,0,1.35
P0106,Hyderabad,2042,3,2,5,1992,32,5,2.2,21,0,0,0.98
P0107,Mumbai,2932,3,2,5,2008,16,1,4.8,4,0,0,1.44
P0108,Chennai,1905,2,1,3,2019,5,5,3.2,9,1,1,1.39
P0109,Delhi,1955,4,3,7,1998,26,6,7.7,8,0,0,1.33
P0110,Bangalore,1755,4,2,6,1998,26,7,3.4,0,1,0,1.28
P0111,Mumbai,649,2,1,3,1994,30,7,8.9,12,1,1,1.14
P0112,Delhi,1784,4,3,7,1996,28,8,9.0,2,0,0,1.71
P0113,Bangalore,1836,3,2,5,2022,2,4,2.8,18,1,0,1.29
P0114,Mumbai,3278,2,1,3,2018,6,3,6.5,10,0,0,2.21
P0115,Bangalore,1685,3,2,5,1994,30,8,1.8,15,0,0,1.07
P0116,Mumbai,1981,3,2,5,2001,23,4,4.5,5,1,0,1.39
P0117,Bangalore,1779,2,1,3,2001,23,10,7.4,23,0,0,1.61
P0118,Hyderabad,1099,5,4,9,1987,37,8,6.9,2,1,0,1.02
P0119,Mumbai,2486,4,2,6,2015,9,6,6.6,18,1,0,2.46
P0120,Mumbai,2251,3,2,5,1985,39,10,3.5,5,0,0,1.62
P0121,Chennai,2275,3,2,5,1996,28,3,4.4,7,0,0,1.07
P0122,Bangalore,1254,3,2,5,2023,1,5,1.9,21,0,0,0.97
P0123,Mumbai,2642,3,2,5,1988,36,7,7.5,12,0,0,1.63
P0124,Bangalore,959,3,2,5,1997,27,5,5.5,11,0,0,0.89
P0125,Mumbai,2152,2,1,3,2018,6,9,7.4,9,0,0,2.78
P0126,Mumbai,3114,3,2,5,2005,19,2,3.2,2,1,0,1.64
P0127,Hyderabad,1206,4,2,6,2006,18,6,3.9,3,1,0,0.97
P0128,Chennai,1460,3,2,5,1988,36,6,4.0,0,0,1,0.85
P0129,Chennai,1860,2,1,3,2002,22,7,1.2,12,1,0,1.23
P0130,Mumbai,1498,4,3,7,1989,35,4,4.1,23,1,1,0.91
P0131,Mumbai,870,2,1,3,2003,21,5,8.2,3,1,1,1.13
P0132,Hyderabad,1841,3,2,5,1986,38,8,9.1,21,0,0,1.65
P0133,Mumbai,1163,2,2,4,1996,28,4,5.7,10,0,0,0.87
P0134,Delhi,2084,3,3,6,2001,23,8,5.1,18,1,1,1.73
P0135,Delhi,1248,4,3,7,1994,30,6,1.3,10,1,0,0.83
P0136,Bangalore,2730,3,2,5,2018,6,7,8.9,11,0,1,2.89
P0137,Delhi,1330,2,2,4,1990,34,7,1.1,10,1,0,0.9
P0138,Delhi,1607,4,4,8,1992,32,4,9.5,5,1,0,1.19
P0139,Hyderabad,2288,4,3,7,1995,29,6,5.4,11,1,0,1.92
P0140,Bangalore,1061,4,3,7,1996,28,8,4.1,8,1,0,1.09
P0141,Mumbai,1936,2,1,3,1993,31,6,9.3,24,1,0,1.64
P0142,Chennai,2584,3,2,5,1986,38,9,1.2,9,1,0,1.81
P0143,Mumbai,836,5,4,9,1992,32,6,6.2,2,1,1,0.97
P0144,Delhi,1911,4,3,7,1995,29,3,5.9,2,0,1,0.92
P0145,Bangalore,1956,1,1,2,2020,4,5,3.0,19,1,0,1.48
P0146,Delhi,2269,2,2,4,1994,30,9,4.9,22,1,1,2.12
P0147,Delhi,1058,3,2,5,2005,19,5,6.9,15,1,1,1.18
P0148,Chennai,1008,4,3,7,2004,20,8,7.5,2,1,1,1.5
P0149,Hyderabad,2113,3,2,5,1992,32,8,1.0,9,1,0,1.3
P0150,Bangalore,1978,3,2,5,2020,4,5,9.4,23,1,1,2.22
P0151,Mumbai,1950,2,1,3,2013,11,3,2.5,10,1,0,1.06
P0152,Delhi,2008,3,2,5,1996,28,7,3.1,7,1,0,1.54
P0153,Delhi,1392,4,2,6,1998,26,5,3.4,5,0,1,0.88
P0154,Delhi,1939,3,2,5,2005,19,8,1.3,19,1,0,1.35
P0155,Delhi,1976,4,4,8,2006,18,6,2.1,10,1,0,1.64
P0156,Bangalore,1371,5,3,8,2005,19,6,9.9,20,0,1,1.66
P0157,Mumbai,2919,2,1,3,2014,10,7,3.8,11,1,0,2.51
P0158,Delhi,2084,3,2,5,2023,1,5,2.0,15,0,1,1.3
P0159,Bangalore,1085,3,2,5,2004,20,6,2.0,17,0,1,0.81
P0160,Delhi,2194,4,3,7,2008,16,5,7.5,12,1,0,2.04
P0161,Hyderabad,1215,3,2,5,2007,17,5,8.7,21,0,0,1.14
P0162,Delhi,2272,3,2,5,1991,33,6,3.3,2,0,1,1.15
P0163,Hyderabad,2495,4,3,7,1993,31,8,1.2,14,0,0,1.47
P0164,Hyderabad,1308,3,2,5,1985,39,5,3.0,21,0,1,0.7
P0165,Chennai,2378,4,2,6,2010,14,6,1.5,20,1,1,1.54
P0166,Mumbai,2048,3,2,5,2022,2,7,1.9,13,0,0,1.59
P0167,Hyderabad,2293,2,1,3,2022,2,4,4.9,17,1,0,1.94
P0168,Mumbai,2938,3,2,5,2006,18,5,3.1,13,1,1,2.17
P0169,Mumbai,1653,4,2,6,1994,30,9,5.6,4,1,0,1.4
P0170,Delhi,1348,3,2,5,1990,34,7,3.3,20,1,0,1.01
P0171,Mumbai,1266,4,3,7,2001,23,6,9.5,13,1,1,1.51
P0172,Mumbai,1311,4,2,6,2022,2,7,9.2,24,0,1,1.83
P0173,Delhi,1754,3,3,6,2008,16,2,6.1,7,0,0,0.97
P0174,Mumbai,2005,5,4,9,1994,30,7,4.2,22,1,0,1.35
P0175,Chennai,1966,2,1,3,1992,32,6,4.4,14,0,0,1.04
P0176,Mumbai,2296,2,1,3,2005,19,6,4.7,14,0,1,1.73
P0177,Bangalore,1808,2,1,3,1990,34,5,7.5,18,1,1,1.28
P0178,Hyderabad,2672,4,3,7,2005,19,3,5.1,19,1,1,1.71
P0179,Delhi,1641,3,2,5,2023,1,4,8.7,5,0,0,1.44
P0180,Bangalore,3432,2,1,3,2008,16,9,9.5,18,1,1,5.01
P0181,Hyderabad,2175,3,2,5,2017,7,5,4.0,24,0,1,1.73
P0182,Mumbai,1286,3,3,6,2002,22,6,6.0,7,0,0,1.09
P0183,Delhi,1157,2,2,4,2012,12,2,1.9,5,1,0,0.77
P0184,Hyderabad,2089,4,2,6,2016,8,2,2.8,19,1,1,1.27
P0185,Hyderabad,1666,4,3,7,1996,28,7,4.7,22,1,0,1.2
P0186,Bangalore,2228,3,2,5,2011,13,6,2.9,14,1,0,1.69
P0187,Mumbai,2084,5,3,8,1994,30,6,8.9,2,1,0,1.45
P0188,Hyderabad,1756,3,3,6,2016,8,4,2.4,9,0,0,0.85
P0189,Mumbai,1292,5,3,8,2010,14,7,5.1,14,1,0,1.34
P0190,Delhi,891,3,2,5,2009,15,4,6.5,23,0,0,0.9
P0191,Delhi,1532,3,2,5,1995,29,4,7.2,15,1,1,1.13
P0192,Delhi,2314,2,2,4,2007,17,6,4.4,16,0,1,1.77
P0193,Chennai,1928,4,3,7,2018,6,5,8.8,18,0,1,1.63
P0194,Chennai,1053,3,2,5,2007,17,4,6.1,10,0,0,0.9
P0195,Chennai,1904,2,2,4,2013,11,7,5.0,15,0,1,1.85
P0196,Mumbai,2031,1,1,2,2015,9,7,1.6,4,1,1,1.66
P0197,Bangalore,1270,3,2,5,1991,33,8,5.2,4,0,0,1.1
P0198,Chennai,1892,3,2,5,2017,7,5,8.4,13,0,0,1.62
P0199,Delhi,1835,4,2,6,2005,19,3,6.5,17,1,0,1.26
P0200,Hyderabad,1114,4,3,7,1986,38,5,8.5,7,0,1,1.0
P0201,Chennai,2015,2,2,4,2002,22,10,5.4,4,0,0,1.87
P0202,Bangalore,2136,4,2,6,2017,7,6,2.1,6,1,1,1.81
P0203,Mumbai,2450,2,1,3,2021,3,7,1.1,15,1,0,1.85
P0204,Bangalore,2432,4,2,6,2018,6,1,3.7,22,0,0,1.28
P0205,Hyderabad,973,4,2,6,2004,20,6,7.3,13,0,1,1.2
P0206,Delhi,1237,3,3,6,2019,5,2,8.1,4,1,0,1.05
P0207,Chennai,2109,4,3,7,2002,22,6,3.7,23,1,0,1.36
P0208,Delhi,2108,3,2,5,2008,16,9,5.5,8,1,1,2.43
P0209,Bangalore,2109,3,2,5,1992,32,9,4.8,3,0,1,1.71
P0210,Bangalore,4112,4,2,6,2014,10,6,4.7,3,0,0,3.16
P0211,Chennai,2143,3,2,5,1994,30,6,3.1,15,1,0,1.26
P0212,Hyderabad,2481,3,2,5,2007,17,9,2.2,23,1,0,1.99
P0213,Mumbai,2372,3,2,5,1995,29,7,2.8,16,1,1,1.55
P0214,Delhi,2191,4,4,8,1986,38,2,1.5,14,0,0,0.81
P0215,Chennai,1611,3,2,5,2010,14,6,2.8,3,1,0,1.2
P0216,Mumbai,2255,2,1,3,2020,4,4,1.1,5,1,0,1.59
P0217,Delhi,1336,4,3,7,2017,7,6,6.6,15,1,1,1.42
P0218,Mumbai,1658,4,2,6,1997,27,6,3.8,3,1,1,1.32
P0219,Mumbai,1509,2,1,3,2009,15,6,9.8,5,1,1,2.01
P0220,Chennai,1849,2,1,3,1988,36,5,2.7,4,1,0,0.91
P0221,Chennai,3189,2,1,3,2003,21,4,4.1,15,0,1,1.74
P0222,Mumbai,680,3,2,5,2002,22,6,4.2,24,1,0,0.78
P0223,Mumbai,2212,3,2,5,2021,3,8,1.1,15,1,0,1.88
P0224,Mumbai,832,4,3,7,2014,10,7,8.6,9,0,1,1.33
P0225,Delhi,1517,3,2,5,2003,21,5,1.3,8,1,0,0.88
P0226,Mumbai,2453,3,2,5,2007,17,9,9.5,3,1,0,2.91
P0227,Delhi,1839,3,2,5,2000,24,9,9.0,13,1,1,2.27
P0228,Chennai,1153,4,2,6,1985,39,4,5.8,3,0,0,0.68
P0229,Chennai,1371,3,2,5,1996,28,2,5.9,11,1,0,0.85
P0230,Delhi,2208,5,3,8,2008,16,7,6.9,23,0,0,1.76
P0231,Chennai,1362,3,3,6,2018,6,8,4.5,9,1,0,1.53
P0232,Hyderabad,1930,2,1,3,1992,32,9,6.8,3,1,1,1.77
P0233,Delhi,1827,3,2,5,2002,22,8,1.4,17,0,0,1.18
P0234,Delhi,1409,3,2,5,1989,35,7,1.5,12,0,1,0.85
P0235,Bangalore,3086,3,2,5,2010,14,6,5.1,12,1,0,2.47
P0236,Mumbai,2180,2,1,3,2014,10,2,5.9,13,0,0,1.33
P0237,Bangalore,585,2,2,4,1997,27,4,9.0,17,1,0,0.8
P0238,Chennai,1912,4,2,6,2003,21,6,1.9,0,1,1,1.4
P0239,Delhi,1403,2,1,3,2013,11,7,8.4,20,1,0,1.49
P0240,Chennai,2311,4,2,6,1987,37,6,2.9,15,1,1,1.4
P0241,Bangalore,1324,3,2,5,2010,14,7,4.5,14,1,0,1.27
P0242,Mumbai,1731,3,2,5,1996,28,5,3.8,21,1,1,1.16
P0243,Mumbai,2103,3,2,5,1986,38,6,4.6,24,1,1,1.37
P0244,Hyderabad,2319,3,2,5,1995,29,3,2.4,4,1,1,1.17
P0245,Hyderabad,1080,3,2,5,2012,12,5,5.5,5,0,1,0.95
P0246,Chennai,1599,2,1,3,2002,22,7,8.2,5,0,0,1.32
P0247,Hyderabad,1515,1,1,2,1997,27,7,5.0,2,0,1,1.21
P0248,Delhi,1408,3,2,5,2021,3,10,5.4,15,1,0,1.8
P0249,Mumbai,2859,3,2,5,2006,18,5,8.6,11,1,0,2.49
P0250,Delhi,2043,5,4,9,1996,28,6,7.4,3,0,0,1.34
P0251,Mumbai,1043,4,3,7,1986,38,5,5.4,0,0,0,0.68
P0252,Chennai,2351,4,3,7,2021,3,6,3.3,3,1,0,1.66
P0253,Hyderabad,3073,4,2,6,1991,33,8,9.0,0,0,0,2.67
P0254,Chennai,2419,3,2,5,2010,14,7,6.2,20,0,0,1.95
P0255,Bangalore,888,3,2,5,2010,14,8,3.0,7,0,0,0.94
P0256,Delhi,1509,4,3,7,2008,16,4,3.4,23,1,0,1.02
P0257,Mumbai,2560,3,2,5,1996,28,8,8.2,4,1,1,2.38
P0258,Delhi,1375,3,2,5,2000,24,2,1.4,1,1,1,0.7
P0259,Bangalore,2066,2,1,3,2007,17,8,9.9,11,1,1,2.51
P0260,Delhi,2265,3,2,5,1993,31,5,2.2,21,1,0,1.19
P0261,Hyderabad,1244,3,3,6,2016,8,5,8.2,16,1,0,1.41
P0262,Hyderabad,1764,4,3,7,1999,25,6,4.6,6,0,1,1.03
P0263,Mumbai,500,3,3,6,2021,3,9,5.4,10,1,1,1.5
P0264,Mumbai,1185,3,2,5,1997,27,2,8.9,3,1,1,0.85
P0265,Chennai,1648,5,4,9,1989,35,5,4.7,4,1,0,1.0
P0266,Mumbai,1051,2,2,4,1995,29,8,5.8,5,0,0,1.04
P0267,Chennai,2779,3,2,5,1994,30,5,1.4,10,0,1,1.43
P0268,Bangalore,942,1,1,2,1997,27,4,1.0,0,1,0,0.6
P0269,Mumbai,1536,4,4,8,1999,25,6,3.2,24,0,0,1.08
P0270,Bangalore,1878,4,3,7,1991,33,5,7.1,9,1,1,1.22
P0271,Delhi,2665,3,2,5,2012,12,9,2.1,19,1,1,2.57
P0272,Hyderabad,938,4,2,6,2016,8,7,2.0,23,0,0,0.8
P0273,Mumbai,2498,3,2,5,2019,5,6,4.7,20,1,0,2.42
P0274,Hyderabad,1806,4,4,8,1999,25,10,6.8,10,1,1,2.36
P0275,Bangalore,1211,4,2,6,2020,4,6,7.4,23,1,0,1.42
P0276,Chennai,2077,4,3,7,2005,19,2,2.6,16,1,1,1.05
P0277,Mumbai,1919,1,1,2,1990,34,4,1.7,7,1,1,1.02
P0278,Bangalore,1440,5,4,9,1985,39,6,9.5,12,0,1,1.02
P0279,Bangalore,1842,4,4,8,1988,36,4,3.3,19,1,1,0.91
P0280,Bangalore,1569,3,2,5,1995,29,9,8.7,17,0,0,1.47
P0281,Chennai,1868,4,3,7,2010,14,7,8.8,21,1,0,2.36
P0282,Bangalore,2197,3,2,5,2021,3,4,8.0,15,1,0,2.15
P0283,Hyderabad,2752,4,3,7,2007,17,6,2.5,1,1,0,1.79
P0284,Mumbai,1057,2,1,3,2013,11,7,8.4,4,1,0,1.63
P0285,Chennai,3080,4,3,7,2005,19,9,7.9,17,1,0,3.4
P0286,Mumbai,629,3,3,6,2011,13,8,6.4,2,1,1,1.38
P0287,Chennai,1709,2,2,4,2023,1,6,4.0,21,1,0,1.43
P0288,Hyderabad,2153,2,1,3,1997,27,7,3.4,16,0,0,1.46
P0289,Delhi,1969,1,1,2,2007,17,6,2.1,15,1,0,1.26
P0290,Bangalore,1426,3,3,6,2000,24,6,5.6,5,0,0,1.0
P0291,Bangalore,1675,3,2,5,2014,10,3,6.3,18,0,0,1.19
P0292,Mumbai,1504,3,2,5,1988,36,3,4.2,6,1,0,0.82
P0293,Bangalore,1446,3,2,5,2000,24,6,5.3,17,1,0,1.17
P0294,Delhi,2310,3,2,5,2015,9,4,4.3,13,1,1,1.83
P0295,Hyderabad,2014,4,2,6,2009,15,2,6.8,5,0,1,1.1
P0296,Hyderabad,1384,1,1,2,1996,28,7,9.1,7,1,1,1.71
P0297,Chennai,2340,4,3,7,2010,14,2,2.5,14,1,0,1.11
P0298,Bangalore,1984,4,3,7,2021,3,6,4.4,14,1,0,1.77
P0299,Chennai,2288,3,2,5,2017,7,6,2.3,14,1,0,1.94
P0300,Delhi,2178,3,2,5,2012,12,9,6.6,15,1,0,2.33
P0301,Delhi,1303,4,3,7,1993,31,6,7.6,0,0,0,1.13
P0302,Bangalore,1464,2,2,4,1996,28,2,9.4,10,1,0,0.98
P0303,Hyderabad,2248,2,2,4,1989,35,6,3.5,24,0,1,1.13
P0304,Chennai,2166,2,1,3,2012,12,8,9.6,4,0,0,2.22
P0305,Bangalore,1787,4,3,7,2019,5,10,1.6,4,1,0,2.01
P0306,Chennai,1870,1,1,2,1989,35,6,6.4,20,1,0,1.34
P0307,Delhi,2567,3,2,5,2018,6,5,1.5,5,1,0,1.78
P0308,Chennai,1445,5,3,8,2018,6,9,9.0,1,1,1,2.0
P0309,Delhi,2128,4,2,6,1997,27,4,5.8,5,1,0,1.37
P0310,Delhi,1679,3,2,5,2023,1,7,7.0,13,0,0,1.8
P0311,Bangalore,1669,2,2,4,1998,26,5,8.5,10,1,0,1.23
P0312,Chennai,2459,4,3,7,1995,29,2,2.4,3,1,0,1.03
P0313,Delhi,2295,3,2,5,2022,2,5,1.3,23,1,0,1.78
P0314,Bangalore,2288,2,2,4,1988,36,4,8.9,24,1,1,1.53
P0315,Chennai,2583,2,2,4,2017,7,7,3.8,8,0,1,2.27
P0316,Chennai,1813,4,3,7,1991,33,9,2.2,23,1,1,1.41
P0317,Hyderabad,2209,3,2,5,1992,32,4,5.2,2,1,0,1.24
P0318,Delhi,1614,4,3,7,2021,3,8,6.4,15,1,0,1.96
P0319,Hyderabad,1994,4,2,6,1994,30,2,1.3,10,0,0,0.76
P0320,Bangalore,1722,3,2,5,1999,25,6,3.5,3,1,1,1.34
P0321,Chennai,1858,3,2,5,2022,2,3,1.3,0,0,1,1.14
P0322,Chennai,2157,3,2,5,1999,25,9,4.8,24,1,1,1.91
P0323,Mumbai,1309,3,2,5,1989,35,7,9.1,20,1,0,1.43
P0324,Mumbai,3055,3,2,5,2013,11,7,9.8,21,1,0,3.78
P0325,Chennai,1196,4,2,6,2003,21,8,6.7,15,1,0,1.23
P0326,Bangalore,1071,3,2,5,1994,30,7,2.5,18,1,0,0.85
P0327,Chennai,2495,4,3,7,1996,28,9,9.2,15,1,0,2.43
P0328,Bangalore,2275,3,2,5,1988,36,7,5.6,10,1,0,1.32
P0329,Delhi,2174,3,2,5,2015,9,9,2.4,7,1,1,2.39
P0330,Delhi,2177,3,2,5,2002,22,6,9.3,22,1,0,2.53
P0331,Chennai,1793,3,2,5,2000,24,3,7.8,0,1,0,1.27
P0332,Delhi,1262,4,3,7,2020,4,6,7.6,20,0,0,1.43
P0333,Chennai,1845,2,1,3,2009,15,3,7.4,8,1,0,1.24
P0334,Delhi,1394,3,2,5,2007,17,6,2.8,11,1,1,1.09
P0335,Chennai,2385,2,1,3,1996,28,6,2.9,21,1,0,1.41
P0336,Mumbai,1712,3,3,6,2018,6,7,7.2,7,0,0,1.95
P0337,Mumbai,1305,3,2,5,2020,4,1,3.0,16,0,1,0.79
P0338,Chennai,1607,3,2,5,2021,3,4,4.9,9,1,0,1.59
P0339,Bangalore,2048,5,4,9,1987,37,6,8.0,6,1,0,1.3
P0340,Mumbai,1462,3,3,6,1993,31,9,8.1,18,0,1,1.61
P0341,Hyderabad,1307,4,3,7,2002,22,5,5.1,24,0,1,0.98
P0342,Delhi,1946,3,2,5,2019,5,6,8.1,5,0,0,1.88
P0343,Delhi,1947,3,2,5,2018,6,7,8.5,20,0,0,1.96
P0344,Mumbai,1496,2,2,4,1998,26,7,6.9,23,0,0,1.29
P0345,Delhi,1517,3,2,5,1988,36,5,3.1,23,0,1,0.8
P0346,Bangalore,1939,3,2,5,2013,11,5,3.5,18,1,0,1.55
P0347,Delhi,931,3,2,5,1999,25,4,3.8,17,1,1,0.9
P0348,Chennai,956,1,1,2,2012,12,9,2.1,14,1,1,1.2
P0349,Delhi,1369,2,2,4,2000,24,3,3.5,1,0,1,0.69
