customer_id,city,age_group,category,order_value_inr,num_items,recency_days,rating,discount_pct
CUST_0045,Mumbai,26-35,Home Decor,265.9,5,24,2,25
CUST_0046,Bangalore,26-35,Groceries,280.11,3,71,5,0
CUST_0047,Mumbai,36-45,Electronics,320.34,8,6,4,15
CUST_0048,Delhi,18-25,Electronics,175.98,7,6,4,25
CUST_0049,Delhi,18-25,Home Decor,139.98,3,46,2,0
CUST_0050,Chennai,26-35,Electronics,946.4,6,9,4,0
CUST_0051,Kolkata,36-45,Home Decor,96.64,4,4,2,5
CUST_0052,Hyderabad,18-25,Groceries,50.0,11,8,5,25
CUST_0053,Kolkata,36-45,Sports,85.65,5,115,5,10
CUST_0054,Pune,26-35,Home Decor,75.57,11,77,4,10
CUST_0055,Bangalore,46-55,Sports,139.02,5,19,3,0
CUST_0056,Pune,46-55,Fashion,396.26,7,47,5,0
CUST_0057,Chennai,26-35,Books,58.28,11,34,4,20
CUST_0058,Chennai,26-35,Fashion,88.27,5,50,3,0
CUST_0059,Chennai,26-35,Groceries,50.0,11,51,4,10
CUST_0060,Mumbai,26-35,Groceries,50.0,3,44,5,25
CUST_0061,Delhi,36-45,Home Decor,328.41,10,13,1,0
CUST_0062,Mumbai,46-55,Sports,118.42,5,1,3,15
CUST_0063,Hyderabad,36-45,Books,50.0,7,27,5,0
CUST_0064,Mumbai,46-55,Fashion,1389.65,5,99,3,10
CUST_0065,Mumbai,26-35,Fashion,137.18,5,37,3,0
CUST_0066,Delhi,18-25,Books,50.0,9,80,4,15
CUST_0067,Chennai,36-45,Electronics,224.01,3,215,5,5
CUST_0068,Hyderabad,26-35,Electronics,789.59,6,8,4,10
CUST_0069,Chennai,36-45,Fashion,118.27,1,52,5,10
CUST_0070,Kolkata,26-35,Fashion,50.0,10,50,5,0
CUST_0071,Hyderabad,18-25,Fashion,225.36,5,175,2,15
CUST_0072,Chennai,55+,Electronics,184.61,8,190,5,5
CUST_0073,Chennai,18-25,Electronics,1410.08,5,52,4,15
CUST_0074,Hyderabad,55+,Electronics,747.55,9,12,4,0
CUST_0075,Hyderabad,55+,Sports,88.11,11,72,4,15
CUST_0076,Hyderabad,36-45,Fashion,301.01,6,5,4,0
CUST_0077,Hyderabad,36-45,Fashion,114.05,8,68,2,5
CUST_0078,Chennai,36-45,Books,89.04,10,108,1,0
CUST_0079,Mumbai,46-55,Electronics,464.31,8,21,4,15
CUST_0080,Chennai,26-35,Sports,64.03,3,44,5,0
CUST_0081,Pune,26-35,Home Decor,96.83,7,25,4,20
CUST_0082,Bangalore,36-45,Electronics,718.19,7,25,5,20
CUST_0083,Mumbai,26-35,Fashion,82.64,10,16,4,0
CUST_0084,Chennai,26-35,Home Decor,117.32,6,64,4,10
CUST_0085,Mumbai,26-35,Sports,58.7,7,123,3,0
CUST_0086,Mumbai,26-35,Fashion,151.59,2,127,3,5
CUST_0087,Hyderabad,46-55,Groceries,281.24,9,8,4,15
CUST_0088,Bangalore,18-25,Electronics,134.12,10,93,5,15
CUST_0089,Pune,46-55,Sports,128.49,10,60,5,10
CUST_0090,Delhi,36-45,Electronics,975.1,1,13,5,0
CUST_0091,Chennai,46-55,Sports,118.25,1,3,3,5
CUST_0092,Hyderabad,26-35,Groceries,77.56,3,14,5,0
CUST_0093,Hyderabad,36-45,Groceries,50.0,3,109,4,15
CUST_0094,Bangalore,18-25,Groceries,76.08,1,45,3,10
CUST_0095,Hyderabad,36-45,Electronics,271.25,7,57,5,15
CUST_0096,Delhi,18-25,Electronics,693.22,4,13,4,0
CUST_0097,Delhi,46-55,Electronics,814.58,10,57,3,5
CUST_0098,Delhi,55+,Electronics,2500.92,2,1,4,5
CUST_0099,Chennai,26-35,Home Decor,257.62,10,21,4,0
CUST_0100,Chennai,18-25,Fashion,140.18,5,44,5,5
CUST_0101,Chennai,36-45,Electronics,368.07,6,7,4,20
CUST_0102,Bangalore,26-35,Sports,95.01,9,77,5,20
CUST_0103,Mumbai,46-55,Home Decor,212.42,4,12,2,10
CUST_0104,Delhi,18-25,Sports,99.5,2,47,4,10
CUST_0105,Pune,18-25,Sports,144.21,5,23,4,0
CUST_0106,Mumbai,55+,Electronics,904.01,3,40,4,20
CUST_0107,Delhi,36-45,Fashion,50.0,2,5,4,0
CUST_0108,Hyderabad,46-55,Books,112.03,1,1,5,25
CUST_0109,Mumbai,26-35,Books,129.09,10,108,5,10
CUST_0110,Chennai,36-45,Electronics,286.66,2,14,5,5
CUST_0111,Mumbai,36-45,Home Decor,50.0,6,77,5,25
CUST_0112,Chennai,36-45,Electronics,193.74,8,330,5,0
CUST_0113,Pune,36-45,Electronics,889.23,3,10,4,10
CUST_0114,Hyderabad,36-45,Groceries,53.03,11,13,5,10
CUST_0115,Bangalore,26-35,Groceries,50.0,9,48,4,0
CUST_0116,Pune,26-35,Groceries,50.0,9,151,4,5
CUST_0117,Hyderabad,36-45,Electronics,617.24,2,111,4,15
CUST_0118,Chennai,26-35,Home Decor,250.93,8,31,4,15
CUST_0119,Pune,36-45,Fashion,89.23,10,71,4,0
CUST_0120,Delhi,26-35,Electronics,234.93,11,6,5,25
CUST_0121,Hyderabad,36-45,Home Decor,118.44,5,170,4,0
CUST_0122,Pune,36-45,Sports,60.25,4,150,2,0
CUST_0123,Mumbai,18-25,Home Decor,589.98,10,8,4,0
CUST_0124,Chennai,18-25,Home Decor,125.2,5,16,2,0
CUST_0125,Mumbai,18-25,Books,119.17,4,4,3,0
CUST_0126,Delhi,36-45,Groceries,182.4,8,14,3,30
CUST_0127,Hyderabad,46-55,Electronics,700.23,4,76,4,5
CUST_0128,Pune,18-25,Fashion,76.48,10,21,4,0
CUST_0129,Chennai,36-45,Fashion,149.2,6,4,5,0
CUST_0130,Delhi,26-35,Fashion,23183.45,2,18,5,15
CUST_0131,Delhi,26-35,Books,50.0,5,179,4,20
CUST_0132,Mumbai,46-55,Groceries,70.01,6,44,4,0
CUST_0133,Chennai,26-35,Electronics,122.67,5,24,4,0
CUST_0134,Mumbai,26-35,Electronics,814.77,2,8,5,0
CUST_0135,Kolkata,18-25,Books,50.0,7,192,2,0
CUST_0136,Mumbai,18-25,Electronics,370.07,4,77,1,0
CUST_0137,Delhi,26-35,Home Decor,203.25,8,14,5,5
CUST_0138,Hyderabad,18-25,Groceries,50.0,7,3,4,0
CUST_0139,Mumbai,36-45,Groceries,86.36,7,2,3,10
CUST_0140,Kolkata,26-35,Groceries,50.0,9,5,3,0
CUST_0141,Kolkata,26-35,Home Decor,325.32,1,39,5,25
CUST_0142,Mumbai,18-25,Fashion,50.0,10,118,5,25
CUST_0143,Delhi,26-35,Books,50.0,6,30,5,10
CUST_0144,Mumbai,36-45,Groceries,254.76,6,83,4,5
CUST_0145,Mumbai,55+,Fashion,50.0,6,26,4,5
CUST_0146,Chennai,18-25,Home Decor,45394.33,6,55,5,5
CUST_0147,Bangalore,46-55,Home Decor,244.43,10,59,5,15
CUST_0148,Delhi,36-45,Books,51.96,7,8,3,10
CUST_0149,Chennai,26-35,Home Decor,214.5,10,20,5,20
CUST_0150,Mumbai,26-35,Home Decor,239.64,6,45,3,25
CUST_0151,Pune,18-25,Books,74.79,1,3,3,5
CUST_0152,Mumbai,18-25,Home Decor,393.68,3,20,5,10
CUST_0153,Chennai,36-45,Books,62.47,2,34,4,0
CUST_0154,Delhi,26-35,Books,50.0,6,251,5,0
CUST_0155,Kolkata,46-55,Groceries,92.5,8,28,2,5
CUST_0156,Mumbai,26-35,Books,205.77,3,76,4,0
CUST_0157,Bangalore,18-25,Electronics,283.34,10,25,5,20
CUST_0158,Hyderabad,36-45,Home Decor,74.3,8,71,5,0
CUST_0159,Mumbai,26-35,Home Decor,392.86,8,40,3,10
CUST_0160,Hyderabad,26-35,Electronics,286.13,5,97,4,10
CUST_0161,Mumbai,36-45,Home Decor,50.0,8,23,4,15
CUST_0162,Bangalore,46-55,Electronics,620.61,6,41,3,5
CUST_0163,Bangalore,36-45,Fashion,70.39,5,44,5,20
CUST_0164,Delhi,36-45,Books,50.0,9,24,5,10
CUST_0165,Chennai,36-45,Electronics,410.9,7,7,3,5
CUST_0166,Pune,55+,Home Decor,188.71,8,4,3,0
CUST_0167,Mumbai,26-35,Home Decor,285.82,1,1,2,10
CUST_0168,Chennai,18-25,Groceries,50.0,11,93,5,20
CUST_0169,Chennai,26-35,Electronics,474.97,2,12,3,10
CUST_0170,Bangalore,18-25,Fashion,87.77,8,10,4,20
CUST_0171,Bangalore,36-45,Groceries,97.54,9,59,4,10
CUST_0172,Chennai,36-45,Sports,206.18,4,17,4,0
CUST_0173,Delhi,36-45,Groceries,50.0,10,31,2,0
CUST_0174,Mumbai,18-25,Fashion,257.52,11,7,3,5
CUST_0175,Bangalore,36-45,Groceries,50.0,10,144,5,15
CUST_0176,Chennai,26-35,Groceries,103.09,9,85,5,15
CUST_0177,Bangalore,36-45,Home Decor,217.37,4,89,5,0
CUST_0178,Delhi,26-35,Electronics,1371.02,10,23,1,10
CUST_0179,Kolkata,26-35,Books,50.0,10,64,4,5
CUST_0180,Chennai,18-25,Groceries,50.0,10,6,4,5
CUST_0181,Mumbai,18-25,Sports,124.08,9,1,4,0
CUST_0182,Chennai,46-55,Fashion,84.76,11,1,5,0
CUST_0183,Pune,46-55,Groceries,102.42,7,39,4,0
CUST_0184,Pune,36-45,Sports,50.0,2,27,2,0
CUST_0185,Mumbai,18-25,Electronics,135.61,9,32,5,0
CUST_0186,Bangalore,26-35,Sports,53.64,4,1,5,0
CUST_0187,Hyderabad,36-45,Books,96.26,8,24,2,10
CUST_0188,Bangalore,36-45,Electronics,1238.0,7,56,4,5
CUST_0189,Delhi,18-25,Fashion,99.36,7,26,4,30
CUST_0190,Mumbai,18-25,Books,50.0,8,59,4,0
CUST_0191,Chennai,36-45,Electronics,333.22,1,11,3,5
CUST_0192,Pune,26-35,Groceries,136.82,5,75,4,5
CUST_0193,Pune,26-35,Fashion,51.44,2,39,5,0
CUST_0194,Bangalore,18-25,Groceries,65.36,2,10,4,20
CUST_0195,Mumbai,26-35,Electronics,687.4,1,12,2,0
CUST_0196,Mumbai,46-55,Home Decor,241.93,5,44,4,25
CUST_0197,Hyderabad,55+,Sports,146.66,2,79,4,20
CUST_0198,Pune,26-35,Sports,280.71,4,24,5,10
CUST_0199,Pune,26-35,Books,50.0,3,13,4,10
CUST_0200,Hyderabad,18-25,Electronics,541.89,3,90,3,15
CUST_0201,Bangalore,26-35,Books,50.0,2,49,3,5
CUST_0202,Chennai,26-35,Electronics,72.84,6,26,5,10
CUST_0203,Chennai,36-45,Electronics,474.25,2,30,3,0
CUST_0204,Pune,26-35,Fashion,324.16,8,10,5,0
CUST_0205,Bangalore,26-35,Groceries,50.0,8,44,3,10
CUST_0206,Chennai,18-25,Home Decor,347.26,5,19,4,10
CUST_0207,Chennai,26-35,Books,163.48,10,244,4,20
CUST_0208,Bangalore,18-25,Fashion,309.28,7,29,5,0
CUST_0209,Chennai,18-25,Fashion,401.13,4,29,5,20
CUST_0210,Chennai,55+,Sports,228.19,1,37,3,0
CUST_0211,Delhi,26-35,Fashion,114.74,11,111,4,5
CUST_0212,Bangalore,26-35,Fashion,50.0,2,72,3,5
CUST_0213,Bangalore,46-55,Electronics,258.76,10,26,4,5
CUST_0214,Mumbai,55+,Home Decor,82.53,10,57,4,0
CUST_0215,Hyderabad,36-45,Books,255.6,4,39,5,10
CUST_0216,Mumbai,36-45,Electronics,273.71,1,30,5,20
CUST_0217,Mumbai,26-35,Electronics,347.7,8,9,4,5
CUST_0218,Hyderabad,26-35,Books,69.97,9,28,4,10
CUST_0219,Bangalore,26-35,Books,50.0,4,12,5,20
CUST_0220,Pune,36-45,Fashion,419.21,10,110,5,15
CUST_0221,Bangalore,36-45,Sports,76.58,3,18,1,10
CUST_0222,Bangalore,26-35,Electronics,368.13,2,136,4,0
CUST_0223,Chennai,18-25,Fashion,59.64,5,34,4,20
CUST_0224,Mumbai,36-45,Sports,50.0,3,44,3,10
CUST_0225,Mumbai,18-25,Fashion,66.21,10,35,3,0
CUST_0226,Mumbai,36-45,Groceries,52.43,7,6,1,0
CUST_0227,Kolkata,36-45,Fashion,76.62,11,21,4,20
CUST_0228,Delhi,36-45,Fashion,62.08,6,4,3,0
CUST_0229,Pune,36-45,Sports,50.0,1,43,2,30
CUST_0230,Bangalore,46-55,Fashion,101.07,8,26,3,0
CUST_0231,Hyderabad,26-35,Home Decor,50.0,2,67,5,15
CUST_0232,Delhi,36-45,Electronics,578.71,5,11,5,5
CUST_0233,Bangalore,36-45,Electronics,336.54,9,8,4,10
CUST_0234,Delhi,18-25,Electronics,98.17,8,23,4,20
CUST_0235,Chennai,18-25,Books,50.0,2,117,5,5
CUST_0236,Hyderabad,26-35,Fashion,59.18,9,55,3,10
CUST_0237,Mumbai,26-35,Home Decor,209.17,5,24,3,0
CUST_0238,Chennai,36-45,Groceries,157.83,10,32,4,0
CUST_0239,Bangalore,46-55,Sports,50.0,6,3,3,0
CUST_0240,Chennai,18-25,Electronics,345.43,3,187,4,15
CUST_0241,Kolkata,18-25,Home Decor,142.55,3,49,5,0
CUST_0242,Kolkata,55+,Home Decor,277.23,10,15,4,0
CUST_0243,Pune,18-25,Home Decor,192.16,8,39,4,5
CUST_0244,Mumbai,26-35,Home Decor,88.78,11,5,5,10
CUST_0245,Chennai,36-45,Books,50.0,10,151,2,15
CUST_0246,Pune,26-35,Groceries,50.0,10,8,3,0
CUST_0247,Delhi,18-25,Electronics,745.14,2,46,4,0
CUST_0248,Kolkata,18-25,Electronics,320.48,11,12,4,25
CUST_0249,Kolkata,18-25,Sports,38160.15,2,56,1,0
CUST_0250,Pune,36-45,Groceries,51.45,5,67,4,20
CUST_0251,Mumbai,26-35,Home Decor,91.93,6,50,4,20
CUST_0252,Delhi,26-35,Groceries,50.0,2,42,5,15
CUST_0253,Pune,36-45,Electronics,74.46,5,100,4,0
CUST_0254,Mumbai,46-55,Electronics,88.72,7,3,4,20
CUST_0255,Chennai,18-25,Books,55.73,10,18,2,15
CUST_0256,Bangalore,26-35,Fashion,162.28,10,12,4,10
CUST_0257,Kolkata,36-45,Electronics,88.93,8,199,3,5
CUST_0258,Bangalore,26-35,Groceries,110.52,7,22,5,0
CUST_0259,Bangalore,26-35,Electronics,214.07,8,59,4,0
CUST_0260,Chennai,36-45,Groceries,60.74,9,51,4,10
CUST_0261,Bangalore,46-55,Fashion,392.33,5,10,5,10
CUST_0262,Kolkata,36-45,Home Decor,332.04,5,12,4,5
CUST_0263,Chennai,36-45,Fashion,87.14,11,14,4,10
CUST_0264,Delhi,36-45,Fashion,52.95,10,23,5,5
CUST_0265,Pune,26-35,Electronics,56.33,4,12,5,10
CUST_0266,Hyderabad,36-45,Electronics,177.23,9,1,5,25
CUST_0267,Bangalore,26-35,Fashion,91.23,5,95,2,0
CUST_0268,Hyderabad,18-25,Groceries,50.0,2,151,4,5
CUST_0269,Mumbai,36-45,Groceries,50.0,10,18,5,0
CUST_0270,Mumbai,26-35,Fashion,114.87,8,18,3,10
CUST_0271,Hyderabad,26-35,Books,50.0,7,1,3,15
CUST_0272,Hyderabad,46-55,Home Decor,96.33,8,51,5,25
CUST_0273,Pune,18-25,Home Decor,185.44,3,78,1,0
CUST_0274,Pune,26-35,Electronics,448.68,4,7,5,25
CUST_0275,Delhi,18-25,Groceries,50.0,5,7,4,0
CUST_0276,Delhi,36-45,Electronics,974.1,6,70,4,10
CUST_0277,Hyderabad,36-45,Electronics,291.17,1,43,1,0
CUST_0278,Bangalore,26-35,Sports,127.94,4,2,5,20
CUST_0279,Hyderabad,36-45,Electronics,555.2,11,43,4,10
CUST_0280,Hyderabad,26-35,Groceries,65.09,10,16,4,15
CUST_0281,Pune,36-45,Groceries,115.78,5,20,5,20
CUST_0282,Mumbai,26-35,Books,56.63,7,66,5,0
CUST_0283,Mumbai,26-35,Groceries,50.0,5,74,5,0
CUST_0284,Chennai,46-55,Electronics,420.72,1,23,4,20
CUST_0285,Bangalore,26-35,Fashion,50.0,11,132,4,5
CUST_0286,Chennai,18-25,Groceries,58.91,7,23,5,0
CUST_0287,Delhi,36-45,Electronics,306.79,8,66,4,10
CUST_0288,Delhi,55+,Fashion,91.45,7,29,4,10
CUST_0289,Mumbai,26-35,Electronics,284.27,11,102,3,0
CUST_0290,Bangalore,18-25,Electronics,69.92,4,107,5,0
CUST_0291,Chennai,26-35,Fashion,69.64,8,4,4,0
CUST_0292,Chennai,26-35,Electronics,339.35,5,124,4,5
CUST_0293,Hyderabad,18-25,Groceries,61.38,10,78,4,20
CUST_0294,Mumbai,36-45,Books,50.0,9,70,3,30
CUST_0295,Chennai,55+,Home Decor,446.02,10,10,4,10
CUST_0296,Delhi,26-35,Electronics,157.56,5,73,2,0
CUST_0297,Hyderabad,26-35,Electronics,684.25,1,85,4,25
CUST_0298,Mumbai,26-35,Electronics,443.42,9,15,4,10
CUST_0299,Bangalore,18-25,Groceries,50.0,5,136,4,0
CUST_0300,Chennai,46-55,Books,186.25,6,2,5,25
CUST_0301,Chennai,26-35,Electronics,121.25,4,7,5,15
CUST_0302,Delhi,26-35,Sports,262.91,6,34,5,15
CUST_0303,Delhi,36-45,Electronics,701.51,8,38,1,15
CUST_0304,Bangalore,26-35,Groceries,50.0,3,46,3,0
CUST_0305,Hyderabad,36-45,Books,137.12,5,1,4,0
CUST_0306,Kolkata,18-25,Home Decor,132.65,2,145,5,15
CUST_0307,Delhi,36-45,Books,56.7,2,2,5,0
CUST_0308,Mumbai,55+,Home Decor,199.55,7,6,5,5
CUST_0309,Hyderabad,36-45,Fashion,97.02,10,1,4,15
CUST_0310,Mumbai,55+,Home Decor,309.96,10,37,4,15
CUST_0311,Delhi,18-25,Electronics,594.4,11,121,4,10
CUST_0312,Chennai,26-35,Home Decor,50.0,10,49,3,15
CUST_0313,Chennai,36-45,Groceries,153.34,6,77,1,20
CUST_0314,Kolkata,36-45,Home Decor,50.0,4,1,5,15
CUST_0315,Pune,26-35,Fashion,246.75,5,35,3,0
CUST_0316,Bangalore,26-35,Groceries,133.03,1,27,3,0
CUST_0317,Delhi,18-25,Groceries,50.0,7,31,2,5
CUST_0318,Chennai,26-35,Books,50.0,8,3,5,0
CUST_0319,Chennai,18-25,Electronics,130.09,9,51,4,0
CUST_0320,Mumbai,36-45,Electronics,265.29,8,31,4,0
CUST_0321,Delhi,18-25,Electronics,246.25,5,65,5,10
CUST_0322,Hyderabad,18-25,Electronics,587.86,3,29,4,25
CUST_0323,Bangalore,26-35,Home Decor,462.22,10,7,4,0
CUST_0324,Mumbai,36-45,Electronics,962.28,11,47,1,15
CUST_0325,Kolkata,46-55,Sports,80.38,9,8,3,15
CUST_0326,Hyderabad,36-45,Fashion,91.37,6,92,5,0
CUST_0327,Bangalore,26-35,Electronics,81.94,5,42,5,25
CUST_0328,Bangalore,36-45,Home Decor,85.04,3,7,4,10
CUST_0329,Delhi,26-35,Books,97.39,6,147,4,5
CUST_0330,Mumbai,18-25,Groceries,196.69,3,32,4,15
CUST_0331,Mumbai,26-35,Groceries,50.0,10,3,1,0
CUST_0332,Hyderabad,46-55,Books,50.0,6,44,3,15
CUST_0333,Chennai,26-35,Electronics,308.47,4,13,3,0
CUST_0334,Chennai,26-35,Sports,157.69,2,73,3,20
CUST_0335,Chennai,18-25,Sports,65.94,8,76,5,5
CUST_0336,Chennai,18-25,Books,63.19,4,173,4,10
CUST_0337,Pune,26-35,Electronics,215.66,9,31,3,0
CUST_0338,Hyderabad,36-45,Books,50.0,7,27,4,15
CUST_0339,Delhi,18-25,Electronics,487.74,2,63,5,15
CUST_0340,Chennai,46-55,Electronics,316.68,4,6,3,10
CUST_0341,Delhi,36-45,Fashion,76.19,5,35,2,10
CUST_0342,Delhi,36-45,Fashion,98.95,3,35,4,10
CUST_0343,Chennai,46-55,Home Decor,150.97,9,4,5,20
CUST_0344,Delhi,18-25,Books,50.0,5,24,4,10
CUST_0345,Delhi,26-35,Books,50.0,2,86,5,20
CUST_0346,Bangalore,36-45,Fashion,388.09,11,87,5,20
CUST_0347,Bangalore,46-55,Fashion,169.2,3,4,5,5
CUST_0348,Chennai,36-45,Fashion,85.28,9,4,4,0
CUST_0349,Mumbai,26-35,Sports,220.09,7,13,4,5
CUST_0350,Bangalore,55+,Electronics,241.22,2,93,2,20
CUST_0351,Delhi,18-25,Home Decor,414.17,9,6,5,0
CUST_0352,Pune,46-55,Groceries,72.59,4,57,4,10
CUST_0353,Bangalore,55+,Fashion,99.13,9,4,3,20
CUST_0354,Chennai,18-25,Books,64.39,2,43,4,5
CUST_0355,Chennai,36-45,Groceries,50.0,10,19,4,10
CUST_0356,Bangalore,18-25,Home Decor,65.78,4,69,4,0
CUST_0357,Chennai,26-35,Sports,50.0,5,11,4,0
CUST_0358,Bangalore,26-35,Fashion,121.11,2,45,4,15
CUST_0359,Kolkata,36-45,Fashion,431.96,10,12,5,0
CUST_0360,Bangalore,46-55,Groceries,321.89,1,56,3,0
CUST_0361,Delhi,36-45,Sports,209.96,7,93,4,20
CUST_0362,Bangalore,26-35,Electronics,470.33,10,6,4,5
CUST_0363,Delhi,36-45,Groceries,50.0,1,90,4,30
CUST_0364,Delhi,55+,Groceries,50.0,11,40,5,30
CUST_0365,Kolkata,18-25,Books,50.0,11,6,4,0
CUST_0366,Delhi,55+,Electronics,191.73,8,25,4,0
CUST_0367,Kolkata,18-25,Books,50.0,3,7,3,15
CUST_0368,Pune,36-45,Sports,86.38,10,54,5,10
CUST_0369,Chennai,26-35,Electronics,64.67,6,64,4,0
CUST_0370,Chennai,18-25,Electronics,573.12,7,5,5,15
CUST_0371,Chennai,26-35,Sports,53.42,10,31,1,0
CUST_0372,Chennai,36-45,Electronics,381.52,1,75,3,20
CUST_0373,Chennai,26-35,Home Decor,851.55,6,123,4,0
CUST_0374,Bangalore,18-25,Groceries,50.0,7,32,5,0
CUST_0375,Chennai,36-45,Electronics,50.0,6,135,4,0
CUST_0376,Mumbai,46-55,Home Decor,128.89,4,34,5,30
CUST_0377,Pune,26-35,Fashion,44223.15,1,22,4,15
CUST_0378,Chennai,18-25,Groceries,258.75,11,84,4,20
CUST_0379,Hyderabad,26-35,Fashion,50.0,9,30,3,5
CUST_0380,Mumbai,18-25,Groceries,80.36,4,28,5,5
CUST_0381,Chennai,46-55,Electronics,15829.77,7,30,3,0
CUST_0382,Bangalore,46-55,Fashion,99.24,7,84,5,10
CUST_0383,Bangalore,36-45,Sports,1045.18,2,80,5,10
CUST_0384,Pune,26-35,Fashion,50.0,1,23,5,10
CUST_0385,Hyderabad,36-45,Books,55.14,8,18,4,0
CUST_0386,Hyderabad,26-35,Fashion,157.04,8,30,5,25
CUST_0387,Mumbai,46-55,Home Decor,386.22,7,38,5,0
CUST_0388,Chennai,36-45,Electronics,340.75,8,12,3,30
CUST_0389,Hyderabad,36-45,Sports,161.24,3,71,4,0
CUST_0390,Hyderabad,36-45,Fashion,78.96,11,29,1,10
CUST_0391,Kolkata,26-35,Electronics,390.75,2,18,4,5
CUST_0392,Delhi,55+,Electronics,239.42,7,5,3,5
CUST_0393,Mumbai,26-35,Electronics,518.02,8,12,3,10
CUST_0394,Hyderabad,36-45,Groceries,50.0,1,134,4,5
CUST_0395,Mumbai,26-35,Fashion,146.06,10,16,4,5
CUST_0396,Kolkata,36-45,Home Decor,158.28,9,8,4,15
CUST_0397,Pune,36-45,Fashion,265.91,11,27,2,15
CUST_0398,Delhi,18-25,Electronics,302.37,4,16,4,20
CUST_0399,Hyderabad,18-25,Groceries,50.0,4,1,3,0
CUST_0400,Hyderabad,36-45,Books,123.52,3,17,4,10
CUST_0401,Chennai,36-45,Electronics,152.65,6,35,4,10
CUST_0402,Pune,26-35,Electronics,186.75,1,36,4,5
CUST_0403,Delhi,26-35,Electronics,195.63,6,19,5,10
CUST_0404,Hyderabad,36-45,Books,135.15,2,26,4,5
CUST_0405,Mumbai,18-25,Books,50.0,9,151,5,0
CUST_0406,Pune,26-35,Groceries,664.72,2,21,4,0
CUST_0407,Delhi,18-25,Home Decor,377.15,7,13,4,0
CUST_0408,Chennai,18-25,Home Decor,193.71,1,12,4,15
CUST_0409,Pune,18-25,Groceries,51.69,7,27,1,15
CUST_0410,Chennai,26-35,Home Decor,203.61,5,64,4,25
CUST_0411,Mumbai,18-25,Electronics,478.02,8,10,4,15
CUST_0412,Kolkata,26-35,Electronics,527.92,4,55,4,0
CUST_0413,Kolkata,26-35,Fashion,168.48,10,1,2,20
CUST_0414,Bangalore,26-35,Electronics,338.47,7,24,2,20
CUST_0415,Bangalore,26-35,Groceries,50.0,6,67,5,5
CUST_0416,Delhi,46-55,Sports,111.66,5,18,5,10
CUST_0417,Mumbai,18-25,Electronics,269.57,4,37,3,30
